sample	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio
R7.Test112	1751	1	29822	2	99.7291	162	67	5.2286
R7.Test178	3386	1	29867	2	99.8796	192	70	1.9167
R7.Test200	1730	9	29433	18	98.4283	159	56	3.6938
R7.Test77	559	1	29825	2	99.7392	147	67	9.4601
R7.Test78	74	3	29847	6	99.8127	168	64	56.5562
R7.Test19	2754	1	29840	2	99.7893	174	64	2.0983
R7.Test90	121	2	29846	4	99.8094	132	65	48.1301
R7.Test15	3153	2	29843	4	99.7994	196	70	2.0958
R7.Test188	203	1	29828	2	99.7492	141	56	26.7412
R7.Test142	304	1	29629	2	99.0837	188	44	23.1668
R7.Test80	1768	2	29824	4	99.7358	152	56	4.8931
R7.Test55	433	1	29834	2	99.7693	154	56	18.2350
R7.Test59	2273	1	29770	2	99.5552	190	70	3.3013
R7.Test118	952	1	29827	2	99.7458	200	70	7.3789
R7.Test71	1006	1	29843	2	99.7994	180	64	6.6995
R7.Test172	780	2	29803	4	99.6656	144	59	10.5493
R7.Test148	871	1	29817	2	99.7124	204	70	9.0808
R7.Test182	470	1	29871	2	99.8930	136	59	16.6566
R7.Test105	384	1	29826	2	99.7425	192	70	17.1711
R7.Test74	205	3	29771	6	99.5586	161	56	33.3028
R7.Test30	138	2	29859	4	99.8529	139	62	45.2427
R7.Test106	276	1	29874	2	99.9030	177	61	25.2053
R7.Test197	227	1	29824	2	99.7358	200	70	19.5774
R7.Test157	413	1	29874	2	99.9030	149	56	21.7926
R7.Test2	2187	2	29788	4	99.6154	200	70	2.5181
R7.Test174	76	3	29759	6	99.5184	161	58	60.2817
R7.Test64	83	3	29771	6	99.5586	161	56	53.9587
R7.Test50	194	1	29849	2	99.8194	156	56	35.8046
R7.Test61	2944	2	29855	4	99.8395	121	56	1.4808
R7.Test184	137	1	29862	2	99.8629	192	70	31.6402
R7.Test89	19702	2	29861	4	99.8595	139	62	0.2072
R7.Test85	3063	38	23372	76	78.1594	119	56	1.5992
