sample	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio
RL3.Test119	5611	7	2217	14	7.4140	17	9	0.0989
RL3.Test146	867	21	7003	42	23.4191	7	0	1.9159
RL3.Test133	60	29	9991	58	33.4114	53	44	40.7466
RL3.Test106	202	1	279	2	0.9330	3	0	0.3878
RL3.Test170	43	23	7949	48	26.5826	55	21	54.9993
RL3.Test67	75	44	14484	88	48.4366	8	0	61.8335
RL3.Test53	890	43	18184	86	60.8100	73	35	6.5438
RL3.Test187	5618	9	2777	18	9.2867	18	9	0.1239
RL3.Test79	345	4	1054	8	3.5247	7	0	1.0701
RL3.Test7	5676	32	18059	64	60.3919	113	59	0.8009
RL3.Test186	73	10	3749	20	12.5372	27	35	17.8194
RL3.Test9	81	22	7115	44	23.7936	41	9	28.0930
RL3.Test132	11546	31	9602	62	32.1105	49	18	0.0861
RL3.Test110	63	40	13496	80	45.1326	84	27	66.6881
RL3.Test107	76	8	2150	16	7.1899	17	9	10.8625
RL3.Test135	293	27	11679	54	39.0563	67	27	13.3572
RL3.Test61	571	31	13565	62	45.3633	114	44	7.0907
RL3.Test124	18	4	1075	8	3.5950	2	26	19.7403
RL3.Test148	28	13	4617	26	15.4399	26	35	54.7165
RL3.Test195	34	7	1906	14	6.3739	15	9	20.1851
RL3.Test151	75	2	409	4	1.3678	4	0	2.0292
RL3.Test19	143	14	4221	30	14.1156	24	9	8.7141
RL3.Test184	49	3	784	6	2.6218	2	0	2.8049
RL3.Test26	1908	43	16011	86	53.5431	25	18	2.0010
RL3.Test36	51	14	3651	28	12.2095	26	12	8.8212
RL3.Test73	101	39	14109	78	47.1826	75	18	27.9053
RL3.Test25	242	1	279	2	0.9330	3	0	0.2531
RL3.Test35	16	5	1229	10	4.1100	13	0	17.2491
RL3.Test93	862	18	5907	36	19.7539	13	0	1.6271
RL3.Test192	533	26	7710	52	25.7834	45	9	5.4585
RL3.Test5	68	44	19088	88	63.8331	89	30	65.9509
RL3.Test59	98	9	3411	18	11.4069	22	35	12.9013
RL3.Test104	1469	33	12876	66	43.0592	53	35	2.7535
RL3.Test188	92	23	7448	46	24.9072	44	9	26.0107
RL3.Test193	77	45	19249	90	64.3715	110	47	65.2936
RL3.Test85	43	26	8861	52	29.6325	52	21	62.4974
RL3.Test54	167	5	1389	10	4.6450	11	35	2.3719
RL3.Test18	11	2	521	4	1.7423	2	0	15.4325
RL3.Test159	125	9	2160	18	7.2234	16	9	5.0401
RL3.Test50	74	27	8276	54	27.6762	54	18	30.4597
RL3.Test136	350	38	15613	76	52.2122	90	47	10.0146
RL3.Test182	44	32	14117	64	47.2093	85	9	82.4063
RL3.Test92	123	12	3281	24	10.9721	18	9	7.4626
RL3.Test198	1564	11	2969	22	9.9288	15	9	0.5840
RL3.Test10	4	2	542	4	1.8125	4	0	52.6725
RL3.Test14	83	43	25254	86	84.4531	87	27	70.1101
RL3.Test58	1707	1	228	2	0.7625	0	0	0.0396
RL3.Test137	127	47	19549	94	65.3747	98	50	45.5889
RL3.Test105	1613	17	5281	34	17.6604	6	0	0.7350
RL3.Test102	1549	5	1304	10	4.3608	0	0	0.2528
RL3.Test65	111	37	18039	74	60.3251	81	47	45.5198
RL3.Test142	2800	18	5511	36	18.4296	6	0	0.3911
RL3.Test183	355	36	11615	72	38.8423	70	44	9.7202
RL3.Test150	40	30	10328	60	34.5383	73	44	71.9171
RL3.Test74	29	15	3804	30	12.7211	27	12	9.7803
RL3.Test87	8619	24	8097	48	27.0776	63	47	0.1499
RL3.Test90	41	4	1112	8	3.7187	10	9	2.3318
RL3.Test123	1672	36	11021	72	36.8558	10	0	1.6292
RL3.Test94	15	3	625	6	2.0901	4	0	12.4726
RL3.Test21	176	20	6656	40	22.2586	35	9	13.0219
RL3.Test138	53	12	2920	24	9.7649	10	0	6.9349
RL3.Test197	128	29	9419	58	31.4985	38	9	21.7860
RL3.Test122	363	2	494	4	1.6520	3	9	0.4299
RL3.Test196	143	16	5261	32	17.5936	14	9	10.8895
RL3.Test27	97	24	27374	48	91.5427	101	56	55.7123
RL3.Test37	166	29	9227	58	30.8564	45	9	20.5164
RL3.Test45	199	1	279	2	0.9330	3	0	0.3948
RL3.Test171	13500	7	1921	14	6.4241	15	9	0.0156
RL3.Test46	10	5	1479	10	4.9460	2	0	57.2368
RL3.Test81	93	46	23237	92	77.7079	127	47	61.7243
RL3.Test125	1676	45	20769	90	69.4546	45	9	3.0387
RL3.Test178	9957	12	3558	24	11.8985	20	0	0.0614
RL3.Test44	517	28	11324	56	37.8691	55	18	6.8000
RL3.Test40	59	43	23734	86	79.3700	109	56	60.3792
RL3.Test120	1573	1	228	2	0.7625	0	0	0.0458
RL3.Test83	2079	44	14546	88	48.6439	8	0	1.3290
RL3.Test62	1621	29	9635	58	32.2208	73	47	1.8679
RL3.Test174	360	15	4619	30	15.4466	17	26	4.4398
RL3.Test131	2221	7	1981	14	6.6248	14	0	0.1667
RL3.Test129	681	6	1576	12	5.2704	15	0	0.7088
RL3.Test48	512	13	3568	26	11.9319	17	26	2.3630
RL3.Test75	250	11	3049	22	10.1963	13	0	2.4609
RL3.Test23	602	41	14383	82	48.0989	68	47	8.6290
RL3.Test33	649	2	457	4	1.5283	0	0	0.1591
RL3.Test95	583	23	9478	46	31.6958	66	9	3.1420
RL3.Test162	913	33	13078	66	43.7347	53	35	4.2272
RL3.Test100	22	1	417	2	1.3945	2	9	6.4414
RL3.Test176	122	4	936	8	3.1301	7	9	2.1882
RL3.Test117	5630	11	3750	22	12.5405	25	9	0.1680
RL3.Test3	58	44	21777	88	72.8255	118	59	83.2280
RL3.Test2	18	2	627	4	2.0968	2	9	12.2134
RL3.Test39	38	7	1862	14	6.2268	4	0	16.2581
RL3.Test191	103	17	6100	34	20.3993	35	35	20.1119
RL3.Test155	910	38	27062	76	90.4993	91	53	9.2351
RL3.Test15	39	3	774	6	2.5884	0	26	1.9650
RL3.Test42	1231	38	15741	76	52.6402	81	44	4.0238
RL3.Test68	357	9	2527	18	8.4507	13	26	2.3780
RL3.Test180	118	29	9991	58	33.4114	47	20	23.3567
RL3.Test153	1871	34	12120	68	40.5311	26	9	1.6197
RL3.Test8	76	37	27730	74	92.7332	108	53	72.6499
RL3.Test163	5646	35	14074	70	47.0655	59	38	0.6251
RL3.Test109	16	1	227	2	0.7591	4	9	4.7661
RL3.Test56	90	2	650	4	2.1737	2	0	1.9214
RL3.Test116	1578	33	10894	66	36.4311	54	18	2.1789
RL3.Test149	28	17	6639	34	22.2018	36	35	70.0987
RL3.Test28	32	26	9058	52	30.2913	47	9	86.8901
RL3.Test38	6	1	222	2	0.7424	0	0	12.8324
RL3.Test84	262	3	941	6	3.1468	7	9	1.1041
RL3.Test80	130	55	19271	110	64.4450	12	0	48.0019
RL3.Test43	261	3	675	6	2.2573	5	9	0.8498
RL3.Test181	69	46	22170	92	74.1397	127	58	53.9594
RL3.Test199	134	7	1808	14	6.0462	6	26	4.6326
RL3.Test20	615	3	787	6	2.6318	4	0	0.3235
RL3.Test30	5801	7	2217	14	7.4140	17	9	0.0966
RL3.Test6	1801	35	12177	70	40.7217	35	9	1.6286
RL3.Test190	115	48	20012	96	66.9231	98	50	49.8757
