sample	project	Mixnumber	frag	cov	signal
SRR12720858	SARS-Cov-2 study 1	1	1	99.6422	7.6076
SRR12720856	SARS-Cov-2 study 1	1	2	99.8428	1.4134
SRR12720855	SARS-Cov-2 study 1	1	2	99.7525	77.6234
SRR12720852	SARS-Cov-2 study 1	1	8	99.7559	53.3382
SRR12720851	SARS-Cov-2 study 1	1	1	99.7291	75.2500
SRR12720850	SARS-Cov-2 study 1	1	0	0	0
SRR12720849	SARS-Cov-2 study 1	1	1	99.7860	88.0944
SRR12720846	SARS-Cov-2 study 1	1	13	16.5803	52.0599
SRR12720845	SARS-Cov-2 study 1	1	5	99.3847	3.6064
SRR12720844	SARS-Cov-2 study 1	1	37	90.2618	76.4574
SRR12720842	SARS-Cov-2 study 1	1	1	1.3042	1.8492
SRR12720836	SARS-Cov-2 study 1	1	10	99.2609	91.9349
SRR12720829	SARS-Cov-2 study 1	1	6	5.6951	37.4945
SRR12720826	SARS-Cov-2 study 1	1	6	6.5378	26.0342
SRR12720825	SARS-Cov-2 study 1	1	2	99.8495	76.8994
SRR12720823	SARS-Cov-2 study 1	1	2	99.7659	90.7057
SRR12720822	SARS-Cov-2 study 1	1	2	99.8428	79.2739
SRR12720821	SARS-Cov-2 study 1	1	0	0	0
SRR12720820	SARS-Cov-2 study 1	1	1	99.7559	89.2031
SRR12720819	SARS-Cov-2 study 1	1	1	99.6422	92.4853
SRR12720818	SARS-Cov-2 study 1	1	3	99.7057	95.2561
SRR12720817	SARS-Cov-2 study 1	1	28	86.9746	66.3844
SRR12720815	SARS-Cov-2 study 1	1	3	2.5716	24.0764
SRR12720814	SARS-Cov-2 study 1	1	18	97.6089	84.4572
SRR12720812	SARS-Cov-2 study 1	1	0	0	0
SRR12720811	SARS-Cov-2 study 1	1	1	99.8863	1.6087
SRR12720810	SARS-Cov-2 study 1	1	23	27.0341	35.1457
SRR12720806	SARS-Cov-2 study 1	1	8	99.5184	79.5368
SRR12720805	SARS-Cov-2 study 1	1	22	89.5863	83.6511
SRR12720804	SARS-Cov-2 study 1	1	22	29.1275	42.1164
SRR12720802	SARS-Cov-2 study 1	1	1	99.6422	79.9420
SRR12720794	SARS-Cov-2 study 1	1	2	99.5853	55.5690
SRR12720793	SARS-Cov-2 study 1	1	1	1.2005	0.0055
SRR12720848	SARS-Cov-2 study 1	1	1	99.7759	63.3582
