sample	project	gatkReads	gatkCov	asmFrag	asmCov	Signal
SRR22212056	HIV	11185	0.909341347357876	83	96.8022	1.38880098014321
SRR22211967	HIV	19739	0.94490582826635	36	100.0000	2.42852320905022
SRR22211868	HIV	128	0.101470862036865	2	7.8339	0.129328746138972
SRR22211856	HIV	1122	0.729096344874144	21	88.4098	1.28211929312689
SRR22212014	HIV	17	0.165747126436782	1	5.5882	0.010693154770532
SRR22212068	HIV	2	0.0157711841753542	0	0	0
SRR22211942	HIV	0	0	0	0	0
SRR22211996	HIV	0	0	0	0	0
SRR22211933	HIV	0	0	0	0	0
SRR22212019	HIV	0	0	0	0	0
SRR22211882	HIV	0	0	0	0	0
SRR22211819	HIV	0	0	0	0	0
SRR22211976	HIV	15320	0.980904668554418	208	98.9774	12.7251973485161
SRR22211990	HIV	2924	0.914657799944583	36	92.1582	0.899647544426532
SRR22211855	HIV	2938	0.876844930036419	41	88.8321	3.36030206913014
SRR22212002	HIV	0	0	0	0	0
SRR22211850	HIV	350	0.429361379160794	7	33.3880	0.317649394480842
SRR22211995	HIV	0	0	0	0	0
SRR22211911	HIV	0	0	0	0	0
SRR22212055	HIV	0	0.0181340968742544	0	0	0
SRR22211963	HIV	0	0	0	0	0
SRR22212050	HIV	66506	0.946508413950085	422	99.9546	14.4175997427516
SRR22211970	HIV	9686	0.945082497573601	191	99.1957	8.85689747873688
SRR22211975	HIV	26595	0.895659014517629	36	91.1373	1.09439546411829
SRR22212038	HIV	0	0	0	0	0
SRR22211922	HIV	0	0	0	0	0
SRR22211838	HIV	942	0.745131086142322	5	82.5490	0.329486679503063
SRR22211937	HIV	602	0.502482192963523	11	49.0107	0.210261950112995
SRR22211908	HIV	1108	0.789143839078136	14	74.9216	0.637816482786172
SRR22211999	HIV	11	0.0839494938004778	1	6.7067	0.0125217870964448
SRR22211859	HIV	12342	0.964774951076321	93	99.1263	0.403492023308506
SRR22211974	HIV	151	0.300920968087385	6	12.1917	0.158130261434089
SRR22212007	HIV	178	0.469226488592098	13	38.0022	0.102046489101378
SRR22212059	HIV	52263	0.992617058480668	214	99.6425	15.0275118673116
SRR22211943	HIV	7	0.05263773540765	1	7.4394	0.0266371622632597
SRR22211932	HIV	14026	0.950611364181251	128	97.9576	3.92312052903075
SRR22211828	HIV	324	0.584379819343468	9	61.5882	0.121226054645283
SRR22211979	HIV	0	0	0	0	0
SRR22211927	HIV	7135	0.919097315136919	54	83.0650	1.7735743731628
SRR22211816	HIV	53	0.241761899478531	4	13.7012	0.0202591617151473
SRR22212054	HIV	48309	0.979050535987749	351	100.0000	22.0683019625749
SRR22211883	HIV	0	0	0	0	0
SRR22212028	HIV	8	0.0674923304169981	0	0	0
SRR22211994	HIV	373	0.602031802120141	11	43.9237	0.289529427589097
SRR22211854	HIV	0	0	0	0	0
SRR22212016	HIV	48	0.252813948355771	3	14.0797	0.0114947822711697
SRR22211947	HIV	2759	0.946445587955022	32	89.4629	0.963593938931049
SRR22211848	HIV	6420	0.782208297730941	24	80.8665	0.52393687287712
SRR22212071	HIV	0	0	0	0	0
SRR22212003	HIV	165	0.473044049967127	12	26.9937	0.122452689237508
SRR22211962	HIV	16	0.0405807449720338	1	3.9322	0.0312515272979337
SRR22212048	HIV	0	0	0	0	0
SRR22211871	HIV	66380	0.983576642335766	399	99.9887	1.58497244433294
SRR22212010	HIV	61	0.34144418159288	7	28.9526	0.0608190499046748
SRR22211988	HIV	0	0	0	0	0
SRR22212015	HIV	32	0.217253051595035	5	15.4658	0.0979439643508723
SRR22211887	HIV	17601	0.959788448623237	81	92.1764	2.91110989834812
SRR22211951	HIV	44767	0.979798657718121	463	100.0000	21.0031807964714
SRR22211923	HIV	0	0	0	0	0
SRR22211815	HIV	1243	0.769398340248963	23	63.2484	0.727839996274651
SRR22211891	HIV	70	0.253668297020898	7	26.7775	0.247010646481753
SRR22212058	HIV	8	0.0394033837934105	0	0	0
SRR22211881	HIV	0	0	0	0	0
SRR22211824	HIV	576	0.605381646655232	9	70.7059	0.207713710064281
SRR22211866	HIV	0	0	0	0	0
SRR22211957	HIV	10423	0.909853926236785	64	96.6587	4.04265260338712
SRR22211858	HIV	496	0.229906138742043	5	10.9473	0.0824586712930813
SRR22211909	HIV	648	0.841682060197762	38	82.9203	0.28248002122227
SRR22211897	HIV	491	0.757587253414264	5	69.9216	0.11489293471131
SRR22212024	HIV	603	0.764996842769943	18	80.1497	0.319705045383947
SRR22212066	HIV	98	0.393959582500555	11	29.7922	0.198286085530726
SRR22211998	HIV	947	0.809148587801883	15	62.0335	0.124941891515312
SRR22211830	HIV	2300	0.951326589043711	71	96.6958	0.582045257245088
SRR22211941	HIV	6258	0.842239649826737	45	88.8235	2.81019374439601
SRR22212029	HIV	0	0	0	0	0
SRR22211835	HIV	0	0	0	0	0
SRR22211904	HIV	318	0.635200175016408	17	51.9700	0.0697801806172553
SRR22212077	HIV	0	0	0	0	0
SRR22212030	HIV	0	0	0	0	0
SRR22211978	HIV	0	0	0	0	0
SRR22212035	HIV	5870	0.941218580973592	95	91.9778	3.86875982745718
SRR22211829	HIV	2139	0.902851619139681	11	84.3137	0.475764059669295
SRR22211877	HIV	392917	0.992811311787072	1094	100.0000	33.5074722681084
SRR22211984	HIV	0	0	0	0	0
SRR22211921	HIV	0	0	0	0	0
SRR22212060	HIV	48650	0.992812336644015	68	98.4807	17.6884166322018
SRR22211893	HIV	0	0	0	0	0
SRR22212065	HIV	5	0.0479483110405804	0	0	0
SRR22212049	HIV	17163	0.883155730042999	27	95.4535	6.92751343557478
SRR22211953	HIV	25710	0.977262693156733	339	99.1111	8.33228089799797
SRR22211860	HIV	152	0.306407252724865	8	22.0384	0.383043559868202
SRR22211865	HIV	694	0.813717277486911	18	64.2650	0.159643305155032
SRR22211849	HIV	21941	0.990250487475626	179	99.6984	3.10368482674021
SRR22211873	HIV	14102	0.96296	35	97.2904	2.0614329101909
SRR22212036	HIV	10930	0.947325438954675	106	87.1502	1.54015561331626
SRR22211844	HIV	0	0	0	0	0
SRR22212073	HIV	27910	0.981729247590275	153	100.0000	10.7918390508958
SRR22212001	HIV	187	0.52026201843011	5	30.9600	0.120370628717417
SRR22211989	HIV	3041	0.867566547102133	16	83.2353	0.852899598453283
SRR22211912	HIV	0	0	0	0	0
SRR22211836	HIV	111	0.398757384396007	5	21.4847	0.0520973356091754
SRR22212044	HIV	0	0	0	0	0
SRR22211906	HIV	1280	0.734642968506392	15	89.7013	0.365958454928228
SRR22212069	HIV	0	0	0	0	0
SRR22212045	HIV	14562	0.916977834273457	152	92.9969	3.70040390572919
SRR22212040	HIV	5282	0.852280348759222	47	78.6201	1.27647488245774
SRR22211869	HIV	20101	0.977026347907244	80	99.5616	5.58977185351913
SRR22211845	HIV	0	0	0	0	0
SRR22211931	HIV	133	0.260586678429643	8	19.1031	0.207885632571964
SRR22211840	HIV	0	0	0	0	0
SRR22211826	HIV	0	0	0	0	0
SRR22211864	HIV	0	0	0	0	0
SRR22211917	HIV	11	0.117989477219299	1	4.5839	0.0118207331045685
SRR22211818	HIV	2	0.034940036900369	0	0	0
SRR22211980	HIV	97886	0.989476132333275	856	99.3116	25.1314715397139
SRR22212026	HIV	0	0	0	0	0
SRR22212064	HIV	0	0	0	0	0
SRR22211985	HIV	0	0	0	0	0
SRR22212018	HIV	0	0	0	0	0
SRR22212034	HIV	468	0.583391906817954	18	74.8832	0.18482188454824
SRR22211846	HIV	0	0	0	0	0
SRR22211892	HIV	9104	0.896499383360213	46	85.8914	1.26272162598589
SRR22211952	HIV	6	0.0409159159159159	1	3.4651	0.030647028153825
SRR22211905	HIV	0	0	0	0	0
SRR22211834	HIV	56	0.258601676224085	3	17.8668	0.0289349987002748
SRR22212046	HIV	129	0.508042895442359	5	38.4510	0.0890116427416148
SRR22211900	HIV	0	0	0	0	0
SRR22211839	HIV	0	0	0	0	0
SRR22212025	HIV	470	0.690534628107993	13	59.8525	0.18348543463879
SRR22211872	HIV	6460	0.960959916528997	34	98.6148	3.87717275307349
SRR22211986	HIV	0	0	0	0	0
SRR22212020	HIV	33479	0.894510307332176	168	97.4707	10.0046161677779
SRR22211961	HIV	10780	0.941558441558442	46	100.0000	4.38123539509906
SRR22211825	HIV	0	0	0	0	0
SRR22212039	HIV	634	0.695592864637985	16	55.2402	0.681172647950057
SRR22212072	HIV	69512	0.97376	318	99.9111	22.9538300104932
SRR22211913	HIV	160	0.470680218921032	16	40.2748	0.0277791039512423
SRR22211820	HIV	0	0	0	0	0
SRR22211889	HIV	20276	0.969222743870631	137	100.0000	2.148262650207
SRR22211936	HIV	0	0	0	0	0
SRR22212012	HIV	9584	0.986743158384371	39	99.7110	2.39586272717937
SRR22211901	HIV	823	0.745048988951428	14	65.7617	0.617808723665688
SRR22211973	HIV	0	0	0	0	0
SRR22211944	HIV	18251	0.981073664954619	243	100.0000	9.13582453890916
SRR22211960	HIV	0	0	0	0	0
SRR22212021	HIV	290	0.409582014624031	8	38.1326	0.319069134190152
SRR22211949	HIV	0	0	0	0	0
SRR22212053	HIV	0	0	0	0	0
SRR22211965	HIV	2338	0.74471188913202	47	95.5117	0.936174585521813
SRR22211993	HIV	44	0.22548794489093	2	9.5294	0.0100158067641296
SRR22211821	HIV	2096	0.844433249370277	27	76.5605	0.772299406955741
SRR22211884	HIV	0	0	0	0	0
SRR22211853	HIV	14	0.0831473214285714	2	4.1622	0.0662494195224044
SRR22212041	HIV	567	0.800411522633745	21	61.4192	0.40063109723358
SRR22211977	HIV	116	0.241379310344828	4	11.3965	0.157286814566359
SRR22212004	HIV	436	0.543497078554425	10	66.2009	0.236857689889025
SRR22211929	HIV	6749	0.949034811404571	2	99.7255	0.896850592088687
SRR22211878	HIV	0	0	0	0	0
SRR22211841	HIV	336	0.68044376767457	15	62.3708	0.0825499511439065
SRR22211930	HIV	13143	0.965382740126767	110	99.2171	3.81348916657709
SRR22211935	HIV	113275	0.953289110005528	520	98.6712	10.9014553304771
SRR22211958	HIV	27049	0.910808470440054	31	99.9665	5.99832169554941
SRR22211857	HIV	0	0	0	0	0
SRR22211898	HIV	57681	0.988250484183344	180	99.9430	9.49058117834424
SRR22211997	HIV	2110	0.920345203848825	24	64.6077	0.718778816568502
SRR22212057	HIV	34	0.264918324258251	2	6.6929	0.0154522974784531
SRR22211966	HIV	6353	0.964268996723358	47	98.5363	2.92377921675572
SRR22211924	HIV	0	0	0	0	0
SRR22211981	HIV	36075	0.982491582491583	270	99.9776	25.3600769883522
SRR22212009	HIV	0	0	0	0	0
