sample	project	gatkReads	gatkCov	asmFrag	asmCov	Signal
SRR22212011	hiv	14497	0.978741258741259	91	99.8978	1.42597885838958
SRR22211824	hiv	576	0.605381646655232	9	70.7059	0.207713710064281
SRR22211874	hiv	11551	0.959578207381371	91	100.0000	1.59296411557541
SRR22212010	hiv	61	0.34144418159288	7	28.9526	0.0608190499046748
SRR22211978	hiv	0	0	0	0	0
SRR22211928	hiv	0	0	0	0	0
SRR22211906	hiv	1280	0.734642968506392	15	89.7013	0.365958454928228
SRR22211909	hiv	648	0.841682060197762	38	82.9203	0.28248002122227
SRR22212034	hiv	468	0.583391906817954	18	74.8832	0.18482188454824
SRR22211967	hiv	19739	0.94490582826635	36	100.0000	2.42852320905022
SRR22211965	hiv	2338	0.74471188913202	47	95.5117	0.936174585521813
SRR22211932	hiv	14026	0.950611364181251	128	97.9576	3.92312052903075
SRR22211848	hiv	6420	0.782208297730941	24	80.8665	0.52393687287712
SRR22212045	hiv	14562	0.916977834273457	152	92.9969	3.70040390572919
SRR22212050	hiv	66506	0.946508413950085	422	99.9546	14.4175997427516
SRR22212047	hiv	0	0	0	0	0
SRR22212064	hiv	0	0	0	0	0
SRR22211962	hiv	16	0.0405807449720338	1	3.9322	0.0312515272979337
SRR22211935	hiv	113275	0.953289110005528	520	98.6712	10.9014553304771
SRR22211937	hiv	602	0.502482192963523	11	49.0107	0.210261950112995
SRR22211944	hiv	18251	0.981073664954619	243	100.0000	9.13582453890916
SRR22211903	hiv	320	0.565027322404372	12	45.7440	0.141253653499709
SRR22212051	hiv	3	0.0354088722608231	0	0	0
SRR22212042	hiv	18914	0.991763898421414	175	99.6353	5.42112536455309
SRR22211977	hiv	116	0.241379310344828	4	11.3965	0.157286814566359
SRR22211927	hiv	7135	0.919097315136919	54	83.0650	1.7735743731628
SRR22211986	hiv	0	0	0	0	0
SRR22211975	hiv	26595	0.895659014517629	36	91.1373	1.09439546411829
SRR22211925	hiv	2	0.00761003702180173	0	0	0
SRR22211953	hiv	25710	0.977262693156733	339	99.1111	8.33228089799797
SRR22212001	hiv	187	0.52026201843011	5	30.9600	0.120370628717417
SRR22211993	hiv	44	0.22548794489093	2	9.5294	0.0100158067641296
