fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio	gatk_length	gatk_cov	gatk_Depth	gatk_Segments	gatk_Reads
727	4	2302	8	7.6982	14	35	1.0081	29903	0.600630054	1.249683349	130	475
29	29	28084	58	93.917	64	0	99.8131	29903	0.996393437	193.5646771	6	115109
206	1	29873	2	99.8997	136	59	32.8008	29903	0.999728745	1840.588455	1	724622
1	1	417	2	1.3945	2	9	100	29903	0.828409903	2.129438077	156	1238
0	0	0	0	0	0	0	0	29903	0.015443241	0.015443241	6	6
0	0	0	0	0	0	0	0	29903	0.002574734	0.002574734	1	1
235	3	787	6	2.6318	4	0	0.6561	29903	0.563366013	0.932843137	138	362
0	0	0	0	0	0	0	0	29903	0.048995394	0.049429277	28	29
0	0	0	0	0	0	0	0	29903	0.001705343	0.001705343	1	1
5	1	314	2	1.0501	2	0	22.9197	29903	0.847228231	2.266361782	130	1325
136	2	29777	4	99.5786	137	59	45.9638	29903	0.998113253	28.76083686	3	11073
0	0	0	0	0	0	0	0	29903	0.004747894	0.004747894	2	2
0	0	0	0	0	0	0	0	29903	0.822520274	1.999064255	148	1168
0	0	0	0	0	0	0	0	29903	0	0	0	1
54	18	5410	36	18.0918	45	18	30.6642	29903	0.891866663	3.276521425	91	1895
0	0	0	0	0	0	0	0	29903	0.032362568	0.032362568	19	19
0	0	0	0	0	0	0	0	29903	0.002574734	0.002574734	1	1
17	2	405	4	1.3544	4	0	8.8855	29903	0.624033978	1.39991697	197	801
71	2	29812	6	99.6957	140	62	60.6029	29903	0.999031766	79.16266326	2	30514
14	9	3411	18	11.4069	22	35	73.5833	29903	0.796600412	4.186159253	138	2275
0	0	0	0	0	0	0	0	29903	0.104341457	0.119556532	55	70
0	0	0	0	0	0	0	0	29903	0.023854069	0.023854069	14	14
862	32	12394	64	41.4473	50	35	4.6161	29903	0.961969112	9.101434087	58	5095
0	0	0	0	0	0	0	0	29903	0.057438292	0.068912608	32	40
0	0	0	0	0	0	0	0	29903	0.032658786	0.039404261	18	23
0	0	0	0	0	0	0	0	29903	0.018746241	0.020450444	11	12
