outbreak	prj	Combine_purity	Single_purity
rand.97	Judith_LASV_2023	85.3430353430353	75.7633
rand.59	Admed_SARS2_2020	100	98.6267
rand.60	Grundy_HIV_2023	93.0282655525818	14.1835
rand.15	Admed_SARS2_2020	95.2691783643335	95.2692
rand.70	Admed_SARS2_2020	91.32197396897	84.0881
rand.39	Judith_LASV_2023	36.4496909627485	9.9240
rand.24	Judith_LASV_2023	84.0086052348512	11.1316
rand.85	Judith_LASV_2023	35.2305065452476	12.8007
rand.86	Admed_SARS2_2020	89.7218137622663	85.1230
rand.18	Admed_SARS2_2020	100	91.5739
rand.16	Judith_LASV_2023	100	80.3319
rand.73	Grundy_HIV_2023	93.900923723018	37.9955
rand.34	Judith_LASV_2023	49.861581051984	38.0978
rand.49	Admed_SARS2_2020	89.0834099878342	64.3965
rand.54	Admed_SARS2_2020	83.7658520198203	58.3741
rand.92	Grundy_HIV_2023	77.8515007898894	10.9128
rand.99	Grundy_HIV_2023	98.7146529562982	24.6416
rand.47	Saha_CHIKV_2019	31.7195236183594	9.9253
rand.47	Tony_Ebola_2014	100	61.9522
rand.66	Admed_SARS2_2020	45.4130319350679	5.8563
rand.2	Judith_LASV_2023	100	12.0288
rand.68	Judith_LASV_2023	92.6515151515152	53.5850
rand.10	Tony_Ebola_2014	95.5364806866953	74.0266
rand.10	Saha_CHIKV_2019	41.5724832919276	10.0615
rand.61	Admed_SARS2_2020	100	98.9359
rand.37	Grundy_HIV_2023	94.0930402802712	24.7534
rand.71	Grundy_HIV_2023	83.8137030018949	6.9934
rand.42	Admed_SARS2_2020	63.8721660048674	50.1098
rand.83	Admed_SARS2_2020	33.8539487225885	5.9503
rand.13	Judith_LASV_2023	44.3148337442126	32.7384
rand.76	Grundy_HIV_2023	98.6427829064009	13.3231
rand.22	Judith_LASV_2023	69.91643454039	38.2632
rand.57	Saha_CHIKV_2019	29.3036391111551	13.3862
rand.27	Grundy_HIV_2023	92.2897599723709	10.9652
rand.80	Grundy_HIV_2023	97.2710733778047	29.5852
rand.32	Judith_LASV_2023	91.0933333333333	1.9931
rand.52	Admed_SARS2_2020	95.7746030735944	88.9582
rand.3	Judith_LASV_2023	100	85.0585
rand.78	Tony_Ebola_2014	98.4910765388418	93.5772
rand.65	Judith_LASV_2023	89.6807220800216	76.5685
rand.94	Grundy_HIV_2023	90.9160774669536	13.6469
rand.41	Tony_Ebola_2014	98.438472712181	90.8668
rand.89	Saha_CHIKV_2019	37.4732922288017	7.7749
rand.89	Tony_Ebola_2014	96.1399766367007	88.9628
rand.41	Saha_CHIKV_2019	40.5262623183989	20.4023
rand.67	Admed_SARS2_2020	97.4079126875853	91.5397
rand.46	Tony_Ebola_2014	100	89.1846
rand.28	Saha_CHIKV_2019	28.4232016332413	14.4893
rand.35	Tony_Ebola_2014	52.1060842433697	2.8557
rand.35	Saha_CHIKV_2019	29.0900183710961	13.7761
rand.4	Grundy_HIV_2023	92.9236710586097	7.6799
rand.77	Grundy_HIV_2023	91.3271630443765	15.7939
rand.31	Grundy_HIV_2023	94.8607937322203	12.1116
rand.1	Tony_Ebola_2014	75.6575052854123	66.3120
rand.45	Grundy_HIV_2023	77.1727928546891	9.3992
rand.5	Saha_CHIKV_2019	29.8234568212154	11.9297
rand.36	Grundy_HIV_2023	87.6985620718211	2.5146
rand.14	Grundy_HIV_2023	79.7179314976494	2.9852
rand.62	Saha_CHIKV_2019	26.5788349558219	15.0314
rand.8	Admed_SARS2_2020	98.7340937561812	94.4806
rand.21	Grundy_HIV_2023	90.1277220690734	8.6641
rand.51	Tony_Ebola_2014	67.9151106004022	56.9047
rand.19	Grundy_HIV_2023	98.8219440097374	43.6959
rand.72	Judith_LASV_2023	100	83.1413
rand.26	Grundy_HIV_2023	79.0059892823369	2.2713
rand.5	Grundy_HIV_2023	95.5481972038263	7.3908
rand.56	Saha_CHIKV_2019	35.7470017477249	18.2619
rand.56	Tony_Ebola_2014	67.759881864075	57.0664
rand.90	Tony_Ebola_2014	98.0675577660346	87.0326
rand.48	Grundy_HIV_2023	97.6118212632092	4.8298
rand.38	Saha_CHIKV_2019	28.1877122568694	11.1002
rand.25	Tony_Ebola_2014	100	88.9971
rand.84	Saha_CHIKV_2019	54.8970020231745	25.7796
rand.55	Grundy_HIV_2023	91.6109530583215	9.1893
rand.38	Tony_Ebola_2014	100	80.1105
rand.7	Judith_LASV_2023	100	40.9704
rand.6	Admed_SARS2_2020	44.3807152490626	32.7836
rand.96	Judith_LASV_2023	85.718501032753	NA
rand.50	Judith_LASV_2023	88.9193355026546	80.4847
