sample	project	Mixnumber	denovofrag	frag	cov	signal	sampleType	virus	gatkReads	denovoAssemble
X22JS062980	LA_SARS2_2024	1	104	5	4.63830286532951	3.93497503404448	BALF	COVID	1525	T
MDL001.Q24C22520013L.RNA.D20.20221224	LA_SARS2_2024	1	55	19	18.7038493939394	31.4496176338282	BALF	COVID	1895	T
ZDH23062200081R	LA_SARS2_2024	1	516	2	100	18.6054030528181	BALF	COVID	1879973	T
S217RN0396.R	LA_SARS2_2024	1	29	27	29.3883760192948	95.1906412478336	BALF	COVID	3473	T
ZDH23051800051R	LA_SARS2_2024	1	85	1	0.832730263157895	0.783634933123525	BALF	COVID	490	T
X22JS062715	LA_SARS2_2024	1	164	47	74.6046028537401	22.5238777941562	BALF	COVID	5746	T
CF23990150.8D6BXX1QXF1.N002JQ84	LA_SARS2_2024	1	0	0	0	0	BALF	COVID	161	F
ZDH23060600022R	LA_SARS2_2024	1	22	1	99.6755783548333	82.1758429599405	BALF	COVID	87672	T
CF235M0129.8D6AXX1ZXF1.N002J019	LA_SARS2_2024	1	0	0	0	0	BALF	COVID	591	F
E217RE0131.R	LA_SARS2_2024	1	159	4	99.3679612215384	38.851479452413	BALF	COVID	82534	T
MAX120701	LA_SARS2_2024	1	0	0	0	0	BALF	COVID	440	F
E218YF0563.R	LA_SARS2_2024	1	0	0	0	0	BALF	COVID	42	F
CF23550199.8D6AXX1ZXF1.N002KX2P	LA_SARS2_2024	1	26	25	96.3515480662598	99.1227164826091	BALF	COVID	1	T
S118HM0188.R	LA_SARS2_2024	1	189	43	64.1975333298539	34.3195795194508	BALF	COVID	3091	T
ZZMAX173346.AD.1R.1L.UDB.134	LA_SARS2_2024	1	2189	1	98.8596755879967	2.73287492673691	BALF	COVID	859131	T
ZZ22JS022631.1R.1L.UDB.189	LA_SARS2_2024	1	0	0	0	0	BALF	COVID	23	F
M118HM0160.R	LA_SARS2_2024	1	0	0	0	0	BALF	COVID	11	F
CF236G0177.8D6AXX1LXF1.N002J019	LA_SARS2_2024	1	2382	38	87.4628066008376	1.44262909969442	BALF	COVID	759	T
M118HM0143.R	LA_SARS2_2024	1	0	0	0	0	BALF	COVID	2	F
ZDH23050900052R	LA_SARS2_2024	1	105	2	99.5251729030958	52.5664123216052	BALF	COVID	10472	T
CF236N0107.8D6BXX1NXF1.N002KX2P	LA_SARS2_2024	1	51	36	92.0409601825714	85.4831195452992	BALF	COVID	16266	T
ZZMAX91082.1R.1L.UDB.110	LA_SARS2_2024	1	0	0	0	0	BALF	COVID	123	F
ZDH23060900092R	LA_SARS2_2024	1	0	0	0	0	BALF	COVID	36	F
ZZ22JS06247101.AD.1R.1L.UDB.133	LA_SARS2_2024	1	0	0	0	0	BALF	COVID	0	F
ZDH23052200112R	LA_SARS2_2024	1	143	30	89.4659791138518	46.485725704158	BALF	COVID	4281	T
CF235S0122.8D6AXX1ZXF1.N002J019	LA_SARS2_2024	1	30	30	94.7463037066049	100	BALF	COVID	36721	T
CF23600154.8D6AXX1LXF1.N002J019	LA_SARS2_2024	1	555	43	78.4636911554433	11.5675872881272	BALF	COVID	6380	T
MDL001.Q09C23030037T.RNA.A08.20230110	LA_SARS2_2024	1	0	0	0	0	BALF	COVID	1	F
MDL001.Q11C23020193L.RNA.D48.20230109	LA_SARS2_2024	1	0	0	0	0	BALF	COVID	53	F
