virus	length	Expect_errors	Actual_error	expected_Escape_blast	expected_Escape_bowtie
SARS_cov_2	50	0	0	2983000	2985400
SARS_cov_2	50	0	1	0	0
SARS_cov_2	50	0	2	0	0
SARS_cov_2	50	0	3	0	0
SARS_cov_2	50	0	4	0	0
SARS_cov_2	50	0	5	0	0
SARS_cov_2	50	0	6	0	0
SARS_cov_2	50	0	7	0	0
SARS_cov_2	50	0	8	0	0
SARS_cov_2	50	0	9	0	0
SARS_cov_2	50	0	10	0	0
SARS_cov_2	50	1	0	299755	0
SARS_cov_2	50	1	1	2322752	2985400
SARS_cov_2	50	1	2	0	0
SARS_cov_2	50	1	3	0	0
SARS_cov_2	50	1	4	0	0
SARS_cov_2	50	1	5	0	0
SARS_cov_2	50	1	6	0	0
SARS_cov_2	50	1	7	0	0
SARS_cov_2	50	1	8	0	0
SARS_cov_2	50	1	9	0	0
SARS_cov_2	50	1	10	0	0
SARS_cov_2	50	2	0	61769	0
SARS_cov_2	50	2	1	432617	398
SARS_cov_2	50	2	2	1191144	2398074
SARS_cov_2	50	2	3	0	0
SARS_cov_2	50	2	4	0	0
SARS_cov_2	50	2	5	0	0
SARS_cov_2	50	2	6	0	0
SARS_cov_2	50	2	7	0	0
SARS_cov_2	50	2	8	0	0
SARS_cov_2	50	2	9	0	0
SARS_cov_2	50	2	10	0	0
SARS_cov_2	50	3	0	21186	0
SARS_cov_2	50	3	1	119746	22
SARS_cov_2	50	3	2	303574	2651
SARS_cov_2	50	3	3	492373	1547667
SARS_cov_2	50	3	4	0	84
SARS_cov_2	50	3	5	0	0
SARS_cov_2	50	3	6	0	0
SARS_cov_2	50	3	7	0	0
SARS_cov_2	50	3	8	0	0
SARS_cov_2	50	3	9	0	0
SARS_cov_2	50	3	10	0	0
SARS_cov_2	50	4	0	9411	0
SARS_cov_2	50	4	1	46088	0
SARS_cov_2	50	4	2	97876	123
SARS_cov_2	50	4	3	150228	5873
SARS_cov_2	50	4	4	169675	904838
SARS_cov_2	50	4	5	0	356
SARS_cov_2	50	4	6	0	25
SARS_cov_2	50	4	7	0	0
SARS_cov_2	50	4	8	0	0
SARS_cov_2	50	4	9	0	0
SARS_cov_2	50	4	10	0	0
SARS_cov_2	50	5	0	5548	0
SARS_cov_2	50	5	1	21384	0
SARS_cov_2	50	5	2	39400	10
SARS_cov_2	50	5	3	51720	358
SARS_cov_2	50	5	4	56655	8424
SARS_cov_2	50	5	5	46621	494606
SARS_cov_2	50	5	6	0	818
SARS_cov_2	50	5	7	0	169
SARS_cov_2	50	5	8	0	7
SARS_cov_2	50	5	9	0	0
SARS_cov_2	50	5	10	0	0
SARS_cov_2	50	6	0	4113	0
SARS_cov_2	50	6	1	11558	0
SARS_cov_2	50	6	2	17532	0
SARS_cov_2	50	6	3	20403	24
SARS_cov_2	50	6	4	19196	552
SARS_cov_2	50	6	5	15727	554
SARS_cov_2	50	6	6	9382	111
SARS_cov_2	50	6	7	0	21
SARS_cov_2	50	6	8	0	1
SARS_cov_2	50	6	9	0	0
SARS_cov_2	50	6	10	0	0
SARS_cov_2	50	7	0	3729	0
SARS_cov_2	50	7	1	6572	0
SARS_cov_2	50	7	2	7791	0
SARS_cov_2	50	7	3	7729	0
SARS_cov_2	50	7	4	6603	42
SARS_cov_2	50	7	5	4642	56
SARS_cov_2	50	7	6	2790	18
SARS_cov_2	50	7	7	851	3
SARS_cov_2	50	7	8	0	1
SARS_cov_2	50	7	9	0	0
SARS_cov_2	50	7	10	0	0
SARS_cov_2	50	8	0	3190	0
SARS_cov_2	50	8	1	3472	0
SARS_cov_2	50	8	2	3074	0
SARS_cov_2	50	8	3	2643	0
SARS_cov_2	50	8	4	1852	3
SARS_cov_2	50	8	5	1126	8
SARS_cov_2	50	8	6	473	4
SARS_cov_2	50	8	7	57	0
SARS_cov_2	50	8	8	0	0
SARS_cov_2	50	8	9	0	0
SARS_cov_2	50	8	10	0	0
SARS_cov_2	50	9	0	1973	0
SARS_cov_2	50	9	1	1456	0
SARS_cov_2	50	9	2	1058	0
SARS_cov_2	50	9	3	747	0
SARS_cov_2	50	9	4	414	0
SARS_cov_2	50	9	5	180	0
SARS_cov_2	50	9	6	49	0
SARS_cov_2	50	9	7	0	0
SARS_cov_2	50	9	8	0	0
SARS_cov_2	50	9	9	0	0
SARS_cov_2	50	9	10	0	0
SARS_cov_2	50	10	0	953	0
SARS_cov_2	50	10	1	506	0
SARS_cov_2	50	10	2	307	0
SARS_cov_2	50	10	3	172	0
SARS_cov_2	50	10	4	89	0
SARS_cov_2	50	10	5	17	0
SARS_cov_2	50	10	6	0	1
SARS_cov_2	50	10	7	0	0
SARS_cov_2	50	10	8	0	0
SARS_cov_2	50	10	9	0	0
SARS_cov_2	50	10	10	0	0
SARS_cov_2	150	0	0	2975400	2975400
SARS_cov_2	150	0	1	0	0
SARS_cov_2	150	0	2	0	0
SARS_cov_2	150	0	3	0	0
SARS_cov_2	150	0	4	0	0
SARS_cov_2	150	0	5	0	0
SARS_cov_2	150	0	6	0	0
SARS_cov_2	150	0	7	0	0
SARS_cov_2	150	0	8	0	0
SARS_cov_2	150	0	9	0	0
SARS_cov_2	150	0	10	0	0
SARS_cov_2	150	0	11	0	0
SARS_cov_2	150	0	12	0	0
SARS_cov_2	150	0	13	0	0
SARS_cov_2	150	0	14	0	0
SARS_cov_2	150	0	15	0	0
SARS_cov_2	150	0	16	0	0
SARS_cov_2	150	0	17	0	0
SARS_cov_2	150	0	18	0	0
SARS_cov_2	150	0	19	0	0
SARS_cov_2	150	0	20	0	0
SARS_cov_2	150	0	21	0	0
SARS_cov_2	150	0	22	0	0
SARS_cov_2	150	0	23	0	0
SARS_cov_2	150	0	24	0	0
SARS_cov_2	150	0	25	0	0
SARS_cov_2	150	0	26	0	0
SARS_cov_2	150	0	27	0	0
SARS_cov_2	150	0	28	0	0
SARS_cov_2	150	0	29	0	0
SARS_cov_2	150	0	30	0	0
SARS_cov_2	150	1	0	100542	0
SARS_cov_2	150	1	1	2874858	2975400
SARS_cov_2	150	1	2	0	0
SARS_cov_2	150	1	3	0	0
SARS_cov_2	150	1	4	0	0
SARS_cov_2	150	1	5	0	0
SARS_cov_2	150	1	6	0	0
SARS_cov_2	150	1	7	0	0
SARS_cov_2	150	1	8	0	0
SARS_cov_2	150	1	9	0	0
SARS_cov_2	150	1	10	0	0
SARS_cov_2	150	1	11	0	0
SARS_cov_2	150	1	12	0	0
SARS_cov_2	150	1	13	0	0
SARS_cov_2	150	1	14	0	0
SARS_cov_2	150	1	15	0	0
SARS_cov_2	150	1	16	0	0
SARS_cov_2	150	1	17	0	0
SARS_cov_2	150	1	18	0	0
SARS_cov_2	150	1	19	0	0
SARS_cov_2	150	1	20	0	0
SARS_cov_2	150	1	21	0	0
SARS_cov_2	150	1	22	0	0
