length	ref	error	Fre
100	SARS-cov-2	7	47123
100	CloseBat	6	1457843
100	SARS-cov-2	0	20202622
50	SARS-cov-1	6	124360
100	SARS-cov-2	4	185308
100	CloseBat	20	6457
100	SARS-cov-2	11	11683
100	SARS-cov-2	23	2
100	SARS-cov-1	10	327838
100	CloseBat	26	508
100	SARS-cov-1	29	347
50	SARS-cov-2	14	8
50	SARS-cov-1	3	729535
100	CloseBat	24	2119
100	CloseBat	15	56337
100	SARS-cov-2	13	6062
50	SARS-cov-1	10	11161
100	SARS-cov-2	19	297
100	CloseBat	28	74
100	SARS-cov-1	8	547161
100	SARS-cov-2	25	1
50	SARS-cov-1	7	96629
100	CloseBat	14	106187
50	CloseBat	9	51160
50	SARS-cov-1	1	753090
100	CloseBat	29	5
100	CloseBat	5	1233951
100	SARS-cov-2	2	712041
100	CloseBat	0	163672
100	SARS-cov-1	31	403
50	SARS-cov-2	12	85
100	SARS-cov-1	28	551
100	SARS-cov-1	33	83
100	SARS-cov-1	2	95029
100	SARS-cov-1	20	9509
100	CloseBat	18	15444
100	SARS-cov-1	19	12293
50	SARS-cov-1	14	224
50	SARS-cov-1	12	1356
50	SARS-cov-2	3	333248
100	SARS-cov-1	14	88752
50	CloseBat	0	1440337
50	CloseBat	10	15534
100	SARS-cov-1	27	798
100	SARS-cov-1	32	655
100	CloseBat	1	229892
100	SARS-cov-1	30	436
100	CloseBat	13	178224
50	SARS-cov-1	0	548782
100	SARS-cov-1	13	107634
50	SARS-cov-2	11	153
100	CloseBat	2	556710
100	CloseBat	11	352160
100	SARS-cov-2	26	1
100	SARS-cov-1	3	223521
50	CloseBat	7	193718
50	CloseBat	4	821751
100	CloseBat	34	1
100	CloseBat	27	241
100	CloseBat	25	835
100	SARS-cov-2	24	1
100	SARS-cov-1	9	357135
50	SARS-cov-2	8	1207
100	CloseBat	4	1040993
100	CloseBat	17	29110
100	CloseBat	10	642299
100	SARS-cov-1	16	36240
50	CloseBat	13	819
50	SARS-cov-2	10	317
50	CloseBat	14	13
50	CloseBat	1	2416083
100	CloseBat	23	3272
50	CloseBat	11	4442
100	SARS-cov-2	6	72280
50	SARS-cov-2	0	32231639
50	SARS-cov-1	4	391530
50	SARS-cov-2	2	1152222
100	CloseBat	12	223243
50	SARS-cov-1	8	66405
100	SARS-cov-1	25	1075
100	SARS-cov-1	34	6
100	SARS-cov-1	4	289217
50	CloseBat	15	1
100	SARS-cov-2	1	2708007
50	SARS-cov-1	11	3034
100	SARS-cov-2	10	16130
100	SARS-cov-1	26	419
100	SARS-cov-2	5	113260
100	SARS-cov-2	12	8396
100	CloseBat	9	950716
100	SARS-cov-1	1	77451
50	CloseBat	2	2304460
100	SARS-cov-1	24	2608
100	SARS-cov-1	15	46569
100	SARS-cov-1	17	19033
50	SARS-cov-1	13	906
100	SARS-cov-1	23	2373
100	CloseBat	19	7989
100	CloseBat	16	31280
50	SARS-cov-2	7	2712
100	SARS-cov-2	9	22321
50	SARS-cov-2	6	10281
100	SARS-cov-1	0	30335
100	SARS-cov-2	17	1183
100	CloseBat	22	2273
50	SARS-cov-2	5	22629
100	SARS-cov-1	18	21493
100	SARS-cov-2	21	7
50	SARS-cov-2	1	7687566
100	SARS-cov-2	14	4269
100	SARS-cov-2	15	2931
100	CloseBat	30	1
50	CloseBat	5	463663
50	SARS-cov-1	2	1159037
50	SARS-cov-2	15	1
50	SARS-cov-2	13	30
50	SARS-cov-1	9	38339
100	SARS-cov-1	22	3043
100	SARS-cov-2	18	654
100	SARS-cov-1	11	220555
100	CloseBat	21	2278
100	SARS-cov-1	6	457246
100	CloseBat	8	1102035
50	SARS-cov-1	15	82
100	SARS-cov-1	5	354377
100	SARS-cov-2	3	304679
50	CloseBat	6	267436
100	SARS-cov-1	21	7223
50	SARS-cov-1	5	245311
50	CloseBat	12	426
100	SARS-cov-2	16	1832
100	CloseBat	3	708209
100	SARS-cov-2	8	33337
100	CloseBat	7	1229517
100	SARS-cov-2	20	120
50	CloseBat	8	98768
100	SARS-cov-1	7	433501
100	SARS-cov-1	12	164461
100	CloseBat	33	1
50	SARS-cov-2	4	78776
50	SARS-cov-2	9	638
100	SARS-cov-2	22	3
50	CloseBat	3	1780170
