length	ref	error	Fre
50	POPs	12	166
50	POPs	15	3
100	POPs	11	53960
50	POPs	14	14
50	POPs	13	96
100	POPs	18	2909
100	POPs	2	3332509
100	POPs	9	106269
100	POPs	13	30076
100	POPs	12	39967
50	POPs	5	32485
100	POPs	6	358085
100	POPs	22	36
100	POPs	26	15
50	POPs	10	757
50	POPs	8	2698
50	POPs	2	1318004
100	POPs	23	20
100	POPs	14	18937
50	POPs	1	9838678
50	POPs	9	1417
100	POPs	24	6
100	POPs	19	1299
100	POPs	20	528
100	POPs	15	12945
50	POPs	6	14232
100	POPs	10	75374
100	POPs	1	12525323
100	POPs	5	563383
50	POPs	7	5380
100	POPs	0	104896877
50	POPs	0	73843701
50	POPs	11	328
100	POPs	17	5242
100	POPs	25	8
100	POPs	8	159602
50	POPs	4	110691
100	POPs	16	8063
100	POPs	7	229355
100	POPs	4	910307
100	POPs	3	1498402
50	POPs	3	278023
100	POPs	21	46
