sample	n_reads	n_SARS-cov-2	n_closest_Bat	n_SARS-cov-1	Other	ExpectedMissingRatio_without_SARS_cov_2	ExpectedMissingRatio_if_without_Closet_Bat
N218HM0249.R	24	12	15	8	9	0.375	0.583333333333333	NA
CF236B0251.8D6AXX1LXF1.N002KX2P	2896	1899	2535	1092	974	0.12085635359116	0.593232044198895	NA
N218HM0187.R	27	18	21	12	11	0.185185185185185	0.518518518518518	NA
X21JS942944	1587366	940778	1278373	532845	475982	0.188197932927882	0.628005765526035	NA
ZDH23052200112R	4281	3996	3817	3229	3021	0.095538425601495	0.217005372576501	NA
CF23620301.8D6AXX1LXF1.N002J019	2537	1631	2171	877	775	0.139140717382736	0.621206148994876	NA
ZDH23051800051R	490	465	449	391	354	0.0693877551020408	0.183673469387755	NA
ZZMAX119816.1R.1L.UDB.178	6357	3804	5384	2266	2077	0.145036967122857	0.613654239421111	NA
M117RT0292.R	2	1	2	1	1	0	0.5	NA
CF239E0315.8D6BXX1LXF1.N002JQ84	101571	57665	87127	30913	27542	0.13735219698536	0.66855697000128	NA
N117RN0130.R	963	607	762	308	306	0.204569055036345	0.598130841121495	NA
ZDH230101721R	86586	82032	79911	68394	64643	0.0627237659667845	0.179313052918486	NA
MDL001.Q24C23030015L.RNA.C19.20230113	1325	840	1136	454	413	0.135849056603774	0.629433962264151	NA
PB23660369.8D6AXX1LXF1.N002KX2P	914	575	786	326	278	0.135667396061269	0.62253829321663	NA
MDL001.Q09C23030037T.RNA.A08.20230110	1	1	1	0	0	0	1	NA
MDL001.Q24C22520012L.RNA.D19.20221224	19	9	15	4	3	0.210526315789474	0.789473684210526	NA
MDL001.Q11C23020193L.RNA.D48.20230109	53	30	43	18	12	0.188679245283019	0.660377358490566	NA
SRR12720795	0	0	0	0	0	NA	NA	NA
SRR12720815	6618	6348	6147	5671	5406	0.0705651254155334	0.136748262314899	NA
SRR12720797	86220	85823	84484	80971	77103	0.0130944096497332	0.0535026675945256	NA
N217RE0120.R	17573	10844	14010	5938	5379	0.198713936152051	0.622090707335116	NA
CF238H0204.8D6BXX1QXF1.N002JQ84	146978	81629	124341	42901	38041	0.149505368150335	0.684034345276164	NA
ZDH23062100091R	14	13	12	9	9	0.0714285714285714	0.285714285714286	NA
E217RT0353.R	91	47	75	20	19	0.153846153846154	0.736263736263736	NA
M117RE0134.R	2	1	2	1	1	0	0.5	NA
MAX138984	131	75	113	43	39	0.129770992366412	0.633587786259542	NA
M117RE0443.R	2449	1484	1974	828	719	0.190690077582687	0.643936300530829	NA
M118YF0291.R	170	84	125	52	45	0.264705882352941	0.670588235294118	NA
MDL001.Q24C23080011L.RNA.A09.20230217	1	1	1	1	1	0	0	NA
ZZ22JS062765.AD.1R.1L.UDB.191	4	4	4	3	2	0	0.25	NA
MDL001.Q09C23040039L.RNA.C48.20230117	9	6	4	4	2	0.555555555555556	0.555555555555556	NA
ZDH23060600052R	1710	1591	1549	1311	1237	0.083625730994152	0.201754385964912	NA
E218YF0474.R	1742684	1031786	1413472	582163	527369	0.183205331546052	0.631088596670423	NA
S217RT0481.R	559	345	462	191	185	0.162790697674419	0.611806797853309	NA
ZZ22JS022634.1R.1L.UDB.106	70	36	58	20	19	0.171428571428571	0.7	NA
SRR12720804	11390	11086	10730	10344	9929	0.0547848990342406	0.0766461808604039	NA
ZDH230100321R	11073	10607	10367	8931	8439	0.0518378036665764	0.162376952948614	NA
MDL001.Q09C22520017N.RNA.A04.20221221	1	0	1	0	0	0	1	NA
MDL001.Q24C22520006L.RNA.D11.20221223	1238	788	1045	430	369	0.146203554119548	0.627625201938611	NA
ZDH23060900092R	36	30	29	23	23	0.138888888888889	0.277777777777778	NA
ZZMAX127430.1R.1L.UDB.179	1583781	972115	1328813	591236	542172	0.151507689510103	0.592091962209422	NA
ZZ24JS04646.AD.1R.1L.UDB.112	615869	373419	516597	210768	190788	0.154834875598545	0.629190623330611	NA
X22JS023195	6	5	6	4	4	0	0.333333333333333	NA
ZDH221200291R	1	1	1	1	1	0	0	NA
M118HM0283.R	1	1	1	1	1	0	0	NA
M217RT0115.R	3591	2182	2927	1208	1100	0.176830966304651	0.621832358674464	NA
M118HM0181.R	134	91	110	53	46	0.17910447761194	0.574626865671642	NA
MDL001.Q24C22520013L.RNA.D20.20221224	1895	1201	1573	633	561	0.165699208443272	0.645910290237467	NA
M118HM0160.R	11	6	11	4	5	0	0.454545454545455	NA
M118YJ0170.R	151	103	129	51	45	0.132450331125828	0.609271523178808	NA
CF24370096.8F6AXXJ41F1.N008JQ84	1103638	558466	960711	302937	271629	0.124923208515836	0.70172465971632	NA
MDL001.Q18C23050052L.RNA.A44.20230126	533	339	457	189	166	0.135084427767355	0.624765478424015	NA
S118YF0150.R	2227707	2058228	1992982	1711499	1576068	0.0915623104833804	0.2120242922431	NA
E218YF0411.R	1029	655	877	361	369	0.139941690962099	0.577259475218659	NA
SRR12720844	8876	8487	8339	7754	7625	0.0463046417305092	0.101397025687247	NA
ZZ22JS022625.1R.1L.UDB.108	629	379	538	231	222	0.139904610492846	0.604133545310016	NA
MDL001.Q24C23040031L.RNA.A37.20230120	3	1	2	0	0	0.333333333333333	1	NA
SRR12720802	2365827	2261068	2208997	2039736	1955531	0.0570430551346316	0.11780996666282	NA
ZZ22JS022633.1R.1L.UDB.105	40	29	35	18	21	0.125	0.425	NA
SRR12720814	29079	27890	27267	25150	24255	0.0530967364764951	0.116578974517693	NA
CF23600154.8D6AXX1LXF1.N002J019	6380	4090	5523	2220	1984	0.129937304075235	0.624137931034483	NA
SRR12720858	3916687	3769761	3710530	3389161	3227669	0.0442792594863976	0.116033269954939	NA
CF230K0225.8D6BXX1PXF1.N002JQ84	66582	39597	58261	21700	19406	0.119656964344718	0.648778949265567	NA
CF231B0440.8B6AXX1VXF1.N002J019	16814	9832	14715	5277	4718	0.119840609016296	0.658023076008089	NA
E218HM0175.R	15	12	12	10	10	0.2	0.333333333333333	NA
M118HM0325.R	21	13	18	8	8	0.142857142857143	0.619047619047619	NA
ZDH23061100011R	11077	10289	9910	8503	8025	0.091721585266769	0.200686106346484	NA
X22JS062829	6833629	4088169	5726117	2227255	1995172	0.156399769434366	0.647135804416658	NA
CF239A0326.8D6BXX1VXF1.N002JQ84	617980	314433	530744	167422	148939	0.136980161170264	0.707215443865497	NA
N117RE0115.R	919	558	772	342	288	0.154515778019587	0.601741022850925	NA
ZDH230100411R	2	2	2	2	1	0	0	NA
CF23BS0175.8D6BXX1NXF1.N002JQ84	27828	17523	24496	9545	8435	0.114237458674716	0.629294236021274	NA
CF23630127.8D6AXX1LXF1.N002J019	48649	29785	41820	15964	14070	0.135028469238833	0.643404797632017	NA
CF23820402.8D6BXX1LXF1.N002J019	144639	80082	122718	42832	38232	0.147235531219104	0.680909021771445	NA
M118HM0143.R	2	2	2	0	0	0	1	NA
X21JS942954	22	9	14	5	3	0.363636363636364	0.727272727272727	NA
ZDH221200141R	724622	685482	666924	563969	532018	0.0656107598168424	0.185990764840151	NA
CF231C0481.8B6AXX1LXF1.N002J019	115109	66363	99951	35427	31462	0.12701005134264	0.665543093937051	NA
CF231K0254.8B6AXX1PXF1.N002J019	100420	59194	87287	31897	28424	0.125592511451902	0.656532563234415	NA
CF23660320.8D6AXX1LXF1.N002J019	53401	32525	46446	17686	15650	0.125334731559334	0.642272616617666	NA
ZDH23050900052R	10472	9690	9149	7732	7246	0.108384262796028	0.229660045836516	NA
SRR12720806	69049	66648	65559	60776	58277	0.0416370982925169	0.101377282799172	NA
ZDH23062200081R	1879973	1757564	1700222	1475383	1397145	0.0778495223069693	0.180615359901445	NA
ZZ24JS08815.AD.1R.1L.UDB.165	6	5	4	3	2	0.333333333333333	0.5	NA
MDL001.Q09C23030030L.RNA.A06.20230110	3	3	3	1	2	0	0.333333333333333	NA
ZZMAX120304.1R.1L.UDB.104	3	3	3	2	2	0	0.333333333333333	NA
ZZ22JS021652.1R.1L.UDB.184	801	493	653	296	259	0.173533083645443	0.605493133583021	NA
ZZ22JS117088.AD.1R.1L.UDB.189	15	8	11	4	3	0.266666666666667	0.733333333333333	NA
MDL001.Q18C22530029L.RNA.D28.20221229	29	20	25	11	11	0.137931034482759	0.586206896551724	NA
X22JS062980	1525	883	1265	448	412	0.161967213114754	0.677377049180328	NA
ZDH23053000011R	157850	146828	139831	118612	112281	0.0976179917643332	0.214558124802027	NA
ZZ22JS022628.1R.1L.UDB.186	12	7	10	4	4	0.166666666666667	0.666666666666667	NA
CF231B0298.8B6AXX1LXF1.N002J019	19663	12662	17155	6758	6047	0.122666937903677	0.625489498042008	NA
ZZ22JS047639.1R.1L.UDB.166	3909	2494	3332	1479	1315	0.138142747505756	0.580711179329752	NA
E218YF0627.R	11691	6986	9544	3875	3479	0.17817124283637	0.636900179625353	NA
ZDH230401031R	2	2	2	2	2	0	0	NA
X22JS062715	5746	3261	4667	1746	1605	0.181691611555865	0.663940132265924	NA
ZZ22JS022632.1R.1L.UDB.107	5095	3056	4247	1841	1691	0.155642787046124	0.604906771344455	NA
CF235K0129.8D6AXX1ZXF1.N002J019	964677	453928	815930	238468	213650	0.149956928588533	0.730270339191253	NA
CF237H0187.8D6BXX1ZXF1.N002J019	527	337	464	193	175	0.117647058823529	0.599620493358634	NA
SRR12720820	18484	17681	17288	15772	15200	0.0560484743562	0.129625622159706	NA
CF236G0177.8D6AXX1LXF1.N002J019	9259	6058	8181	3345	2974	0.110919105734961	0.610001080030241	NA
N218YF0176.R	1455	906	1190	534	461	0.175945017182131	0.600687285223368	NA
SRR12720811	1254246	1198935	1170775	1082563	1039180	0.0578881654794992	0.118179368321685	NA
CF237Q0499.8B6BXX2IXF1.N002KX2P	58211	35072	50718	18826	16657	0.123602068337599	0.649533593307107	NA
S217RN0396.R	3473	2222	2907	1280	1174	0.156636913331414	0.599193780593147	NA
E218YJ0464.R	34041	19178	25738	10336	11229	0.241708527951588	0.611233512529009	NA
M217RT0156.R	3668	2270	3001	1225	1095	0.177480916030534	0.637404580152672	NA
CF23550199.8D6AXX1ZXF1.N002KX2P	365163	192208	312836	102216	90224	0.138817459600233	0.697348855168788	NA
