sample	n_reads	pops_reads	randNumber	ExpectedMissingRatio_POPS
SRR12720802	2365827	2361583	14	0.00179387588357052
SRR12720802	2365827	2361583	31	0.00179387588357052
SRR12720802	2365827	2361592	32	0.00179007171699368
SRR12720802	2365827	2361592	45	0.00179007171699368
SRR12720802	2365827	2361592	4	0.00179007171699368
SRR12720802	2365827	2361592	50	0.00179007171699368
SRR12720802	2365827	2361592	57	0.00179007171699368
SRR12720802	2365827	2361592	5	0.00179007171699368
SRR12720802	2365827	2361592	74	0.00179007171699368
SRR12720802	2365827	2361592	75	0.00179007171699368
SRR12720802	2365827	2361592	80	0.00179007171699368
MAX120701	440	419	17	0.0477272727272727
MAX120701	440	420	76	0.0454545454545455
MDL001.Q11C23020193L.RNA.D48.20230109	53	53	43	0
MDL001.Q11C23020193L.RNA.D48.20230109	53	53	58	0
MDL001.Q11C23020193L.RNA.D48.20230109	53	53	5	0
M118HM0160.R	11	9	61	0.181818181818182
M118HM0160.R	11	9	8	0.181818181818182
ZDH23062200101R	33	33	37	0
ZDH23062200101R	33	33	74	0
SRR12720846	7111	7101	100	0.00140627197299958
SRR12720846	7111	7102	11	0.00126564477569962
SRR12720846	7111	7102	25	0.00126564477569962
SRR12720846	7111	7102	36	0.00126564477569962
SRR12720846	7111	7102	42	0.00126564477569962
SRR12720846	7111	7102	48	0.00126564477569962
SRR12720846	7111	7102	49	0.00126564477569962
SRR12720846	7111	7102	59	0.00126564477569962
SRR12720846	7111	7102	75	0.00126564477569962
SRR12720846	7111	7102	81	0.00126564477569962
SRR12720846	7111	7102	84	0.00126564477569962
SRR12720846	7111	7102	97	0.00126564477569962
SRR12720819	12316659	0	101	1
SRR12720819	12316659	0	36	1
SRR12720819	12316659	0	41	1
SRR12720819	12316659	0	55	1
SRR12720819	12316659	0	56	1
SRR12720819	12316659	12296729	65	0.00161813361886531
SRR12720819	12316659	12296729	81	0.00161813361886531
SRR12720819	12316659	12296729	82	0.00161813361886531
SRR12720819	12316659	12296739	99	0.00161732171037617
ZDH230100321R	11073	11056	12	0.00153526596225052
ZDH230100321R	11073	11056	29	0.00153526596225052
