sample	n_reads	n_SARS-cov-2	n_closest_Bat	n_SARS-cov-1	OtherCorona	OtherNonCoronaVirus	ExpectedMissingRatio_without_SARS_cov_2	ExpectedMissingRatio_if_without_Closet_Bat	OtherVirusNCBI
E218YF0257.R	130110	126354	34981	21842	7436	0	0.668857120897702	0.818330643301821	NA
ZDH23053100102R	9	9	5	2	2	0	0.444444444444444	0.777777777777778	NA
M117RE0246.R	1116	1079	221	86	45	0	0.756272401433692	0.901433691756272	NA
E218YF0152.R	294412	286895	62480	24616	15551	2	0.748118283222151	0.886475415404263	NC_001451.1,1
ZZMAX83650.1R.1L.UDB.169	2275	2189	521	269	132	0	0.725714285714286	0.850989010989011	NA
M118HM0322.R	1	0	0	0	0	0	1	1	NA
PB23660369.8D6AXX1LXF1.N002KX2P	914	912	225	105	33	0	0.708971553610503	0.863238512035011	NA
X22JS062980	1525	1453	306	129	62	0	0.752786885245902	0.893114754098361	NA
M118YJ0170.R	151	147	31	12	2	0	0.768211920529801	0.920529801324503	NA
ZDH23062200081R	1879973	1874216	630325	283359	123437	5	0.609837481708514	0.8208197670924	NC_003436.1,1
CF234U0105.8D6AXX1ZXF1.N002J019	137573	137283	28760	10485	5397	2	0.753825241871588	0.902211916582469	AC_000192.1,1
SRR12720848	50777	50777	31807	12536	9189	0	0.281505405990901	0.671938082202572	NA
ZDH23061100011R	11077	11026	3646	1585	732	0	0.620113749210075	0.83127200505552	NA
SRR12720821	185	182	63	23	18	0	0.594594594594595	0.810810810810811	NA
MDL001.Q24C22520006L.RNA.D11.20221223	1238	1203	225	93	59	0	0.761712439418417	0.89983844911147	NA
ZZ22JS021585.1R.1L.UDB.181	86354	84011	18701	7931	4485	0	0.743428214095467	0.876195659726243	NA
ZZ22JS052116.1R.1L.UDB.110	7424	7152	1467	608	243	0	0.760371767241379	0.902478448275862	NA
MDL001.Q24C23030015L.RNA.C19.20230113	1325	1304	272	83	45	0	0.759245283018868	0.91622641509434	NA
M118HM0325.R	21	21	4	3	0	0	0.666666666666667	0.857142857142857	NA
ZZ22JS062765.AD.1R.1L.UDB.191	4	4	1	1	0	0	0.75	0.75	NA
SRR12720825	460806	458705	188416	75927	41863	9	0.537692651571377	0.796749608295031	AC_000192.1,2
ZDH23060600022R	87672	87399	28359	11282	5699	2	0.625285153754905	0.842709188794598	AC_000192.1,1
X21JS942954	22	19	8	1	1	0	0.636363636363636	0.909090909090909	NA
M118HM0160.R	11	9	3	0	2	2	0.545454545454545	0.818181818181818	NC_001451.1,2
E218YJ0353.R	331862	320637	70457	31516	13848	0	0.745122972801948	0.88465084884681	NA
ZZ24JS08815.AD.1R.1L.UDB.165	6	5	0	0	0	0	1	1	NA
CF231F0200.8B6AXX1KXF1.N002J019	8398	8384	1815	712	402	0	0.742081447963801	0.890569183138843	NA
ZDH23063000082R	1	1	1	0	0	0	0	1	NA
ZDH230401031R	2	2	2	2	2	0	0	0	NA
ZZMAX127430.1R.1L.UDB.179	1583781	1536672	329063	137221	81177	0	0.753578304071081	0.880839585776064	NA
S218YF0405.R	23	23	8	0	1	0	0.652173913043478	0.956521739130435	NA
ZZ22JS047632.1R.1L.UDB.142	12238	11827	2661	1101	604	0	0.746935773819251	0.878738355940513	NA
MDL001.Q24C23090080L.RNA.D27.20230225	102	101	23	8	5	0	0.735294117647059	0.892156862745098	NA
E218HM0175.R	15	15	5	3	2	0	0.666666666666667	0.8	NA
