sample	cohort	sequencer
SRR9869767.rna.1	Case	Illumina
SRR9869791.rna.1	Control	Illumina
SRR9869809.rna.1	Case	Illumina
SRR9869761.rna.1	Case	Illumina
SRR9869792.rna.1	Control	Illumina
SRR9869774.rna.1	Control	Illumina
SRR9869759.rna.1	Control	Illumina
SRR9869806.rna.1	Control	Illumina
SRR9869763.rna.1	Control	Illumina
SRR9869822.rna.1	Case	Illumina
SRR9869766.rna.1	Control	Illumina
SRR9869786.rna.1	Control	Illumina
SRR9869823.rna.1	Control	Illumina
SRR9869764.rna.1	Control	Illumina
SRR9869816.rna.1	Control	Illumina
SRR9869787.rna.1	Control	Illumina
SRR9869810.rna.1	Control	Illumina
SRR9869807.rna.1	Control	Illumina
SRR9869800.rna.1	Case	Illumina
SRR9869780.rna.1	Control	Illumina
SRR9869796.rna.1	Control	Illumina
SRR9869811.rna.1	Control	Illumina
SRR9869818.rna.1	Case	Illumina
SRR9869826.rna.1	Case	Illumina
SRR9869799.rna.1	Control	Illumina
SRR9869795.rna.1	Case	Illumina
SRR9869785.rna.1	Control	Illumina
SRR9869789.rna.1	Control	Illumina
SRR9869776.rna.1	Control	Illumina
SRR9869771.rna.1	Case	Illumina
SRR9869825.rna.1	Control	Illumina
SRR9869817.rna.1	Control	Illumina
SRR9869782.rna.1	Case	Illumina
SRR9869821.rna.1	Case	Illumina
SRR9869804.rna.1	Control	Illumina
SRR9869757.rna.1	Control	Illumina
SRR9869802.rna.1	Control	Illumina
SRR9869772.rna.1	Control	Illumina
SRR9869794.rna.1	Control	Illumina
SRR9869783.rna.1	Control	Illumina
SRR9869775.rna.1	Control	Illumina
SRR9869812.rna.1	Control	Illumina
SRR9869808.rna.1	Control	Illumina
SRR9869801.rna.1	Control	Illumina
SRR9869784.rna.1	Control	Illumina
SRR9869790.rna.1	Control	Illumina
SRR9869793.rna.1	Control	Illumina
SRR9869762.rna.1	Case	Illumina
SRR9869769.rna.1	Case	Illumina
SRR9869815.rna.1	Case	Illumina
SRR9869760.rna.1	Case	Illumina
SRR9869803.rna.1	Control	Illumina
SRR9869781.rna.1	Control	Illumina
SRR9869778.rna.1	Case	Illumina
SRR9869798.rna.1	Control	Illumina
SRR9869765.rna.1	Control	Illumina
SRR9869819.rna.1	Control	Illumina
SRR9869813.rna.1	Case	Illumina
SRR9869788.rna.1	Control	Illumina
SRR9869779.rna.1	Control	Illumina
SRR9869797.rna.1	Case	Illumina
SRR9869820.rna.1	Control	Illumina
SRR9869814.rna.1	Control	Illumina
SRR9869773.rna.1	Control	Illumina
SRR9869770.rna.1	Case	Illumina
SRR9869777.rna.1	Case	Illumina
SRR9869768.rna.1	Case	Illumina
SRR9869805.rna.1	Control	Illumina
SRR9869824.rna.1	Control	Illumina
SRR9869758.rna.1	Case	Illumina
