sample	cohort	sequencer
SRR22831153.rna.1	Control	Illumina_NovaSeq_6000
SRR24363102.rna.1	Case	Illumina_HiSeq_2500
SRR24415094.rna.1	Case	Illumina_HiSeq_2500
SRR24413238.rna.1	Case	Illumina_HiSeq_2500
SRR24363633.rna.1	Case	Illumina_HiSeq_2500
SRR22831209.rna.1	Control	Illumina_NovaSeq_6000
SRR24414150.rna.1	Case	Illumina_HiSeq_2500
SRR24389992.rna.1	Case	Illumina_HiSeq_2500
SRR24385731.rna.1	Case	Illumina_HiSeq_2500
SRR22831240.rna.1	Control	Illumina_NovaSeq_6000
SRR24415068.rna.1	Case	Illumina_HiSeq_2500
SRR24351604.rna.1	Case	Illumina_HiSeq_2500
SRR24390057.rna.1	Case	Illumina_HiSeq_2500
SRR24389991.rna.1	Case	Illumina_HiSeq_2500
SRR24363107.rna.1	Case	Illumina_HiSeq_2500
SRR22807069.rna.1	Case	Illumina_MiSeq
SRR24415100.rna.1	Case	Illumina_HiSeq_2500
SRR24351905.rna.1	Case	Illumina_HiSeq_2500
SRR22831171.rna.1	Control	Illumina_NovaSeq_6000
SRR22831190.rna.1	Control	Illumina_NovaSeq_6000
SRR24390580.rna.1	Case	Illumina_HiSeq_2500
SRR24390058.rna.1	Case	Illumina_HiSeq_2500
SRR22807077.rna.1	Case	Illumina_MiSeq
SRR22807067.rna.1	Case	Illumina_MiSeq
SRR22807056.rna.1	Case	Illumina_MiSeq
SRR22807085.rna.1	Case	Illumina_MiSeq
SRR24390056.rna.1	Case	Illumina_HiSeq_2500
SRR22807068.rna.1	Control	Illumina_MiSeq
SRR24415096.rna.1	Case	Illumina_HiSeq_2500
SRR24377016.rna.1	Case	Illumina_HiSeq_2500
SRR24351917.rna.1	Case	Illumina_HiSeq_2500
SRR22807092.rna.1	Case	Illumina_MiSeq
SRR24363103.rna.1	Case	Illumina_HiSeq_2500
SRR24415076.rna.1	Case	Illumina_HiSeq_2500
SRR24363632.rna.1	Case	Illumina_HiSeq_2500
SRR24413236.rna.1	Case	Illumina_HiSeq_2500
SRR24413237.rna.1	Case	Illumina_HiSeq_2500
SRR24363040.rna.1	Case	Illumina_HiSeq_2500
SRR22831197.rna.1	Control	Illumina_NovaSeq_6000
SRR24363043.rna.1	Case	Illumina_HiSeq_2500
SRR24390489.rna.1	Case	Illumina_HiSeq_2500
SRR24413239.rna.1	Case	Illumina_HiSeq_2500
SRR24415241.rna.1	Case	Illumina_HiSeq_2500
SRR24414145.rna.1	Case	Illumina_HiSeq_2500
SRR24390485.rna.1	Case	Illumina_HiSeq_2500
SRR24351605.rna.1	Case	Illumina_HiSeq_2500
SRR22831246.rna.1	Control	Illumina_NovaSeq_6000
SRR24415243.rna.1	Case	Illumina_HiSeq_2500
SRR24363055.rna.1	Case	Illumina_HiSeq_2500
SRR22807078.rna.1	Case	Illumina_MiSeq
SRR24390576.rna.1	Case	Illumina_HiSeq_2500
SRR24390054.rna.1	Case	Illumina_HiSeq_2500
SRR24363635.rna.1	Case	Illumina_HiSeq_2500
SRR24351906.rna.1	Case	Illumina_HiSeq_2500
SRR24415073.rna.1	Case	Illumina_HiSeq_2500
SRR22831155.rna.1	Control	Illumina_NovaSeq_6000
SRR22807101.rna.1	Discard	Illumina_MiSeq
SRR24414005.rna.1	Case	Illumina_HiSeq_2500
SRR22807046.rna.1	Control	Illumina_MiSeq
SRR24363053.rna.1	Case	Illumina_HiSeq_2500
SRR22807120.rna.1	Control	Illumina_MiSeq
SRR24390579.rna.1	Case	Illumina_HiSeq_2500
SRR22807110.rna.1	Control	Illumina_MiSeq
SRR22831177.rna.1	Control	Illumina_NovaSeq_6000
SRR24390581.rna.1	Case	Illumina_HiSeq_2500
SRR22831160.rna.1	Control	Illumina_NovaSeq_6000
SRR22831207.rna.1	Control	Illumina_NovaSeq_6000
SRR22831157.rna.1	Control	Illumina_NovaSeq_6000
SRR24390585.rna.1	Case	Illumina_HiSeq_2500
SRR22807108.rna.1	Control	Illumina_MiSeq
SRR24415240.rna.1	Case	Illumina_HiSeq_2500
SRR24414152.rna.1	Case	Illumina_HiSeq_2500
SRR22807066.rna.1	Case	Illumina_MiSeq
SRR24390050.rna.1	Case	Illumina_HiSeq_2500
SRR22807060.rna.1	Case	Illumina_MiSeq
SRR24415251.rna.1	Case	Illumina_HiSeq_2500
SRR24351907.rna.1	Case	Illumina_HiSeq_2500
SRR22807098.rna.1	Control	Illumina_MiSeq
SRR24377008.rna.1	Case	Illumina_HiSeq_2500
SRR24385728.rna.1	Case	Illumina_HiSeq_2500
SRR22831236.rna.1	Discard	Illumina_NovaSeq_6000
SRR22807090.rna.1	Discard	Illumina_MiSeq
SRR24415239.rna.1	Case	Illumina_HiSeq_2500
SRR24385730.rna.1	Case	Illumina_HiSeq_2500
SRR22831208.rna.1	Control	Illumina_NovaSeq_6000
SRR24390466.rna.1	Case	Illumina_HiSeq_2500
SRR22807119.rna.1	Control	Illumina_MiSeq
SRR24351607.rna.1	Case	Illumina_HiSeq_2500
SRR24377007.rna.1	Case	Illumina_HiSeq_2500
SRR24363564.rna.1	Case	Illumina_HiSeq_2500
SRR22807074.rna.1	Case	Illumina_MiSeq
SRR22831196.rna.1	Control	Illumina_NovaSeq_6000
SRR24390007.rna.1	Case	Illumina_HiSeq_2500
SRR24363058.rna.1	Case	Illumina_HiSeq_2500
SRR24415959.rna.1	Case	Illumina_HiSeq_2500
SRR24389994.rna.1	Case	Illumina_HiSeq_2500
SRR22831210.rna.1	Control	Illumina_NovaSeq_6000
SRR22831234.rna.1	Discard	Illumina_NovaSeq_6000
SRR22807057.rna.1	Control	Illumina_MiSeq
SRR22807111.rna.1	Control	Illumina_MiSeq
SRR24351603.rna.1	Case	Illumina_HiSeq_2500
SRR22807114.rna.1	Control	Illumina_MiSeq
SRR22807124.rna.1	Control	Illumina_MiSeq
SRR22831220.rna.1	Discard	Illumina_NovaSeq_6000
SRR22831159.rna.1	Control	Illumina_NovaSeq_6000
SRR24389999.rna.1	Case	Illumina_HiSeq_2500
SRR22831165.rna.1	Control	Illumina_NovaSeq_6000
SRR24415070.rna.1	Case	Illumina_HiSeq_2500
SRR24389998.rna.1	Case	Illumina_HiSeq_2500
SRR22831191.rna.1	Control	Illumina_NovaSeq_6000
SRR24390449.rna.1	Case	Illumina_HiSeq_2500
SRR24414148.rna.1	Case	Illumina_HiSeq_2500
SRR24377010.rna.1	Case	Illumina_HiSeq_2500
SRR22831179.rna.1	Control	Illumina_NovaSeq_6000
SRR24415072.rna.1	Case	Illumina_HiSeq_2500
SRR22831222.rna.1	Discard	Illumina_NovaSeq_6000
SRR22831183.rna.1	Control	Illumina_NovaSeq_6000
SRR22807075.rna.1	Case	Illumina_MiSeq
SRR22831166.rna.1	Control	Illumina_NovaSeq_6000
SRR22831224.rna.1	Discard	Illumina_NovaSeq_6000
SRR22831174.rna.1	Control	Illumina_NovaSeq_6000
SRR24414151.rna.1	Case	Illumina_HiSeq_2500
SRR22807052.rna.1	Case	Illumina_MiSeq
SRR24390490.rna.1	Case	Illumina_HiSeq_2500
SRR24415071.rna.1	Case	Illumina_HiSeq_2500
SRR22831201.rna.1	Control	Illumina_NovaSeq_6000
SRR22831248.rna.1	Control	Illumina_NovaSeq_6000
SRR24389995.rna.1	Case	Illumina_HiSeq_2500
SRR24415952.rna.1	Case	Illumina_HiSeq_2500
SRR22807043.rna.1	Case	Illumina_MiSeq
SRR24363561.rna.1	Case	Illumina_HiSeq_2500
SRR24415957.rna.1	Case	Illumina_HiSeq_2500
SRR24363057.rna.1	Case	Illumina_HiSeq_2500
SRR24363108.rna.1	Case	Illumina_HiSeq_2500
SRR22807065.rna.1	Case	Illumina_MiSeq
SRR24390002.rna.1	Case	Illumina_HiSeq_2500
SRR24415092.rna.1	Case	Illumina_HiSeq_2500
SRR22831238.rna.1	Discard	Illumina_NovaSeq_6000
SRR24390010.rna.1	Case	Illumina_HiSeq_2500
SRR24390001.rna.1	Case	Illumina_HiSeq_2500
SRR22831247.rna.1	Control	Illumina_NovaSeq_6000
SRR22807083.rna.1	Case	Illumina_MiSeq
SRR24363638.rna.1	Case	Illumina_HiSeq_2500
SRR24390577.rna.1	Case	Illumina_HiSeq_2500
