sample	cohort	sequencer
MDL001.09C2205073L.RNA.D02.20220128.rna.1	Control	Next550_1
MDL001.09C2242061L.RNA.A07.20221014.rna.1	Control	Next550_1
X22JS062822.rna.1	Control	Next550_2
ZZ24JS08815.AD.1R.1L.UDB.165.rna.1	Case	BGI500_1
CF244V0720.8B6AXXJ41F1.N008JQ84.rna.1	Control	BGI500_1
X21JS942709.rna.1	Control	Next550_2
CF23060044.8D6BXX1NXF1.N002JQ84.rna.1	Control	BGI500_1
M117RN0158.R.rna.1	Control	BGI500_1
MDL001.05C2143037L.RNA.A23.20211023.rna.1	Control	Next550_1
MBX115439.rna.1	Control	BGI500_1
X22JS021515.rna.1	Control	Next550_2
MDL001.09C2233053L.RNA.B02.20220810.rna.1	Control	Next550_1
CF224A0130.8A6AXX1WXF1.N004J019.rna.1	Control	BGI500_1
MDL001.24C2212029L.RNA.B08.20220319.rna.1	Control	Next550_1
MDL001.09C2220016L.RNA.C03.20220511.rna.1	Control	Next550_1
ZDH23081400031R.rna.1	Control	Next550_2
MDL001.24C2229006L.RNA.A02.20220713.rna.1	Control	Next550_1
MDL001.09C2209002L.RNA.A24.20220221.rna.1	Control	Next550_1
MDL001.09D2151054L.RNA.A15.20211216.rna.1	Control	Next550_1
MDL001.Q24C23080027L.RNA.B06.20230218.rna.1	Control	Next550_1
MDL001.09D2142067L.RNA.B39.20211017.rna.1	Control	Next550_1
CF23AP0228.8D6BXX1LXF1.N002JQ84.rna.1	Control	BGI500_1
ZDH23102500121R.rna.1	Control	Next550_2
ZZMAX139638.AD.1R.1L.UDB.145.rna.1	Case	BGI500_1
CF231C0483.8B6AXX1LXF1.N002J019.rna.1	Case	BGI500_1
CF23B60213.8D6BXX1VXF1.N002JQ84.rna.1	Control	BGI500_1
MDL001.09C2149096L.RNA.A10.20211204.rna.1	Control	Next550_1
X21JS942944.rna.1	Case	Next550_2
MDL001.24C2226043L.RNA.A20.20220623.rna.1	Control	Next550_1
X22JS062872.rna.1	Control	Next550_2
M117LA0459.R.rna.1	Control	BGI500_1
CF241F0353.8D6BXX1N1F1.N002JQ84.rna.1	Control	BGI500_1
S118HM0195.R.rna.1	Case	BGI500_1
A210321PARN007.rna.1	Control	Next550_2
CF23990150.8D6BXX1QXF1.N002JQ84.rna.1	Case	BGI500_1
MDL001.09C2140053L.RNA.B35.20210930.rna.1	Control	Next550_1
MAX141138.rna.1	Control	BGI500_1
MDL001.09C2129032L.RNA.B26.20210715.rna.1	Control	Next550_1
X22JS062977.rna.1	Control	Next550_2
X22JS052036.rna.1	Control	Next550_2
N218HM0249.R.rna.1	Case	BGI500_1
CF230K0225.8D6BXX1PXF1.N002JQ84.rna.1	Case	BGI500_1
MDL001.24C2233012L.RNA.A19.20220812.rna.1	Control	Next550_1
ZDH230401981R.rna.1	Control	Next550_2
X22JS052103.rna.1	Control	Next550_2
CF23B40182.8D6BXX1LXF1.N002JQ84.rna.1	Control	BGI500_1
M117LA0347.R.rna.1	Control	BGI500_1
CF230N0259.8D6BXX1MXF1.N002JQ84.rna.1	Control	BGI500_1
ZDH23080700111R.rna.1	Control	Next550_2
M118HM0326.R.rna.1	Case	BGI500_1
CF235U0136.8D6AXX1LXF1.N002J019.rna.1	Control	BGI500_1
MDL001.Q09D23040040L.RNA.D26.20230118.rna.1	Control	Next550_1
ZDH23063000092R.rna.1	Control	Next550_2
ZDH23060900092R.rna.1	Case	Next550_2
MDL001.Q24C23090019L.RNA.A04.20230221.rna.1	Control	Next550_1
MDL001.09C2126023L.RNA.A46.20210623.rna.1	Control	Next550_1
MDL001.24C2212030L.RNA.B09.20220319.rna.1	Control	Next550_1
X22JS021604.rna.1	Control	Next550_2
CF224M0175.8A6AXX1WXF1.N004J019.rna.1	Control	BGI500_1
X22JS11693701.rna.1	Control	Next550_2
M118HM0143.R.rna.1	Case	BGI500_1
M117RN0188.R.rna.1	Control	BGI500_1
M117HM0487.R.rna.1	Control	BGI500_1
CF222N0099.8A6AXX1KXF5.N002J019.rna.1	Control	BGI500_1
MDL001.09C2138024L.RNA.A13.20210915.rna.1	Control	Next550_1
CF23AM0188.8D6BXX1VXF1.N002JQ84.rna.1	Control	BGI500_1
CF238F0206.8D6BXX1LXF1.N002JQ84.rna.1	Control	BGI500_1
MBX151788.rna.1	Control	BGI500_1
CF230T0099.8D6BXX1LXF1.N002L001.rna.1	Control	BGI500_1
X22JS032965.rna.1	Control	Next550_2
ZDH23080500081R.rna.1	Case	Next550_2
ZZ22JS06607401.AD.1R.1L.UDB.140.rna.1	Case	BGI500_1
CF225K0137.8A6AXX1WXF1.N004J019.rna.1	Control	BGI500_1
X22JS011373.rna.1	Control	Next550_2
E218YF0321.R.rna.1	Case	BGI500_1
MAX115457.rna.1	Control	BGI500_1
ZZ22JS022628.1R.1L.UDB.186.rna.1	Case	BGI500_1
PB239E0320.8D6BXX1LXF1.N002KX2P.rna.1	Control	BGI500_1
MDL001.Q18C23050069L.RNA.B26.20230127.rna.1	Control	Next550_1
X22JS068139.rna.1	Control	Next550_2
X22JS032978.rna.1	Control	Next550_2
MDL001.09C2133003L.RNA.D23.20210809.rna.1	Control	Next550_1
CF23660320.8D6AXX1LXF1.N002J019.rna.1	Case	BGI500_1
MDL001.05C2202062L.RNA.D03.20220110.rna.1	Control	Next550_1
CF222G0185.8A6AXX1KXF1.N002J019.rna.1	Control	BGI500_1
ZDH22060090R.rna.1	Control	Next550_2
ZDH230100941R.rna.1	Control	Next550_2
ZZMAX154277.AD.1R.1L.UDB.183.rna.1	Case	BGI500_1
MAX121455.rna.1	Control	BGI500_1
X22JS062858.rna.1	Control	Next550_2
CF23760171.8D6BXX1MXF1.N002KX2P.rna.1	Control	BGI500_1
X21JS942706.rna.1	Control	Next550_2
ZZ22JS032998.AD.1R.1L.UDB.108.rna.1	Case	BGI500_1
CF233K0248.8D6AXX1PXF1.N002KX2P.rna.1	Control	BGI500_1
ZDH23071100111R.rna.1	Control	Next550_2
CF231F0197.8B6AXX1KXF1.N002J019.rna.1	Control	BGI500_1
MDL001.Q24C23030011L.RNA.C18.20230113.rna.1	Control	Next550_1
MDL001.Q09C23030031L.RNA.A07.20230110.rna.1	Case	Next550_1
X22JS021547.rna.1	Control	Next550_2
MDL001.09C2236001L.RNA.C02.20220829.rna.1	Control	Next550_1
X22JS033016.rna.1	Control	Next550_2
M117RN0124.R.rna.1	Case	BGI500_1
MDL001.09C2214025L.RNA.B26.20220330.rna.1	Control	Next550_1
MDL001.09C2235053L.RNA.D04.20220824.rna.1	Control	Next550_1
N218YJ0223.R.rna.1	Case	BGI500_1
MBX126147.rna.1	Control	BGI500_1
E217RT0460.R.rna.1	Case	BGI500_1
RNA.1233184390.rna.1	Case	Next550_2
CF226L0254.8A6AXX1LXF1.N002J019.rna.1	Control	BGI500_1
N218HM0251.R.rna.1	Case	BGI500_1
MDL001.09C2231012L.RNA.D25.20220725.rna.1	Control	Next550_1
CF234H0370.8D6AXX1ZXF1.N002KX2P.rna.1	Control	BGI500_1
MDL001.09C2232008L.RNA.A02.20220801.rna.1	Control	Next550_1
E218YJ0464.R.rna.1	Case	BGI500_1
M117RN0125.R.rna.1	Case	BGI500_1
M118YJ0314.R.rna.1	Control	BGI500_1
M117HM0556.R.rna.1	Control	BGI500_1
M118YJ0141.R.rna.1	Control	BGI500_1
CF233G0313.8D6AXX1MXF1.N002KX2P.rna.1	Control	BGI500_1
M118YJ0385.R.rna.1	Control	BGI500_1
X22JS022630.rna.1	Control	Next550_2
M117LJ0287.R.rna.1	Control	BGI500_1
N117RE0115.R.rna.1	Case	BGI500_1
ZDH23061600041R.rna.1	Case	Next550_2
ZZ22JS062796.AD.1R.1L.UDB.183.rna.1	Case	BGI500_1
X22JS032990.rna.1	Control	Next550_2
CF221R0146.8A6AXX1KXF1.N002J019.rna.1	Control	BGI500_1
CF236N0107.8D6BXX1NXF1.N002KX2P.rna.1	Case	BGI500_1
ZDH23100700051R.rna.1	Control	Next550_2
CF230N0262.8D6BXX1MXF1.N002L001.rna.1	Control	BGI500_1
MDL001.09C2204035L.RNA.C06.20220119.rna.1	Control	Next550_1
MDL001.Q09C23080021L.RNA.C02.20230214.rna.1	Control	Next550_1
MDL001.18C2240119L.RNA.D35.20221003.rna.1	Control	Next550_1
M118HM0325.R.rna.1	Case	BGI500_1
ZZ22JS023191.1R.1L.UDB.176.rna.1	Case	BGI500_1
MDL001.09C2205029L.RNA.B02.20220126.rna.1	Control	Next550_1
MDL001.09C2147023L.RNA.C03.20211117.rna.1	Control	Next550_1
CF23770271.8B6BXX1MXF1.N002J019.rna.1	Control	BGI500_1
M118LA0189.1.R.rna.1	Control	BGI500_1
CF236E0427.8D6AXX1LXF1.N002J019.rna.1	Control	BGI500_1
M117EJ0381.R.rna.1	Control	BGI500_1
E218YF0175.R.rna.1	Case	BGI500_1
M117LJ0361.R.rna.1	Control	BGI500_1
MBX110446.rna.1	Control	BGI500_1
MDL001.Q09C23030009L.RNA.B09.20230110.rna.1	Control	Next550_1
X22JS047789.rna.1	Control	Next550_2
MDL001.24C2215042L.RNA.C34.20220411.rna.1	Control	Next550_1
ZDH24022400111R.rna.1	Control	Next550_2
M117HM0671.R.rna.1	Control	BGI500_1
M117RE0167.R.rna.1	Control	BGI500_1
MDL001.24C2238015L.RNA.D08.20220916.rna.1	Control	Next550_1
M117RS0131.R.rna.1	Control	BGI500_1
E218YF0385.R.rna.1	Case	BGI500_1
ZZMAX120304.1R.1L.UDB.104.rna.1	Case	BGI500_1
M117RE0224.R.rna.1	Control	BGI500_1
CF23660379.8D6AXX1LXF1.N002J019.rna.1	Control	BGI500_1
X22JS055871.rna.1	Control	Next550_2
MDL001.09C2128042L.RNA.A03.20210709.rna.1	Control	Next550_1
E218YF0257.R.rna.1	Case	BGI500_1
CF24380175.8F6AXXXX1FX.N008JQ84.rna.1	Control	BGI500_1
N218YF0176.R.rna.1	Case	BGI500_1
CF231C0481.8B6AXX1LXF1.N002J019.rna.1	Case	BGI500_1
M118HM0231.R.rna.1	Control	BGI500_1
MDL001.24C2240009L.RNA.A28.20220930.rna.1	Control	Next550_1
CF23650243.8D6AXX1LXF1.N002J019.rna.1	Control	BGI500_1
MAX134640.rna.1	Control	BGI500_1
MBX153178.rna.1	Control	BGI500_1
CF224J0140.8A6AXX1WXF1.N004J019.rna.1	Control	BGI500_1
X22JS062879.rna.1	Control	Next550_2
MDL001.Q24C23020032L.RNA.D33.20230107.rna.1	Control	Next550_1
CF233P0168.8D6AXX1LXF1.N002KX2P.rna.1	Control	BGI500_1
MDL001.Q09C23030037T.RNA.A08.20230110.rna.1	Case	Next550_1
X22JS062832.rna.1	Control	Next550_2
CF236G0177.8D6AXX1LXF1.N002J019.rna.1	Case	BGI500_1
M117RT0313.R.rna.1	Case	BGI500_1
X22JS033012.rna.1	Control	Next550_2
CF230K0227.8D6BXX1PXF1.N002JQ84.rna.1	Case	BGI500_1
ZZ22JS047632.1R.1L.UDB.142.rna.1	Case	BGI500_1
MDL001.Q18C23050052L.RNA.A44.20230126.rna.1	Case	Next550_1
X22JS062408.rna.1	Control	Next550_2
ZZ22JS022634.1R.1L.UDB.106.rna.1	Case	BGI500_1
CF231D0159.8B6AXX1LXF1.N002L001.rna.1	Case	BGI500_1
MDL001.Q09C23030014L.RNA.B10.20230110.rna.1	Control	Next550_1
CF23030059.8D6BXX1NXF1.N002JQ84.rna.1	Case	BGI500_1
MDL001.1C2030116L.RNA.A22.20200723.rna.1	Control	Next550_1
MDL001.24C2221026L.RNA.C16.20220522.rna.1	Control	Next550_1
M118YJ0245.R.rna.1	Control	BGI500_1
ZDH23100300081R.rna.1	Control	Next550_2
MDL001.09C2234016L.RNA.A24.20220815.rna.1	Control	Next550_1
