prj	outbreak	n_segments	n_cluster	n_pathogenSegments	n_cluster_contain_pathogens	homogeneityPathogenScore	PathogenPurity_count	PathogenPurity_length
Admed_SARS2_2020	rand.27	64	4	1	1	1.000000	0.200000	0.948933
Admed_SARS2_2020	rand.3	250	10	1	1	1.000000	1.000000	1.000000
Admed_SARS2_2020	rand.31	374	8	1	1	1.000000	0.125000	0.928458
Admed_SARS2_2020	rand.37	64	3	1	1	1.000000	0.500000	0.984796
Admed_SARS2_2020	rand.38	58	3	1	1	1.000000	0.333333	0.977489
Admed_SARS2_2020	rand.43	84	5	1	1	1.000000	0.111111	0.912694
Admed_SARS2_2020	rand.57	69	4	1	1	1.000000	1.000000	1.000000
Admed_SARS2_2020	rand.6	77	3	1	1	1.000000	0.200000	0.954422
Admed_SARS2_2020	rand.66	84	3	1	1	1.000000	0.500000	0.989488
Admed_SARS2_2020	rand.68	49	2	1	1	1.000000	1.000000	1.000000
Admed_SARS2_2020	rand.72	90	4	1	1	1.000000	0.125000	0.909944
Admed_SARS2_2020	rand.83	131	4	1	1	1.000000	1.000000	1.000000
Admed_SARS2_2020	rand.90	70	4	1	1	1.000000	0.500000	0.988502
Grundy_HIV_2023	rand.1	197	7	181	6	0.174482	0.952632	0.952975
Grundy_HIV_2023	rand.100	102	5	101	5	0.115301	0.990196	0.993171
Grundy_HIV_2023	rand.11	105	7	84	4	0.066909	0.923077	0.930507
Grundy_HIV_2023	rand.16	70	4	67	3	0.022332	1.000000	1.000000
Grundy_HIV_2023	rand.17	198	10	197	10	0.099290	0.994949	0.991864
Grundy_HIV_2023	rand.18	176	5	176	5	0.638623	1.000000	1.000000
Grundy_HIV_2023	rand.20	69	4	69	4	0.297040	1.000000	1.000000
Grundy_HIV_2023	rand.21	168	3	155	3	0.099113	0.922619	0.903845
Grundy_HIV_2023	rand.22	82	5	82	5	0.072066	1.000000	1.000000
Grundy_HIV_2023	rand.24	256	6	256	6	0.173465	1.000000	1.000000
Grundy_HIV_2023	rand.25	130	7	128	6	0.300470	1.000000	1.000000
Grundy_HIV_2023	rand.29	56	4	50	4	0.204147	0.892857	0.934107
Grundy_HIV_2023	rand.30	82	6	75	4	0.220191	0.986842	0.986439
Grundy_HIV_2023	rand.31	48	2	47	1	1.000000	1.000000	1.000000
Grundy_HIV_2023	rand.32	356	4	356	4	0.190362	1.000000	1.000000
Grundy_HIV_2023	rand.33	67	6	66	6	0.160175	0.985075	0.989075
Grundy_HIV_2023	rand.35	57	4	56	3	0.142121	1.000000	1.000000
Grundy_HIV_2023	rand.37	97	3	93	3	0.018473	0.958763	0.958082
Grundy_HIV_2023	rand.38	245	6	243	6	0.184945	0.991837	0.987822
Grundy_HIV_2023	rand.39	159	5	159	5	0.140615	1.000000	1.000000
Grundy_HIV_2023	rand.4	57	5	53	5	0.163430	0.929825	0.948868
Grundy_HIV_2023	rand.42	304	10	303	10	0.196021	0.996711	0.996421
Grundy_HIV_2023	rand.43	190	4	182	4	0.190348	0.957895	0.924613
Grundy_HIV_2023	rand.46	576	8	573	7	0.074114	0.998258	0.998227
Grundy_HIV_2023	rand.48	80	5	79	5	0.118205	0.987500	0.992226
Grundy_HIV_2023	rand.52	133	6	131	6	0.178901	0.984962	0.987718
Grundy_HIV_2023	rand.54	257	9	248	7	0.117865	0.984127	0.982323
Grundy_HIV_2023	rand.55	95	6	87	6	0.315121	0.915789	0.946713
Grundy_HIV_2023	rand.57	547	5	541	5	0.261883	0.989031	0.988217
Grundy_HIV_2023	rand.59	134	9	129	9	0.072153	0.962687	0.968342
Grundy_HIV_2023	rand.6	55	3	42	2	0.473383	0.857143	0.866807
Grundy_HIV_2023	rand.61	57	4	56	4	0.107100	0.982456	0.989838
Grundy_HIV_2023	rand.64	72	4	66	4	0.116346	0.916667	0.937003
Grundy_HIV_2023	rand.67	598	15	593	15	0.103996	0.991639	0.983534
Grundy_HIV_2023	rand.68	175	10	174	10	0.117548	0.994286	0.995318
Grundy_HIV_2023	rand.69	177	7	170	7	0.148912	0.960452	0.971337
Grundy_HIV_2023	rand.72	226	5	224	5	0.408698	0.991150	0.991035
Grundy_HIV_2023	rand.73	195	10	194	10	0.085452	0.994872	0.937971
Grundy_HIV_2023	rand.74	62	4	51	3	0.144774	0.980769	0.984820
Grundy_HIV_2023	rand.76	144	4	141	4	0.100399	0.979167	0.986373
Grundy_HIV_2023	rand.78	90	2	90	2	0.433490	1.000000	1.000000
Grundy_HIV_2023	rand.79	50	5	44	4	0.336702	1.000000	1.000000
Grundy_HIV_2023	rand.80	448	7	440	6	0.323661	0.986547	0.978481
Grundy_HIV_2023	rand.81	111	4	107	3	0.321542	0.981651	0.972785
Grundy_HIV_2023	rand.82	57	3	57	3	0.007596	1.000000	1.000000
Grundy_HIV_2023	rand.86	158	8	152	8	0.149343	0.962025	0.954762
Grundy_HIV_2023	rand.87	117	9	117	9	0.089516	1.000000	1.000000
Grundy_HIV_2023	rand.88	50	2	49	2	0.269983	0.980000	0.990627
Grundy_HIV_2023	rand.89	191	7	188	6	0.320759	0.989474	0.990615
Grundy_HIV_2023	rand.95	72	4	72	4	0.157632	1.000000	1.000000
Grundy_HIV_2023	rand.96	49	4	35	3	0.320329	0.813953	0.810829
Grundy_HIV_2023	rand.97	151	3	128	3	0.015223	0.847682	0.859634
Grundy_HIV_2023	rand.98	172	6	171	6	0.210127	0.994186	0.995574
Grundy_HIV_2023	rand.99	180	6	178	6	0.222130	0.988889	0.991080
LA_HRSV_2024	rand.52	109	3	11	1	1.000000	1.000000	1.000000
LA_SARS2_2024	rand.29	171	2	2	1	1.000000	1.000000	1.000000
Saha_CHIKV_2019	rand.13	79	13	1	1	1.000000	0.500000	0.972920
Saha_CHIKV_2019	rand.15	68	7	1	1	1.000000	0.250000	0.916783
Saha_CHIKV_2019	rand.16	65	8	1	1	1.000000	1.000000	1.000000
Saha_CHIKV_2019	rand.18	78	12	1	1	1.000000	0.500000	0.972186
