order	fre	frePool	ratio
1	53312	53312	0.843717853355912
2	38405	56277	0.890642062449554
3	36314	56875	0.900106034469116
4	35306	57709	0.913304951967968
5	33916	58659	0.928339690126133
6	33853	58955	0.933024198015415
7	33658	59182	0.936616709133208
8	33181	59920	0.948296326776077
9	31130	60126	0.951556491050374
10	29878	60475	0.957079779068479
11	29512	60508	0.957602038393973
12	28528	60747	0.961384461993765
13	28289	60859	0.963156978492411
14	28280	61180	0.968237137385855
15	27400	61309	0.970278696567332
16	26778	61350	0.970927564214158
17	25775	61463	0.972715906752971
18	25510	61506	0.97339642648013
19	25207	61526	0.97371294728346
20	24139	61555	0.974171902448288
21	24010	61571	0.974425119090952
22	23564	61584	0.974630857613117
23	23244	61752	0.977289632361087
24	22868	61825	0.978444933293241
25	22166	61878	0.979283713422065
26	22164	61893	0.979521104024562
27	21790	61970	0.980739709117382
28	21284	62035	0.981768401728204
29	20497	62046	0.981942488170035
30	19803	62055	0.982084922531533
31	19755	62068	0.982290661053698
32	19699	62101	0.982812920379192
33	19626	62109	0.982939528700524
34	19581	62175	0.983984047351512
35	19032	62179	0.984047351512178
36	18899	62204	0.98444300251634
37	18880	62209	0.984522132717173
38	18606	62209	0.984522132717173
39	18461	62231	0.984870305600836
40	18406	62244	0.985076044123
41	18265	62258	0.985297608685331
42	18107	62259	0.985313434725497
43	17496	62276	0.985582477408328
44	17277	62276	0.985582477408328
45	16747	62276	0.985582477408328
46	16257	62282	0.985677433649327
47	16028	62283	0.985693259689493
48	16012	62293	0.985851520091158
49	15084	62298	0.98593065029199
50	14949	62300	0.985962302372323
51	14692	62300	0.985962302372323
52	14276	62304	0.986025606532989
53	14229	62304	0.986025606532989
54	14076	62321	0.98629464921582
55	14054	62325	0.986357953376486
56	13679	62327	0.986389605456819
57	13659	62330	0.986437083577318
58	13381	62330	0.986437083577318
59	13300	62333	0.986484561697818
60	13138	62335	0.986516213778151
61	13021	62344	0.986658648139649
62	12931	62353	0.986801082501147
63	12873	62397	0.987497428268473
64	12843	62397	0.987497428268473
65	12831	62397	0.987497428268473
66	12819	62397	0.987497428268473
67	12495	62399	0.987529080348806
68	12477	62409	0.987687340750471
69	12296	62422	0.987893079272635
70	12142	62423	0.987908905312802
71	11989	62432	0.9880513396743
72	11816	62465	0.988573598999794
73	11605	62467	0.988605251080127
74	11601	62467	0.988605251080127
75	11557	62470	0.988652729200627
76	11316	62472	0.98868438128096
77	11090	62490	0.988969250003957
78	11065	62491	0.988985076044123
79	11001	62493	0.989016728124456
80	10984	62493	0.989016728124456
81	10942	62502	0.989159162485954
82	10726	62551	0.989934638454112
83	10281	62553	0.989966290534445
84	10167	62553	0.989966290534445
85	10083	62553	0.989966290534445
86	10037	62553	0.989966290534445
87	9911	62556	0.990013768654945
88	9694	62559	0.990061246775444
89	9591	62574	0.990298637377942
90	9508	62576	0.990330289458275
91	9376	62580	0.990393593618941
92	9275	62584	0.990456897779607
93	9256	62584	0.990456897779607
94	9171	62622	0.991058287305933
95	8869	62623	0.9910741133461
96	8816	62623	0.9910741133461
97	8741	62623	0.9910741133461
98	8676	62624	0.991089939386266
99	8606	62624	0.991089939386266
100	8448	62624	0.991089939386266
101	8446	62626	0.991121591466599
102	8405	62626	0.991121591466599
103	8297	62626	0.991121591466599
104	8280	62628	0.991153243546932
105	8270	62630	0.991184895627265
106	8231	62631	0.991200721667432
107	8229	62631	0.991200721667432
108	8175	62634	0.991248199787931
109	8121	62642	0.991374808109263
110	8064	62642	0.991374808109263
111	8027	62643	0.99139063414943
112	7858	62643	0.99139063414943
113	7768	62643	0.99139063414943
114	7652	62645	0.991422286229762
115	7645	62645	0.991422286229762
116	7606	62657	0.99161219871176
117	7535	62657	0.99161219871176
118	7483	62658	0.991628024751927
119	7478	62658	0.991628024751927
120	7431	62664	0.991722980992926
121	7426	62664	0.991722980992926
122	7404	62664	0.991722980992926
123	7391	62667	0.991770459113425
124	7385	62667	0.991770459113425
125	7377	62667	0.991770459113425
126	7358	62667	0.991770459113425
127	7357	62667	0.991770459113425
128	7303	62667	0.991770459113425
129	7285	62667	0.991770459113425
130	7248	62667	0.991770459113425
131	7233	62667	0.991770459113425
132	7232	62667	0.991770459113425
133	7095	62670	0.991817937233925
134	7094	62752	0.993115672527577
135	7058	62752	0.993115672527577
136	7054	62756	0.993178976688243
137	7050	62761	0.993258106889075
138	7031	62761	0.993258106889075
139	7028	62761	0.993258106889075
140	6946	62761	0.993258106889075
141	6887	62761	0.993258106889075
142	6883	62762	0.993273932929242
143	6878	62762	0.993273932929242
144	6870	62782	0.993590453732572
145	6867	62785	0.993637931853071
146	6864	62785	0.993637931853071
147	6818	62785	0.993637931853071
148	6755	62902	0.99548957855255
149	6721	62902	0.99548957855255
150	6720	62902	0.99548957855255
151	6708	62902	0.99548957855255
152	6697	62907	0.995568708753383
153	6692	62907	0.995568708753383
154	6669	62908	0.995584534793549
155	6636	62908	0.995584534793549
156	6610	62908	0.995584534793549
157	6567	62908	0.995584534793549
158	6557	62908	0.995584534793549
159	6536	62908	0.995584534793549
160	6524	62908	0.995584534793549
161	6523	62914	0.995679491034548
162	6476	62914	0.995679491034548
163	6438	62927	0.995885229556713
164	6430	62927	0.995885229556713
165	6424	62927	0.995885229556713
166	6423	62933	0.995980185797712
167	6413	62934	0.995996011837878
168	6404	62935	0.996011837878044
169	6393	62947	0.996201750360042
170	6380	62947	0.996201750360042
171	6375	62956	0.996344184721541
172	6372	62958	0.996375836801874
173	6367	62958	0.996375836801874
174	6358	62958	0.996375836801874
175	6337	62963	0.996454967002706
176	6336	62966	0.996502445123206
177	6328	62966	0.996502445123206
178	6328	62969	0.996549923243705
179	6315	62972	0.996597401364205
180	6288	62972	0.996597401364205
181	6283	62975	0.996644879484704
182	6272	62979	0.99670818364537
183	6268	62980	0.996724009685537
184	6255	63004	0.997103834649532
185	6254	63004	0.997103834649532
186	6254	63004	0.997103834649532
187	6253	63004	0.997103834649532
188	6250	63004	0.997103834649532
189	6239	63004	0.997103834649532
190	6227	63004	0.997103834649532
191	6225	63007	0.997151312770032
192	6224	63008	0.997167138810198
193	6222	63008	0.997167138810198
194	6212	63008	0.997167138810198
195	6206	63008	0.997167138810198
196	6206	63008	0.997167138810198
197	6204	63008	0.997167138810198
198	6201	63008	0.997167138810198
199	6199	63008	0.997167138810198
200	6196	63009	0.997182964850365
201	6196	63009	0.997182964850365
202	6194	63009	0.997182964850365
203	6192	63009	0.997182964850365
204	6182	63012	0.997230442970864
205	6178	63012	0.997230442970864
206	6173	63012	0.997230442970864
207	6166	63012	0.997230442970864
208	6166	63012	0.997230442970864
209	6164	63012	0.997230442970864
210	6157	63013	0.997246269011031
211	6156	63013	0.997246269011031
212	6148	63013	0.997246269011031
213	6146	63014	0.997262095051197
214	6143	63014	0.997262095051197
215	6141	63014	0.997262095051197
216	6140	63014	0.997262095051197
217	6137	63014	0.997262095051197
218	6133	63014	0.997262095051197
219	6133	63017	0.997309573171697
220	6128	63017	0.997309573171697
221	6118	63017	0.997309573171697
222	6116	63017	0.997309573171697
223	6116	63017	0.997309573171697
224	6113	63018	0.997325399211863
225	6106	63018	0.997325399211863
226	6103	63018	0.997325399211863
227	6101	63018	0.997325399211863
