order	fre	frePool	ratio
1	36390	36390	0.785910200203011
2	36093	37095	0.80113599550785
3	36089	37174	0.802842148456903
4	36005	38081	0.822430512061853
5	35913	38386	0.829017558257564
6	35878	38502	0.831522795499212
7	35844	38546	0.832473057901216
8	35411	38671	0.835172666997819
9	35299	38913	0.840399110208842
10	35289	38929	0.840744660173207
11	35234	39014	0.842580394358897
12	34369	39017	0.842645184977215
13	33972	39022	0.842753169341079
14	33532	39023	0.842774766213852
15	28947	39024	0.842796363086625
16	27081	39024	0.842796363086625
17	24143	39024	0.842796363086625
18	22625	39026	0.842839556832171
19	22610	39066	0.843703431743084
20	21135	39066	0.843703431743084
21	20881	39067	0.843725028615856
22	19840	40203	0.868259076085783
23	19127	40204	0.868280672958556
24	16042	40220	0.868626222922921
25	15832	40234	0.86892857914174
26	15830	40239	0.869036563505604
27	15736	40239	0.869036563505604
28	15671	40242	0.869101354123923
29	15584	40245	0.869166144742241
30	15397	40246	0.869187741615014
31	15304	40246	0.869187741615014
32	15271	40248	0.86923093536056
33	15263	40250	0.869274129106105
34	15194	40253	0.869338919724424
35	15137	40267	0.869641275943243
36	14925	40269	0.869684469688789
37	14912	40269	0.869684469688789
38	14828	40269	0.869684469688789
39	14666	40272	0.869749260307108
40	14460	40272	0.869749260307108
41	14257	40273	0.86977085717988
42	13727	40275	0.869814050925426
43	13692	40276	0.869835647798199
44	13595	40276	0.869835647798199
45	13588	40277	0.869857244670972
46	13433	40282	0.869965229034836
47	13344	40282	0.869965229034836
48	13319	40282	0.869965229034836
49	13032	40285	0.870030019653154
50	12792	40285	0.870030019653154
51	12652	40295	0.870245988380882
52	12590	40300	0.870353972744747
53	12568	45553	0.983802345420383
54	12423	45561	0.983975120402566
55	12288	45567	0.984104701639203
56	12014	45567	0.984104701639203
57	11523	45568	0.984126298511975
58	11417	45568	0.984126298511975
59	11415	45568	0.984126298511975
60	11134	45568	0.984126298511975
61	10997	45568	0.984126298511975
62	10925	45568	0.984126298511975
63	10668	45569	0.984147895384748
64	10636	45575	0.984277476621385
65	10534	45594	0.984687817204069
66	10415	45594	0.984687817204069
67	10233	45594	0.984687817204069
68	10222	45594	0.984687817204069
69	10065	45655	0.986005226443211
70	9779	45703	0.987041876336306
71	9707	45704	0.987063473209079
72	9706	45704	0.987063473209079
73	9608	45709	0.987171457572943
74	9573	45718	0.987365829427899
75	9572	45727	0.987560201282854
76	9568	45740	0.987840960628901
77	9472	45740	0.987840960628901
78	9367	45744	0.987927348119992
79	9208	45841	0.990022244778956
80	9203	45847	0.990151826015593
81	9129	45847	0.990151826015593
82	9070	45852	0.990259810379457
83	9045	45855	0.990324600997776
84	8960	45865	0.990540569725504
85	8925	45866	0.990562166598277
