order	fre	frePool	ratio
1	235061	235061	0.528464478417266
2	234235	287510	0.646380395683453
3	227455	312459	0.702470773381295
4	226288	329547	0.740888039568345
5	219951	340253	0.764957284172662
6	214516	357529	0.803797212230216
7	213504	361759	0.813307104316547
8	213158	365611	0.821967176258993
9	211979	388820	0.874145683453237
10	211739	391555	0.880294514388489
11	210332	394034	0.885867805755396
12	209195	394806	0.887603417266187
13	207514	396736	0.891942446043165
14	206158	398566	0.896056654676259
15	205779	399915	0.899089478417266
16	204651	401232	0.90205035971223
17	204272	402931	0.905870053956835
18	203622	404980	0.910476618705036
19	202998	406539	0.913981564748201
20	201802	407059	0.915150629496403
21	201800	407966	0.917189748201439
22	196021	408611	0.918639838129496
23	195962	409125	0.919795413669065
24	195112	409777	0.921261241007194
25	193137	410252	0.922329136690648
26	192909	410941	0.923878147482014
27	192222	411377	0.924858363309353
28	190053	412169	0.926638938848921
29	187258	413315	0.929215377697842
30	182374	413806	0.930319244604317
31	182310	414199	0.931202787769784
32	181674	417561	0.938761241007194
33	181046	418018	0.939788669064748
34	180727	418341	0.940514838129496
35	180325	418844	0.941645683453237
36	180134	419553	0.943239658273381
37	179820	420352	0.945035971223022
38	179581	420657	0.94572167266187
39	179325	421003	0.946499550359712
40	179309	421401	0.947394334532374
41	178126	422587	0.950060701438849
42	177411	422893	0.950748651079137
43	176947	423264	0.95158273381295
44	176872	423717	0.952601169064748
45	176470	423937	0.953095773381295
46	176168	424045	0.953338579136691
47	174991	424236	0.953767985611511
48	174225	424587	0.954557104316547
49	173287	424725	0.954867356115108
50	172913	425199	0.955933003597122
51	172649	425541	0.956701888489209
52	172520	425549	0.956719874100719
53	172475	425889	0.957484262589928
54	172290	425945	0.957610161870504
55	171915	426313	0.9584375
56	171336	426584	0.959046762589928
57	170352	426745	0.959408723021583
58	169962	426976	0.959928057553957
59	168673	427317	0.960694694244604
60	168345	427773	0.961719874100719
61	168253	428017	0.962268435251799
62	167053	428082	0.962414568345324
63	166746	428232	0.962751798561151
64	166233	428289	0.962879946043166
65	165278	428465	0.963275629496403
66	162770	428643	0.963675809352518
67	162302	428817	0.964066996402878
68	162038	428904	0.964262589928058
69	161922	429018	0.964518884892086
70	161676	429178	0.964878597122302
71	161503	429393	0.965361960431655
72	160981	429677	0.966000449640288
73	160201	429732	0.966124100719424
74	160066	430012	0.966753597122302
75	160055	430102	0.966955935251799
76	159438	430142	0.967045863309352
77	159438	430142	0.967045863309352
78	159293	430279	0.967353866906475
79	159122	430766	0.968448741007194
80	158382	430766	0.968448741007194
81	158175	431199	0.969422212230216
82	158074	431297	0.969642535971223
83	157882	431316	0.969685251798561
84	156759	431322	0.969698741007194
85	156434	431605	0.970334982014389
86	156413	431734	0.970625
87	153926	431867	0.970924010791367
88	153364	431867	0.970924010791367
89	152698	432243	0.971769334532374
90	152094	433262	0.974060251798561
91	152047	433287	0.974116456834532
92	151892	433440	0.974460431654676
93	151268	433623	0.974871852517986
94	150259	433705	0.975056205035971
95	149684	433758	0.97517535971223
96	149326	433771	0.975204586330935
97	148479	433798	0.975265287769784
98	148143	434619	0.977111061151079
99	147668	434765	0.977439298561151
100	147489	434922	0.97779226618705
101	146806	434984	0.977931654676259
102	146430	435034	0.978044064748201
103	146221	435165	0.978338579136691
104	145751	435244	0.97851618705036
105	143768	435406	0.978880395683453
106	142381	435461	0.97900404676259
107	141311	435543	0.979188399280576
108	141000	435584	0.979280575539568
109	139932	436215	0.980699190647482
110	139932	436221	0.980712679856115
111	138535	436411	0.981139838129496
112	137650	436816	0.98205035971223
113	137290	436821	0.982061600719424
114	137016	436889	0.982214478417266
115	136771	437012	0.982491007194245
116	136409	437391	0.983343075539568
117	134113	437466	0.983511690647482
118	132836	437482	0.983547661870504
119	131236	437489	0.983563399280576
120	130818	437740	0.984127697841727
121	130408	438294	0.985373201438849
122	130278	438352	0.985503597122302
123	130198	438352	0.985503597122302
124	129918	438364	0.985530575539568
125	129548	438364	0.985530575539568
126	128490	438396	0.985602517985611
127	128226	438456	0.985737410071942
128	128134	438460	0.985746402877698
129	127357	438568	0.985989208633093
130	127258	438927	0.98679631294964
131	124776	439210	0.987432553956834
132	124670	439466	0.98800809352518
133	123735	439602	0.988313848920863
134	123468	439613	0.988338579136691
