order	fre	frePool	ratio
1	24339	24339	0.677061310782241
2	22063	26983	0.750611995104039
3	21893	28237	0.785495716034272
4	21762	29073	0.80875152998776
5	20716	29493	0.820435072883053
6	20625	29843	0.830171358629131
7	19721	30287	0.842522532547012
8	19391	30636	0.852231000333815
9	19282	30883	0.859102036274619
10	19202	31243	0.869116501613442
11	19168	31427	0.874235006119951
12	19126	31597	0.878964059196617
13	18928	31696	0.881718037164794
14	18872	32299	0.898492266607322
15	18753	32399	0.901274062534772
16	18549	32470	0.903249137643263
17	18504	32603	0.906948926226772
18	18461	32680	0.909090909090909
19	18417	32732	0.910537442973184
20	18414	32829	0.913235785022811
21	18272	32913	0.915572493601869
22	17792	32949	0.916573940135752
23	17688	33145	0.922026260153555
24	17653	33194	0.923389340158006
25	17607	33275	0.925642594859241
26	17515	33408	0.929342383442751
27	17383	33457	0.930705463447202
28	17308	33504	0.932012907533103
29	17211	33534	0.932847446311339
30	17126	33567	0.933765438967397
31	17106	33600	0.934683431623456
32	17027	34297	0.954072549237788
33	16448	34315	0.954573272504729
34	16429	34321	0.954740180260376
35	16410	34339	0.955240903527317
36	16401	34350	0.955546901079337
37	16292	34360	0.955825080672082
38	16248	34377	0.956297985979749
39	16088	34388	0.956603983531768
40	16033	34396	0.956826527205964
41	15866	34407	0.957132524757984
42	15860	34420	0.957494158228552
43	15857	34449	0.958300879047513
44	15824	34712	0.965617002336709
45	15525	34718	0.965783910092356
46	15492	34895	0.970707688883943
47	15321	34896	0.970735506843218
48	15211	34953	0.972321130521865
49	15136	34964	0.972627128073885
50	15057	34969	0.972766217870257
51	14396	35045	0.97488038277512
52	14026	35047	0.974936018693669
53	13957	35061	0.975325470123512
54	13920	35065	0.97543674196061
55	13859	35076	0.975742739512629
56	13746	35088	0.976076555023923
57	13731	35111	0.976716368087237
58	13675	35130	0.977244909313453
59	13103	35149	0.977773450539668
60	13056	35158	0.978023812173139
61	13018	35167	0.97827417380661
62	13005	35329	0.98278068320908
63	12914	35333	0.982891955046178
64	12867	35333	0.982891955046178
65	12797	35333	0.982891955046178
66	12660	35336	0.982975408924001
67	12536	35338	0.98303104484255
68	12430	35343	0.983170134638923
69	12359	35411	0.985061755869589
70	12337	35446	0.986035384444197
71	12301	35476	0.986869923222432
72	12173	35500	0.987537554245021
73	12157	35500	0.987537554245021
74	12154	35501	0.987565372204295
75	12129	35502	0.98759319016357
76	12109	35502	0.98759319016357
77	11975	35525	0.988233003226883
78	11879	35546	0.988817180371648
79	11835	35555	0.989067542005118
80	11821	35564	0.989317903638589
81	11789	35569	0.989456993434962
82	11786	35569	0.989456993434962
83	11774	35576	0.989651719149883
84	11728	35580	0.989762990986981
85	11721	35587	0.989957716701903
86	11691	35587	0.989957716701903
87	11682	35595	0.990180260376099
88	11682	35598	0.990263714253922
89	11646	35601	0.990347168131746
90	11622	35607	0.990514075887393
