order	fre	frePool	ratio
1	64084	64084	0.8833202387352
2	63034	66493	0.916525382844698
3	62700	67354	0.928393223890061
4	62293	67749	0.933837819956168
5	62235	68002	0.937325118195978
6	62110	68305	0.941501605811245
7	62056	68881	0.949441067416505
8	61931	68998	0.951053770555073
9	61930	69080	0.952184041130822
10	61872	69509	0.958097285972239
11	61676	69620	0.959627286385753
12	61641	69699	0.960716205598975
13	61606	69744	0.961336476036885
14	61393	69821	0.962397827675089
15	61383	69856	0.962880260237908
16	61352	69902	0.963514314463328
17	61318	69942	0.964065665963693
18	61310	69967	0.964410260651422
19	61224	69973	0.964492963376477
20	61050	70002	0.964892693214241
21	60997	70013	0.965044314876842
22	60996	70035	0.965347558202043
23	60963	70131	0.966670801802919
24	60946	70156	0.967015396490648
25	60929	70208	0.967732153441123
26	60921	70235	0.968104315703869
27	60911	70350	0.969689451267419
28	60887	70351	0.969703235054928
29	60842	70351	0.969703235054928
30	60750	70358	0.969799721567492
31	60740	70364	0.969882424292547
32	60736	70394	0.970295937917821
33	60708	70435	0.970861073205695
34	60614	70457	0.971164316530896
35	60594	70467	0.971302154405988
36	60548	70477	0.971439992281079
37	60521	70481	0.971495127431116
38	60504	70503	0.971798370756316
39	60455	70541	0.972322154681663
40	60378	70560	0.972584046644337
41	60339	70567	0.972680533156901
42	60325	70567	0.972680533156901
43	60305	70567	0.972680533156901
44	60297	70567	0.972680533156901
45	60224	70599	0.973121614357193
46	60210	70603	0.97317674950723
47	60131	70634	0.973604046920013
48	60104	70635	0.973617830707522
49	60101	70644	0.973741884795104
50	60075	70652	0.973852155095177
51	60071	70679	0.974224317357924
52	60055	70697	0.974472425533088
53	60045	70707	0.974610263408179
54	60032	70715	0.974720533708252
55	60025	70715	0.974720533708252
56	59934	70732	0.974954858095908
57	59924	70732	0.974954858095908
58	59859	70740	0.975065128395981
59	59823	70741	0.97507891218349
60	59814	70741	0.97507891218349
61	59808	70741	0.97507891218349
62	59792	70745	0.975134047333526
63	59766	70747	0.975161614908545
64	59591	70753	0.975244317633599
65	59582	70758	0.975313236571145
66	59552	70758	0.975313236571145
67	59478	70758	0.975313236571145
68	59474	70760	0.975340804146163
69	59422	70767	0.975437290658727
70	59381	70783	0.975657831258873
71	59357	70786	0.975699182621401
72	59353	70790	0.975754317771437
73	59340	70797	0.975850804284001
74	59338	70801	0.975905939434038
75	59305	70836	0.976388371996857
76	59211	70852	0.976608912597003
77	59187	70852	0.976608912597003
78	59095	70857	0.976677831534549
79	59058	70857	0.976677831534549
80	58920	70862	0.976746750472095
81	58826	70862	0.976746750472095
82	58689	70862	0.976746750472095
83	58647	70869	0.976843236984659
84	58636	70875	0.976925939709713
85	58625	70875	0.976925939709713
86	58589	70878	0.976967291072241
87	58584	70883	0.977036210009786
88	58566	70883	0.977036210009786
89	58506	70883	0.977036210009786
90	58490	70895	0.977201615459896
91	58248	70895	0.977201615459896
92	58156	70895	0.977201615459896
93	58069	70895	0.977201615459896
94	58065	70895	0.977201615459896
95	58037	70906	0.977353237122497
96	57958	70906	0.977353237122497
97	57869	70907	0.977367020910006
98	57786	70907	0.977367020910006
99	57702	70907	0.977367020910006
100	57497	70908	0.977380804697515
101	57449	70909	0.977394588485024
102	57430	70909	0.977394588485024
103	57207	70962	0.978125129223008
104	56908	70962	0.978125129223008
105	56899	70962	0.978125129223008
106	56890	70962	0.978125129223008
107	56876	70965	0.978166480585535
108	56858	70965	0.978166480585535
109	56791	71037	0.979158913286193
110	56743	71037	0.979158913286193
111	56642	71037	0.979158913286193
112	56352	71039	0.979186480861211
113	56336	71039	0.979186480861211
114	56236	71039	0.979186480861211
115	56224	71039	0.979186480861211
116	56124	71050	0.979338102523811
117	56074	71056	0.979420805248866
118	55905	71061	0.979489724186412
119	55904	71061	0.979489724186412
120	55726	71064	0.979531075548939
121	55662	71064	0.979531075548939
122	55530	71085	0.979820535086631
123	55493	71085	0.979820535086631
124	55416	71085	0.979820535086631
125	55361	71085	0.979820535086631
126	55280	71085	0.979820535086631
127	55220	71106	0.980109994624323
128	55173	71106	0.980109994624323
129	55147	71106	0.980109994624323
130	54988	71106	0.980109994624323
131	54958	71106	0.980109994624323
132	54896	71106	0.980109994624323
133	54863	71120	0.980302967649451
134	54805	71120	0.980302967649451
135	54805	71120	0.980302967649451
136	54785	71120	0.980302967649451
137	54753	71120	0.980302967649451
138	54718	71123	0.980344319011978
139	54547	71123	0.980344319011978
140	54502	71123	0.980344319011978
141	54433	71126	0.980385670374506
142	54393	71126	0.980385670374506
143	54362	71163	0.980895670512343
144	54318	71163	0.980895670512343
145	54272	71163	0.980895670512343
146	54237	71163	0.980895670512343
147	54138	71163	0.980895670512343
148	54129	71166	0.980937021874871
149	54064	71170	0.980992157024907
150	54038	71177	0.981088643537471
151	53813	71177	0.981088643537471
152	53696	71177	0.981088643537471
153	53619	71177	0.981088643537471
154	53610	71177	0.981088643537471
155	53597	71177	0.981088643537471
156	53398	71177	0.981088643537471
157	53216	71177	0.981088643537471
158	53187	71177	0.981088643537471
159	53126	71177	0.981088643537471
160	53091	71177	0.981088643537471
161	53091	71177	0.981088643537471
162	52997	71178	0.98110242732498
163	52944	71178	0.98110242732498
164	52849	71178	0.98110242732498
165	52778	71178	0.98110242732498
166	52706	71178	0.98110242732498
167	52585	71178	0.98110242732498
168	52530	71178	0.98110242732498
169	52506	71178	0.98110242732498
170	52432	71178	0.98110242732498
171	52390	71178	0.98110242732498
172	52331	71178	0.98110242732498
173	52300	71178	0.98110242732498
174	52299	71178	0.98110242732498
175	52155	71178	0.98110242732498
176	52081	71178	0.98110242732498
177	52049	71178	0.98110242732498
178	51950	71179	0.981116211112489
179	51866	71179	0.981116211112489
180	51854	71179	0.981116211112489
181	51766	71179	0.981116211112489
182	51681	71179	0.981116211112489
183	51585	71179	0.981116211112489
184	51341	71179	0.981116211112489
185	51261	71182	0.981157562475017
186	51254	71196	0.981350535500145
187	51092	71204	0.981460805800218
188	51087	71204	0.981460805800218
189	51013	71204	0.981460805800218
190	51010	71229	0.981805400487946
191	50921	71238	0.981929454575528
192	50578	71238	0.981929454575528
193	50546	71238	0.981929454575528
194	50389	71243	0.981998373513074
195	50375	71243	0.981998373513074
196	50370	71243	0.981998373513074
197	50366	71244	0.982012157300583
198	50328	71244	0.982012157300583
199	50269	71244	0.982012157300583
200	50247	71244	0.982012157300583
201	50180	71244	0.982012157300583
202	50171	71244	0.982012157300583
203	50106	71245	0.982025941088092
204	50088	71245	0.982025941088092
205	50062	71245	0.982025941088092
206	49898	71245	0.982025941088092
207	49845	71247	0.98205350866311
208	49826	71247	0.98205350866311
209	49812	71247	0.98205350866311
210	49798	71247	0.98205350866311
211	49726	71248	0.98206729245062
212	49704	71248	0.98206729245062
213	49696	71248	0.98206729245062
214	49693	71248	0.98206729245062
215	49652	71248	0.98206729245062
216	49628	71248	0.98206729245062
217	49442	71248	0.98206729245062
218	49441	71256	0.982177562750693
219	49360	71256	0.982177562750693
220	49308	71256	0.982177562750693
221	49255	71256	0.982177562750693
222	49231	71256	0.982177562750693
223	49213	71259	0.98221891411322
224	49140	71259	0.98221891411322
225	49086	71259	0.98221891411322
226	48970	71259	0.98221891411322
227	48934	71259	0.98221891411322
228	48933	71272	0.982398103350839
229	48918	71272	0.982398103350839
230	48804	71272	0.982398103350839
231	48801	71272	0.982398103350839
232	48782	71272	0.982398103350839
233	48743	71272	0.982398103350839
234	48639	71601	0.986932969441343
235	48582	71601	0.986932969441343
236	48577	71601	0.986932969441343
237	48547	71601	0.986932969441343
238	48547	71601	0.986932969441343
239	48541	71601	0.986932969441343
240	48485	71601	0.986932969441343
241	48482	71601	0.986932969441343
242	48452	71601	0.986932969441343
243	48403	71601	0.986932969441343
244	48370	71601	0.986932969441343
245	48165	71601	0.986932969441343
246	48163	71601	0.986932969441343
247	48152	71601	0.986932969441343
248	48084	71601	0.986932969441343
249	47983	71601	0.986932969441343
250	47977	71601	0.986932969441343
251	47926	71601	0.986932969441343
252	47912	71601	0.986932969441343
253	47812	71601	0.986932969441343
254	47705	71601	0.986932969441343
255	47698	71601	0.986932969441343
256	47666	71601	0.986932969441343
257	47666	71601	0.986932969441343
258	47633	71601	0.986932969441343
259	47590	71602	0.986946753228852
260	47512	71602	0.986946753228852
261	47494	71602	0.986946753228852
262	47487	71602	0.986946753228852
263	47448	71628	0.98730513170409
264	47422	71628	0.98730513170409
265	47410	71638	0.987442969579181
266	47388	71638	0.987442969579181
267	47325	71638	0.987442969579181
268	47134	71638	0.987442969579181
269	47075	71638	0.987442969579181
270	47023	71638	0.987442969579181
271	46984	71638	0.987442969579181
272	46967	71638	0.987442969579181
273	46946	71638	0.987442969579181
274	46939	71638	0.987442969579181
275	46917	71638	0.987442969579181
276	46913	71639	0.98745675336669
277	46870	71639	0.98745675336669
278	46834	71639	0.98745675336669
279	46789	71650	0.987608375029291
280	46772	71650	0.987608375029291
281	46768	71650	0.987608375029291
282	46754	71650	0.987608375029291
283	46745	71650	0.987608375029291
284	46736	71652	0.987635942604309
285	46691	71652	0.987635942604309
286	46552	71652	0.987635942604309
287	46544	71658	0.987718645329364
288	46528	71658	0.987718645329364
289	46471	71658	0.987718645329364
290	46362	71658	0.987718645329364
291	46359	71658	0.987718645329364
292	46349	71658	0.987718645329364
293	46276	71658	0.987718645329364
294	46162	71658	0.987718645329364
295	46158	71658	0.987718645329364
296	46103	71663	0.987787564266909
297	46036	71663	0.987787564266909
298	46020	71663	0.987787564266909
299	45973	71663	0.987787564266909
300	45890	71663	0.987787564266909
301	45855	71663	0.987787564266909
302	45765	71663	0.987787564266909
303	45763	71663	0.987787564266909
304	45758	71663	0.987787564266909
305	45722	71664	0.987801348054418
306	45712	71664	0.987801348054418
307	45693	71664	0.987801348054418
308	45693	71664	0.987801348054418
309	45688	71664	0.987801348054418
310	45646	71667	0.987842699416946
311	45627	71667	0.987842699416946
312	45506	71667	0.987842699416946
313	45503	71667	0.987842699416946
314	45478	71667	0.987842699416946
315	45476	71667	0.987842699416946
316	45468	71667	0.987842699416946
317	45435	71667	0.987842699416946
318	45431	71667	0.987842699416946
319	45338	71667	0.987842699416946
320	45296	71675	0.987952969717019
321	45195	71686	0.988104591379619
322	45179	71686	0.988104591379619
323	45164	71686	0.988104591379619
324	45104	71686	0.988104591379619
325	45103	71686	0.988104591379619
326	45091	71686	0.988104591379619
327	45071	71686	0.988104591379619
328	45017	71697	0.98825621304222
329	44987	71697	0.98825621304222
330	44977	71697	0.98825621304222
331	44971	71697	0.98825621304222
332	44959	71697	0.98825621304222
333	44916	71697	0.98825621304222
334	44907	71697	0.98825621304222
335	44902	71697	0.98825621304222
336	44851	71697	0.98825621304222
337	44826	71697	0.98825621304222
338	44745	71697	0.98825621304222
339	44702	71697	0.98825621304222
340	44655	71697	0.98825621304222
341	44647	71701	0.988311348192256
342	44592	71702	0.988325131979765
343	44588	71702	0.988325131979765
344	44576	71702	0.988325131979765
345	44559	71702	0.988325131979765
346	44514	71706	0.988380267129802
347	44508	72018	0.992680808832651
348	44507	72018	0.992680808832651
349	44495	72033	0.992887565645288
350	44460	72033	0.992887565645288
351	44452	72033	0.992887565645288
352	44441	72033	0.992887565645288
353	44417	72033	0.992887565645288
354	44369	72033	0.992887565645288
355	44368	72033	0.992887565645288
356	44355	72033	0.992887565645288
357	44349	72033	0.992887565645288
358	44346	72033	0.992887565645288
359	44346	72033	0.992887565645288
360	44341	72033	0.992887565645288
361	44339	72034	0.992901349432797
362	44334	72034	0.992901349432797
363	44331	72034	0.992901349432797
364	44325	72034	0.992901349432797
365	44288	72040	0.992984052157852
366	44169	72040	0.992984052157852
367	44049	72040	0.992984052157852
368	44042	72040	0.992984052157852
369	44031	72040	0.992984052157852
370	44015	72040	0.992984052157852
371	43986	72040	0.992984052157852
372	43968	72040	0.992984052157852
373	43930	72040	0.992984052157852
374	43912	72040	0.992984052157852
375	43904	72040	0.992984052157852
376	43757	72040	0.992984052157852
377	43729	72040	0.992984052157852
378	43716	72040	0.992984052157852
379	43685	72043	0.993025403520379
380	43670	72043	0.993025403520379
381	43639	72043	0.993025403520379
382	43634	72043	0.993025403520379
383	43625	72043	0.993025403520379
384	43608	72043	0.993025403520379
385	43598	72043	0.993025403520379
386	43591	72043	0.993025403520379
387	43546	72043	0.993025403520379
388	43523	72043	0.993025403520379
389	43462	72043	0.993025403520379
390	43454	72043	0.993025403520379
391	43446	72043	0.993025403520379
392	43410	72127	0.994183241671146
393	43401	72127	0.994183241671146
394	43400	72127	0.994183241671146
395	43352	72127	0.994183241671146
396	43339	72127	0.994183241671146
397	43333	72127	0.994183241671146
398	43323	72127	0.994183241671146
399	43322	72127	0.994183241671146
400	43320	72127	0.994183241671146
401	43261	72127	0.994183241671146
402	43260	72127	0.994183241671146
403	43255	72127	0.994183241671146
404	43230	72127	0.994183241671146
405	43197	72127	0.994183241671146
406	43185	72127	0.994183241671146
407	43160	72127	0.994183241671146
408	43121	72127	0.994183241671146
409	43085	72127	0.994183241671146
410	43030	72127	0.994183241671146
411	43009	72127	0.994183241671146
412	43000	72127	0.994183241671146
413	42996	72127	0.994183241671146
414	42992	72127	0.994183241671146
415	42945	72127	0.994183241671146
416	42939	72127	0.994183241671146
417	42920	72127	0.994183241671146
418	42897	72127	0.994183241671146
419	42896	72127	0.994183241671146
420	42809	72127	0.994183241671146
421	42803	72127	0.994183241671146
422	42777	72127	0.994183241671146
423	42772	72127	0.994183241671146
424	42751	72127	0.994183241671146
425	42730	72127	0.994183241671146
426	42714	72127	0.994183241671146
427	42706	72127	0.994183241671146
428	42688	72127	0.994183241671146
429	42688	72127	0.994183241671146
430	42687	72127	0.994183241671146
431	42682	72127	0.994183241671146
432	42671	72127	0.994183241671146
433	42623	72127	0.994183241671146
434	42592	72127	0.994183241671146
