order	fre	frePool	ratio
1	5151	5151	0.791609036422314
2	4973	5531	0.85000768403258
3	4253	5687	0.873981865683111
4	4119	5725	0.879821730444137
5	4068	5916	0.909174734900876
6	4062	5918	0.909482096204088
7	4037	5950	0.914399877055479
8	4033	5996	0.921469187029353
9	4024	6006	0.923005993545413
10	3795	6008	0.923313354848625
11	3664	6013	0.924081758106654
12	3630	6025	0.925925925925926
13	3618	6027	0.926233287229138
14	3517	6035	0.927462732441986
15	3516	6037	0.927770093745197
16	3514	6170	0.948209620408791
17	3467	6170	0.948209620408791
18	3442	6177	0.949285384970032
19	3408	6212	0.954664207776241
20	3400	6217	0.955432611034271
21	3382	6217	0.955432611034271
22	3372	6235	0.958198862763178
23	3301	6236	0.958352543414784
24	3269	6239	0.958813585369602
25	3264	6247	0.96004303058245
26	3245	6255	0.961272475795297
27	3215	6257	0.961579837098509
28	3170	6258	0.961733517750115
29	3152	6260	0.962040879053327
30	3142	6260	0.962040879053327
31	3116	6272	0.963885046872599
32	3113	6284	0.96572921469187
33	3077	6291	0.966804979253112
34	2997	6292	0.966958659904718
35	2987	6296	0.967573382511142
36	2987	6297	0.967727063162748
37	2956	6323	0.971722760104503
38	2893	6325	0.972030121407715
39	2885	6349	0.975718457046258
40	2879	6350	0.975872137697864
41	2872	6350	0.975872137697864
42	2867	6350	0.975872137697864
43	2866	6350	0.975872137697864
44	2858	6350	0.975872137697864
45	2841	6350	0.975872137697864
46	2835	6376	0.979867834639619
47	2825	6376	0.979867834639619
48	2821	6377	0.980021515291225
49	2814	6473	0.994774857845397
50	2799	6473	0.994774857845397
51	2757	6473	0.994774857845397
52	2669	6474	0.994928538497003
53	2606	6474	0.994928538497003
54	2604	6474	0.994928538497003
55	2572	6476	0.995235899800215
56	2553	6476	0.995235899800215
57	2550	6476	0.995235899800215
58	2548	6477	0.995389580451821
59	2540	6478	0.995543261103427
60	2494	6481	0.996004303058245
61	2469	6481	0.996004303058245
62	2469	6481	0.996004303058245
63	2462	6481	0.996004303058245
64	2461	6484	0.996465345013063
65	2457	6484	0.996465345013063
66	2437	6484	0.996465345013063
67	2435	6484	0.996465345013063
68	2425	6484	0.996465345013063
69	2417	6484	0.996465345013063
70	2417	6485	0.996619025664669
71	2409	6485	0.996619025664669
72	2389	6485	0.996619025664669
73	2329	6485	0.996619025664669
74	2292	6485	0.996619025664669
75	2272	6485	0.996619025664669
76	2248	6485	0.996619025664669
77	2242	6486	0.996772706316275
78	2227	6486	0.996772706316275
79	2139	6486	0.996772706316275
80	2135	6486	0.996772706316275
81	2124	6486	0.996772706316275
82	2114	6486	0.996772706316275
83	2107	6486	0.996772706316275
84	2063	6486	0.996772706316275
85	2053	6486	0.996772706316275
86	2044	6487	0.996926386967881
87	2034	6487	0.996926386967881
88	2029	6487	0.996926386967881
89	2021	6487	0.996926386967881
90	2012	6487	0.996926386967881
91	2008	6487	0.996926386967881
92	2001	6487	0.996926386967881
93	1981	6490	0.997387428922699
94	1978	6490	0.997387428922699
95	1967	6490	0.997387428922699
96	1964	6491	0.997541109574305
97	1959	6491	0.997541109574305
98	1957	6491	0.997541109574305
99	1955	6494	0.998002151529123
100	1946	6494	0.998002151529123
101	1946	6494	0.998002151529123
102	1909	6494	0.998002151529123
103	1907	6494	0.998002151529123
104	1891	6494	0.998002151529123
105	1876	6495	0.998155832180728
106	1871	6495	0.998155832180728
107	1859	6495	0.998155832180728
108	1851	6495	0.998155832180728
109	1844	6495	0.998155832180728
110	1838	6495	0.998155832180728
111	1828	6495	0.998155832180728
112	1827	6495	0.998155832180728
113	1825	6495	0.998155832180728
114	1823	6495	0.998155832180728
115	1818	6495	0.998155832180728
116	1813	6495	0.998155832180728
117	1796	6495	0.998155832180728
118	1786	6495	0.998155832180728
119	1783	6495	0.998155832180728
120	1781	6495	0.998155832180728
121	1774	6495	0.998155832180728
122	1765	6495	0.998155832180728
123	1765	6495	0.998155832180728
124	1738	6495	0.998155832180728
125	1728	6495	0.998155832180728
126	1721	6496	0.998309512832334
127	1707	6496	0.998309512832334
128	1687	6496	0.998309512832334
129	1686	6496	0.998309512832334
130	1664	6496	0.998309512832334
131	1663	6496	0.998309512832334
132	1657	6496	0.998309512832334
133	1653	6496	0.998309512832334
134	1651	6496	0.998309512832334
135	1635	6496	0.998309512832334
136	1628	6496	0.998309512832334
137	1626	6496	0.998309512832334
138	1625	6496	0.998309512832334
139	1622	6496	0.998309512832334
140	1620	6496	0.998309512832334
