order	fre	frePool	ratio
1	870	870	0.740425531914894
2	852	1017	0.865531914893617
3	832	1022	0.869787234042553
4	830	1025	0.872340425531915
5	812	1025	0.872340425531915
6	794	1041	0.885957446808511
7	789	1041	0.885957446808511
8	763	1041	0.885957446808511
9	748	1048	0.891914893617021
10	706	1054	0.897021276595745
11	697	1071	0.911489361702128
12	686	1079	0.918297872340425
13	675	1079	0.918297872340425
14	669	1079	0.918297872340425
15	664	1079	0.918297872340425
16	659	1101	0.937021276595745
17	612	1109	0.943829787234043
18	603	1116	0.949787234042553
19	601	1116	0.949787234042553
20	575	1116	0.949787234042553
21	575	1116	0.949787234042553
22	571	1116	0.949787234042553
23	570	1116	0.949787234042553
24	568	1123	0.955744680851064
25	566	1123	0.955744680851064
26	563	1123	0.955744680851064
27	553	1123	0.955744680851064
28	546	1123	0.955744680851064
29	540	1123	0.955744680851064
30	538	1123	0.955744680851064
31	535	1123	0.955744680851064
32	531	1123	0.955744680851064
33	525	1123	0.955744680851064
34	520	1123	0.955744680851064
35	517	1123	0.955744680851064
36	516	1130	0.961702127659574
37	511	1130	0.961702127659574
38	511	1130	0.961702127659574
39	511	1130	0.961702127659574
40	510	1130	0.961702127659574
41	507	1130	0.961702127659574
42	505	1130	0.961702127659574
43	503	1130	0.961702127659574
44	500	1130	0.961702127659574
45	497	1130	0.961702127659574
46	496	1130	0.961702127659574
47	495	1130	0.961702127659574
48	490	1130	0.961702127659574
49	490	1130	0.961702127659574
50	488	1130	0.961702127659574
51	488	1130	0.961702127659574
52	487	1130	0.961702127659574
53	482	1130	0.961702127659574
54	482	1130	0.961702127659574
55	481	1130	0.961702127659574
56	479	1130	0.961702127659574
57	478	1130	0.961702127659574
58	477	1130	0.961702127659574
59	476	1130	0.961702127659574
60	476	1130	0.961702127659574
61	475	1130	0.961702127659574
62	472	1130	0.961702127659574
63	472	1130	0.961702127659574
64	469	1130	0.961702127659574
65	468	1130	0.961702127659574
66	465	1138	0.968510638297872
67	465	1138	0.968510638297872
68	465	1138	0.968510638297872
69	463	1138	0.968510638297872
70	462	1138	0.968510638297872
71	462	1138	0.968510638297872
72	461	1138	0.968510638297872
73	461	1138	0.968510638297872
74	460	1138	0.968510638297872
75	460	1138	0.968510638297872
76	459	1138	0.968510638297872
77	455	1138	0.968510638297872
78	454	1138	0.968510638297872
79	453	1138	0.968510638297872
80	453	1138	0.968510638297872
81	449	1147	0.976170212765958
82	449	1147	0.976170212765958
83	446	1147	0.976170212765958
84	443	1154	0.982127659574468
85	443	1154	0.982127659574468
86	441	1154	0.982127659574468
87	438	1154	0.982127659574468
88	438	1154	0.982127659574468
89	438	1175	1
90	437	1175	1
91	437	1175	1
92	437	1175	1
93	436	1175	1
94	436	1175	1
95	435	1175	1
96	434	1175	1
97	434	1175	1
98	433	1175	1
99	433	1175	1
100	432	1175	1
101	431	1175	1
102	431	1175	1
103	429	1175	1
104	428	1175	1
105	427	1175	1
106	427	1175	1
107	427	1175	1
108	426	1175	1
109	426	1175	1
110	425	1175	1
111	424	1175	1
112	423	1175	1
113	422	1175	1
114	422	1175	1
115	422	1175	1
116	421	1175	1
117	420	1175	1
118	419	1175	1
119	417	1175	1
120	417	1175	1
121	417	1175	1
122	416	1175	1
123	415	1175	1
124	415	1175	1
125	415	1175	1
126	414	1175	1
127	414	1175	1
128	414	1175	1
129	414	1175	1
130	414	1175	1
131	413	1175	1
132	413	1175	1
133	413	1175	1
134	413	1175	1
135	413	1175	1
136	412	1175	1
137	412	1175	1
138	412	1175	1
139	411	1175	1
140	410	1175	1
141	410	1175	1
142	410	1175	1
143	410	1175	1
144	410	1175	1
145	409	1175	1
146	409	1175	1
147	409	1175	1
148	408	1175	1
149	408	1175	1
150	408	1175	1
151	408	1175	1
152	408	1175	1
153	407	1175	1
154	407	1175	1
155	407	1175	1
156	407	1175	1
157	407	1175	1
158	406	1175	1
159	406	1175	1
160	406	1175	1
161	406	1175	1
162	406	1175	1
163	406	1175	1
164	406	1175	1
165	406	1175	1
166	405	1175	1
167	405	1175	1
168	405	1175	1
169	405	1175	1
170	405	1175	1
171	404	1175	1
172	404	1175	1
