order	fre	frePool	ratio
1	14433	14433	0.433397393549937
2	13755	20555	0.617230196384602
3	13156	21891	0.657347907032611
4	13123	22741	0.68287189958561
5	12668	23168	0.695693952315176
6	12559	23333	0.700648609693111
7	11820	23422	0.703321121854543
8	11766	23487	0.705272956579184
9	11645	23545	0.707014593718095
10	11508	24032	0.721638340039637
11	11501	24073	0.722869497327488
12	11146	24100	0.723680259443877
13	11022	24105	0.723830400576542
14	10645	24255	0.728334634556483
15	10522	24945	0.749054110864212
16	10249	26310	0.790042640081677
17	10245	26311	0.79007266830821
18	10141	26321	0.790372950573539
19	10015	26346	0.791123656236863
20	9952	26368	0.791784277220587
21	9866	27172	0.815926971353072
22	9798	27194	0.816587592336797
23	9354	27250	0.818269173022641
24	9283	27489	0.825445919164014
25	9256	27491	0.82550597561708
26	9245	27493	0.825566032070146
27	9085	27509	0.826046483694673
28	9065	27533	0.826767161131464
29	9046	27570	0.827878205513182
30	8997	27588	0.828418713590775
31	8869	27588	0.828418713590775
32	8867	27591	0.828508798270374
33	8597	27612	0.829139391027566
34	8554	27624	0.829499729745961
35	8540	27641	0.830010209597021
36	8478	27658	0.830520689448081
37	8450	27659	0.830550717674614
38	8441	32580	0.978319620443217
39	8396	32671	0.981052189057714
40	8351	32675	0.981172301963846
41	8345	32696	0.981802894721038
42	8317	32711	0.982253318119032
43	8289	32730	0.982823854423158
44	8246	32730	0.982823854423158
45	8197	32733	0.982913939102757
46	8190	32733	0.982913939102757
47	8175	32750	0.983424418953817
48	8047	32755	0.983574560086481
49	8022	32767	0.983934898804877
50	8014	32767	0.983934898804877
51	7983	32768	0.983964927031409
52	7947	32770	0.984024983484475
53	7906	32771	0.984055011711008
54	7873	32775	0.98417512461714
55	7819	32790	0.984625548015134
56	7806	32790	0.984625548015134
57	7789	32797	0.984835745600865
58	7773	32798	0.984865773827398
59	7691	32807	0.985136027866194
60	7676	32822	0.985586451264188
61	7662	32828	0.985766620623386
62	7612	32829	0.985796648849919
63	7599	32831	0.985856705302985
64	7590	32832	0.985886733529518
65	7582	32833	0.985916761756051
66	7444	32833	0.985916761756051
67	7410	32833	0.985916761756051
68	7260	32833	0.985916761756051
69	7200	32833	0.985916761756051
70	7149	32839	0.986096931115248
71	7139	32845	0.986277100474446
72	7124	32845	0.986277100474446
73	7120	32845	0.986277100474446
74	7006	32889	0.987598342441895
75	6992	32889	0.987598342441895
76	6903	32889	0.987598342441895
77	6886	32895	0.987778511801093
78	6877	32895	0.987778511801093
79	6874	32895	0.987778511801093
80	6828	32907	0.988138850519488
81	6750	32911	0.98825896342562
82	6733	32914	0.988349048105219
83	6682	32914	0.988349048105219
84	6672	32914	0.988349048105219
85	6659	32914	0.988349048105219
86	6628	32914	0.988349048105219
87	6623	32914	0.988349048105219
88	6609	32914	0.988349048105219
89	6608	32914	0.988349048105219
90	6566	32914	0.988349048105219
91	6541	32914	0.988349048105219
92	6507	32918	0.988469161011351
93	6495	32920	0.988529217464417
94	6482	32922	0.988589273917482
95	6459	32924	0.988649330370548
96	6459	32924	0.988649330370548
97	6419	32924	0.988649330370548
98	6316	32924	0.988649330370548
99	6287	32924	0.988649330370548
100	6268	32928	0.98876944327668
101	6241	32929	0.988799471503213
102	6230	32929	0.988799471503213
103	6176	32929	0.988799471503213
104	6136	32929	0.988799471503213
105	6124	32929	0.988799471503213
106	6112	32929	0.988799471503213
107	6103	32929	0.988799471503213
108	6088	32929	0.988799471503213
109	6071	32929	0.988799471503213
110	6055	32929	0.988799471503213
111	5889	32929	0.988799471503213
112	5850	32929	0.988799471503213
113	5840	32929	0.988799471503213
114	5818	32929	0.988799471503213
115	5811	32929	0.988799471503213
116	5780	32935	0.988979640862411
117	5750	32935	0.988979640862411
118	5742	32935	0.988979640862411
119	5732	32935	0.988979640862411
120	5716	32937	0.989039697315477
121	5677	32937	0.989039697315477
122	5661	32937	0.989039697315477
123	5636	32937	0.989039697315477
