project	sample	asmCov	Signal	asmCovCombined	SignalCombined
Admed_SARS2_2020	rand.1	100	83.7599195260981	100	93.6720727477266
Admed_SARS2_2020	rand.10	100	70.1078438252977	100	78.3708158995816
Admed_SARS2_2020	rand.100	100	50.8994116948951	100	78.456070663252
Admed_SARS2_2020	rand.11	99.7391566063606	87.8575426399976	99.7391566063606	92.661633578774
Admed_SARS2_2020	rand.12	100	9.8768682009332	100	60.43449372823
Admed_SARS2_2020	rand.13	99.6889944152761	85.0984870111333	99.6889944152761	96.1054871365014
Admed_SARS2_2020	rand.14	99.6889944152761	5.74980904693202	99.6889944152761	59.2962425158634
Admed_SARS2_2020	rand.15	100	95.2691783643335	100	95.2691783643335
Admed_SARS2_2020	rand.16	100	76.0296394041668	100	82.5622089338367
Admed_SARS2_2020	rand.17	57.1313914991807	47.6847070645044	57.1313914991807	71.0146734838093
Admed_SARS2_2020	rand.18	100	92.9391325929143	100	99.0510828236072
Admed_SARS2_2020	rand.19	100	90.5758059175872	100	95.0263681434932
Admed_SARS2_2020	rand.2	99.9966558539277	90.4394640534737	99.9966558539277	94.3310514527272
Admed_SARS2_2020	rand.20	99.8227602581681	93.6441209687539	99.8227602581681	97.8945297127115
Admed_SARS2_2020	rand.21	99.9866234157108	91.3979152019075	99.9866234157108	96.3178918884093
Admed_SARS2_2020	rand.22	100	70.5610220040861	100	73.2585639400219
Admed_SARS2_2020	rand.23	100	97.9414455626715	100	98.9698210394242
Admed_SARS2_2020	rand.24	100	100	100	100
Admed_SARS2_2020	rand.25	100	98.9691062283165	100	98.9691062283165
Admed_SARS2_2020	rand.26	100	65.1044937736871	100	86.1103950044399
Admed_SARS2_2020	rand.27	100	6.78808731991791	100	36.4008378028258
Admed_SARS2_2020	rand.28	83.7775474032706	96.7109326744904	83.7775474032706	100
Admed_SARS2_2020	rand.29	100	6.99704921242407	100	51.0587635002976
Admed_SARS2_2020	rand.3	100	15.2037379774872	100	19.2488924172194
Admed_SARS2_2020	rand.30	99.6889944152761	57.6595744680851	99.6889944152761	77.2499935214698
Admed_SARS2_2020	rand.31	99.6889944152761	1.59120752420707	99.6889944152761	9.36161392842338
Admed_SARS2_2020	rand.32	99.866234157108	89.5334892366733	99.866234157108	94.1337788425167
Admed_SARS2_2020	rand.33	99.7190917299268	66.4979260514696	99.7190917299268	84.7708664998863
Admed_SARS2_2020	rand.34	100	70.7784685941231	100	75.5431080160472
Admed_SARS2_2020	rand.35	100	82.6455172413793	100	90.1483465230343
Admed_SARS2_2020	rand.36	0	0	0	0
Admed_SARS2_2020	rand.37	100	32.1304329153066	100	42.7457254274573
Admed_SARS2_2020	rand.38	100	38.7733539492333	100	47.0165460994016
Admed_SARS2_2020	rand.39	100	75.1998793181475	100	85.354717196507
Admed_SARS2_2020	rand.4	100	94.0527457328765	100	97.8417971943364
Admed_SARS2_2020	rand.40	100	61.9738034434467	100	68.8115981797809
Admed_SARS2_2020	rand.41	0	0	0	0
Admed_SARS2_2020	rand.42	100	45.8584960608197	100	59.800923427475
Admed_SARS2_2020	rand.43	100	3.85748686148221	100	31.1959489028278
Admed_SARS2_2020	rand.44	0	0	0	0
Admed_SARS2_2020	rand.45	100	97.9305150790792	100	100
Admed_SARS2_2020	rand.46	100	82.526609571237	100	94.2825883088465
Admed_SARS2_2020	rand.47	100	72.1052885078509	100	81.1783206355231
Admed_SARS2_2020	rand.48	100	88.3982123956251	100	92.0829377354445
Admed_SARS2_2020	rand.49	100	60.5978644813596	100	81.1010859581825
Admed_SARS2_2020	rand.5	99.7893187974451	92.2496676662442	99.7893187974451	97.5354644701575
Admed_SARS2_2020	rand.50	100	43.0996415770609	100	70.6310793665711
Admed_SARS2_2020	rand.51	100	83.8762944304506	100	91.2326098206947
Admed_SARS2_2020	rand.52	100	90.0122603989115	100	94.8152581346269
Admed_SARS2_2020	rand.53	99.8796107413972	70.4792694150129	99.8796107413972	79.2880087074252
Admed_SARS2_2020	rand.54	100	51.0605621064487	100	74.8143517939742
Admed_SARS2_2020	rand.55	0	0	0	0
Admed_SARS2_2020	rand.56	0	0	0	0
Admed_SARS2_2020	rand.57	99.7224358759991	32.8718197451387	99.7224358759991	39.918075579294
Admed_SARS2_2020	rand.58	100	92.7275541795666	100	98.0424891158467
Admed_SARS2_2020	rand.59	100	98.375131302521	100	100
Admed_SARS2_2020	rand.6	100	31.8117112140399	100	41.4045324447271
Admed_SARS2_2020	rand.60	100	10.3336003603145	100	65.9817351598174
Admed_SARS2_2020	rand.61	100	97.3937566857921	100	100
Admed_SARS2_2020	rand.62	99.866234157108	59.4821232944926	99.866234157108	88.3416163767601
Admed_SARS2_2020	rand.63	0	0	0	0
Admed_SARS2_2020	rand.64	100	61.0178086081701	100	73.4914740802267
Admed_SARS2_2020	rand.65	100	34.7102163949643	100	56.2417747696936
Admed_SARS2_2020	rand.66	100	3.918847622626	100	30.5028786875223
Admed_SARS2_2020	rand.67	100	93.0639605250908	100	97.4079126875853
Admed_SARS2_2020	rand.68	99.7926629435174	4.77520942848227	99.7926629435174	41.1390049216262
Admed_SARS2_2020	rand.69	100	71.4095047428381	100	82.9811393912538
Admed_SARS2_2020	rand.7	100	74.8435669234413	100	93.8627481632015
Admed_SARS2_2020	rand.70	100	82.2896066798506	100	90.3907074973601
Admed_SARS2_2020	rand.71	100	79.7249122060232	100	95.6068147013783
Admed_SARS2_2020	rand.72	100	3.90855668252635	100	29.8014558581431
Admed_SARS2_2020	rand.73	100	96.5842508531324	100	100
Admed_SARS2_2020	rand.74	99.6889944152761	87.1713893031553	99.6889944152761	96.8171484248133
Admed_SARS2_2020	rand.75	99.6889944152761	82.7940563810582	99.6889944152761	96.8454566128456
Admed_SARS2_2020	rand.76	99.8428251346019	7.54215558727312	99.8428251346019	73.5260798896715
Admed_SARS2_2020	rand.77	100	87.3371063706284	100	89.8402746678609
Admed_SARS2_2020	rand.78	100	78.2821829939245	100	95.7853428197684
Admed_SARS2_2020	rand.79	100	67.1356558754341	100	95.6646660707445
Admed_SARS2_2020	rand.8	100	94.1379852270941	100	98.7340937561812
Admed_SARS2_2020	rand.80	99.9765909774939	46.663648992461	99.9765909774939	73.6626832573611
Admed_SARS2_2020	rand.81	0	0	0	0
Admed_SARS2_2020	rand.82	0	0	0	0
Admed_SARS2_2020	rand.83	100	3.8893811863821	100	24.0967928902628
Admed_SARS2_2020	rand.84	100	73.6677732693963	100	80.8119773401672
Admed_SARS2_2020	rand.85	100	97.3496167337924	100	98.8098770316157
Admed_SARS2_2020	rand.86	99.9832792696385	77.4338918960918	99.9832792696385	86.8168883210407
Admed_SARS2_2020	rand.87	99.9632143932047	9.26372420803402	99.9632143932047	55.3053710521934
Admed_SARS2_2020	rand.88	100	53.6509525000894	100	76.7708280059326
Admed_SARS2_2020	rand.89	99.6856502692038	98.0107845071349	99.6856502692038	99.0036201800126
Admed_SARS2_2020	rand.9	100	84.6629908855632	100	91.3356195563109
Admed_SARS2_2020	rand.90	100	6.69501197216193	100	35.1170843359352
Admed_SARS2_2020	rand.91	100	72.5936474222823	100	84.117350934109
Admed_SARS2_2020	rand.92	100	60.1735642227341	100	91.2515810395712
Admed_SARS2_2020	rand.93	100	97.0730138308138	100	100
Admed_SARS2_2020	rand.94	99.6889944152761	82.5670285840904	99.6889944152761	96.8423104411669
Admed_SARS2_2020	rand.95	100	26.5711984564596	100	53.3914280633114
Admed_SARS2_2020	rand.96	100	89.3711010954243	100	97.9232756647153
Admed_SARS2_2020	rand.97	100	100	100	100
Admed_SARS2_2020	rand.98	0	0	0	0
Admed_SARS2_2020	rand.99	100	95.9320732994339	100	99
Grundy_HIV_2023	rand.1	100	19.8310096424169	100	86.3761268861785
Grundy_HIV_2023	rand.10	100	11.0428268714233	100	79.6106415408064
Grundy_HIV_2023	rand.100	100	19.2688365228829	100	98.5786035518498
Grundy_HIV_2023	rand.11	100	6.48775462632248	100	71.8966906030952
Grundy_HIV_2023	rand.12	100	38.572132925747	100	83.7924681890236
Grundy_HIV_2023	rand.13	100	7.21704420917162	100	80.9579307492763
Grundy_HIV_2023	rand.14	100	3.62686343409376	100	67.8639846743295
Grundy_HIV_2023	rand.15	100	10.1209575276535	100	78.1054003421031
Grundy_HIV_2023	rand.16	100	8.79159876540328	100	94.9949545913219
Grundy_HIV_2023	rand.17	100	38.2392140283063	100	97.8184514919608
Grundy_HIV_2023	rand.18	100	72.3680527337577	100	98.2835657537245
Grundy_HIV_2023	rand.19	100	53.372581234027	100	93.373253493014
Grundy_HIV_2023	rand.2	0	0	0	0
Grundy_HIV_2023	rand.20	100	54.2773087746227	100	96.7156695156695
Grundy_HIV_2023	rand.21	100	21.306062654947	100	84.2583983959316
Grundy_HIV_2023	rand.22	100	35.2530053117137	100	97.942834317163
Grundy_HIV_2023	rand.23	90.869901624848	5.28430200419093	90.869901624848	95.260718424102
Grundy_HIV_2023	rand.24	100	58.5189085224007	100	99.7107260227574
Grundy_HIV_2023	rand.25	100	26.5181358632732	100	98.9972327618178
Grundy_HIV_2023	rand.26	100	3.02723822575969	100	82.1399839098954
Grundy_HIV_2023	rand.27	100	13.8109186022633	100	92.2897599723709
Grundy_HIV_2023	rand.28	100	38.7046965472872	100	96.2252079334613
Grundy_HIV_2023	rand.29	100	35.2219723676071	100	89.3753270376
Grundy_HIV_2023	rand.3	100	19.7897367777117	100	92.5289074960128
Grundy_HIV_2023	rand.30	100	18.4769508550742	100	90.5160115010645
Grundy_HIV_2023	rand.31	100	16.3043103269832	100	94.1171784761222
Grundy_HIV_2023	rand.32	100	46.1457027441148	100	99.7791253363319
Grundy_HIV_2023	rand.33	100	46.7570104060312	100	98.9480346581113
Grundy_HIV_2023	rand.34	8.897977230021	0.298448807687745	8.897977230021	14.7869213813373
Grundy_HIV_2023	rand.35	100	13.2480836736156	100	94.549823610614
Grundy_HIV_2023	rand.36	100	3.12623282101653	100	85.4032258064516
Grundy_HIV_2023	rand.37	100	28.795695754717	100	89.9845735940172
Grundy_HIV_2023	rand.38	100	25.9666445501913	100	95.1787379817122
Grundy_HIV_2023	rand.39	100	48.3090855443837	100	99.356426938632
Grundy_HIV_2023	rand.4	100	13.5908669374181	100	92.4264665905507
Grundy_HIV_2023	rand.40	100	13.0994899640207	100	76.0773057787983
Grundy_HIV_2023	rand.41	100	2.86823091161766	100	63.8101347017319
Grundy_HIV_2023	rand.42	100	22.5378967491402	100	98.7569896549462
Grundy_HIV_2023	rand.43	100	41.3001663547515	100	90.0369463710957
Grundy_HIV_2023	rand.44	97.3361335249254	7.68747271933653	97.3361335249254	89.7015381481104
Grundy_HIV_2023	rand.45	100	15.9593092517585	100	73.5552523874488
Grundy_HIV_2023	rand.46	100	51.5828133590306	100	98.273512393798
Grundy_HIV_2023	rand.47	100	10.3621396138654	100	75.2869863748525
