project	sample	case.cutoff	control.cutoff	asmCov	Signal
LA_SARS2_2024	rand.1	2	0	0	0
LA_SARS2_2024	rand.1	2	1	99.7625656288667	100
LA_SARS2_2024	rand.1	2	2	99.7625656288667	100
LA_SARS2_2024	rand.1	2	3	99.7625656288667	100
LA_SARS2_2024	rand.1	2	4	99.7625656288667	100
LA_SARS2_2024	rand.1	2	5	99.7625656288667	100
LA_SARS2_2024	rand.1	2	6	99.7625656288667	100
LA_SARS2_2024	rand.1	2	7	99.7625656288667	100
LA_SARS2_2024	rand.1	2	8	99.7625656288667	100
LA_SARS2_2024	rand.1	2	9	99.7625656288667	100
LA_SARS2_2024	rand.1	2	10	99.7625656288667	100
LA_SARS2_2024	rand.1	3	0	0	0
LA_SARS2_2024	rand.1	3	1	99.7625656288667	100
LA_SARS2_2024	rand.1	3	2	99.7625656288667	100
LA_SARS2_2024	rand.1	3	3	99.7625656288667	100
LA_SARS2_2024	rand.1	3	4	99.7625656288667	100
LA_SARS2_2024	rand.1	3	5	99.7625656288667	100
LA_SARS2_2024	rand.1	3	6	99.7625656288667	100
LA_SARS2_2024	rand.1	3	7	99.7625656288667	100
LA_SARS2_2024	rand.1	3	8	99.7625656288667	100
LA_SARS2_2024	rand.1	3	9	99.7625656288667	100
LA_SARS2_2024	rand.1	3	10	99.7625656288667	100
LA_SARS2_2024	rand.1	4	0	0	0
LA_SARS2_2024	rand.1	4	1	99.7625656288667	100
LA_SARS2_2024	rand.1	4	2	99.7625656288667	100
LA_SARS2_2024	rand.1	4	3	99.7625656288667	100
LA_SARS2_2024	rand.1	4	4	99.7625656288667	100
LA_SARS2_2024	rand.1	4	5	99.7625656288667	100
LA_SARS2_2024	rand.1	4	6	99.7625656288667	100
LA_SARS2_2024	rand.1	4	7	99.7625656288667	100
LA_SARS2_2024	rand.1	4	8	99.7625656288667	100
LA_SARS2_2024	rand.1	4	9	99.7625656288667	100
LA_SARS2_2024	rand.1	4	10	99.7625656288667	100
LA_SARS2_2024	rand.1	5	0	0	0
LA_SARS2_2024	rand.1	5	1	99.7625656288667	100
LA_SARS2_2024	rand.1	5	2	99.7625656288667	100
LA_SARS2_2024	rand.1	5	3	99.7625656288667	100
LA_SARS2_2024	rand.1	5	4	99.7625656288667	100
