sample	round	prj	nCtg	cov	signal	annotatedRatio
rand.5	1	LA_SARS2_2024	23	99.4080861452028	84.2549814347666	0
rand.78	1	LA_SARS2_2024	102	99.7625656288667	44.8466626578473	0
rand.59	1	LA_SARS2_2024	715	99.5953583252517	9.02274317810693	0.166627786849735
rand.31	1	LA_SARS2_2024	101	98.5854262114169	52.1622195484465	0
rand.42	1	LA_SARS2_2024	210	97.8564023676554	29.1057023782289	0
rand.80	1	LA_SARS2_2024	28	99.6154232016854	76.1043407168953	0.66426509286937
rand.11	1	LA_SARS2_2024	2556	99.8060395278066	2.42345550894596	0.0507508692608887
rand.20	1	LA_SARS2_2024	197	99.5184429655887	21.3460821163171	0
rand.43	1	LA_SARS2_2024	44	99.4850015048657	71.0118635571575	0
rand.51	1	LA_SARS2_2024	5694	99.7558773367221	1.33498203390756	0.0186172486123213
rand.79	1	LA_SARS2_2024	40	99.7960070895897	74.9478865811086	0
rand.63	1	LA_SARS2_2024	214	25.7532689027857	13.1349138666212	0
rand.2	1	LA_SARS2_2024	172	99.8963314717587	37.1958660191757	0
rand.24	1	LA_SARS2_2024	14	99.4448717519981	85.977390348975	0
rand.12	1	LA_SARS2_2024	562	99.632143932047	10.9329702832231	0
rand.52	1	LA_SARS2_2024	11645	98.7058154700197	0.263284066434716	0
rand.10	1	LA_SARS2_2024	1431	99.6087349095409	5.93235529602027	0
rand.21	1	LA_SARS2_2024	188	99.7625656288667	32.7672942158564	0
rand.71	1	LA_SARS2_2024	477	99.7926629435174	17.0594086574741	2.0117308088084
rand.97	1	LA_SARS2_2024	34	94.9369628465371	89.9011970359111	0
rand.67	1	LA_SARS2_2024	1040	99.7358124602883	7.25644768856448	1.24744525547445
rand.39	1	LA_SARS2_2024	192	99.7257800220714	32.5453731897107	0
rand.77	1	LA_SARS2_2024	356	99.765909774939	20.0193261352427	0
rand.93	1	LA_SARS2_2024	439	96.749490017724	18.2663652894232	0
rand.41	1	LA_SARS2_2024	223	73.7384208942247	30.8879768024991	0
rand.50	1	LA_SARS2_2024	1554	99.7826305053005	5.459395766855	0
rand.96	1	LA_SARS2_2024	81	37.6985586730428	42.3637730176625	0
rand.57	1	LA_SARS2_2024	4600	99.5619168645286	1.50182279883232	0.257819975978503
rand.60	1	LA_SARS2_2024	11794	99.765909774939	0.264777242487868	0.0173778648071345
rand.34	1	LA_SARS2_2024	41	99.6087349095409	70.9106058802523	0
rand.95	1	LA_SARS2_2024	2194	99.8628900110357	2.7715747913105	0.31649152897893
rand.13	1	LA_SARS2_2024	121	99.5719493027455	39.4402204148674	0
rand.18	1	LA_SARS2_2024	973	99.7558773367221	10.3025132882735	0.0828898152593242
rand.70	1	LA_SARS2_2024	33	99.7893187974451	79.1490941884831	0
rand.19	1	LA_SARS2_2024	34	99.4983780891549	58.5366333516959	0
rand.53	1	LA_SARS2_2024	43	100	74.5693845501907	0
rand.82	1	LA_SARS2_2024	599	99.5686051566732	9.80827513506391	0
rand.55	1	LA_SARS2_2024	1472	99.6956827074207	6.00714118756498	0.559970661486753
rand.90	1	LA_SARS2_2024	125	96.8364378156038	44.1511908029153	0
rand.25	1	LA_SARS2_2024	20	99.6455205163361	79.9576021037943	0
rand.87	1	LA_SARS2_2024	1363	100	6.53916501167397	0.434258457902872
