fragment	annotation
k141_1504	Others
k141_77	Rhodococcus
k141_81	Rhodococcus
k141_49	Rhodococcus
k141_90	Rhodococcus
k141_96	Rhodococcus
k141_1504	Others
k141_77	Rhodococcus
k141_81	Rhodococcus
k141_49	Rhodococcus
k141_90	Rhodococcus
k141_96	Rhodococcus
k141_895	Others
k141_423	Others
k141_2300	Rhodococcus
k141_1510	Rhodococcus
k141_1603	Rhodococcus
k141_1514	Rhodococcus
k141_1545	Rhodococcus
k141_1079	Others
k141_1008	Rhodococcus
k141_523	Rhodococcus
k141_935	Rhodococcus
k141_1114	Rhodococcus
k141_347	Others
k141_1817	Rhodococcus
k141_1819	Rhodococcus
k141_785	Others
k141_183	Rhodococcus
k141_2123	Rhodococcus
k141_100	Rhodococcus
k141_109	Rhodococcus
k141_1342	Others
k141_2125	Rhodococcus
k141_1211	Rhodococcus
k141_1265	Rhodococcus
k141_984	Rhodococcus
k141_2152	Rhodococcus
k141_181	Rhodococcus
k141_124	Others
k141_1859	Rhodococcus
k141_1934	Rhodococcus
k141_1864	Rhodococcus
k141_227	Rhodococcus
k141_228	Rhodococcus
k141_1520	Rhodococcus
k141_1214	Rhodococcus
k141_1721	Rhodococcus
k141_1723	Rhodococcus
k141_746	Rhodococcus
k141_1084	Rhodococcus
k141_572	Rhodococcus
k141_1564	Others
k141_306	Rhodococcus
k141_1156	Rhodococcus
k141_1453	Rhodococcus
k141_311	Others
k141_606	Rhodococcus
k141_609	Rhodococcus
k141_614	Rhodococcus
k141_1892	Rhodococcus
k141_274	Others
k141_280	Others
k141_287	Others
k141_1805	Rhodococcus
k141_942	Rhodococcus
k141_113	Rhodococcus
k141_1127	Rhodococcus
k141_2341	Rhodococcus
k141_147	Others
k141_561	Others
k141_1634	Rhodococcus
k141_1529	Rhodococcus
k141_530	Rhodococcus
k141_471	Rhodococcus
k141_2309	Rhodococcus
k141_2203	Rhodococcus
k141_1090	Rhodococcus
k141_1095	Rhodococcus
k141_15	Rhodococcus
k141_1821	Rhodococcus
k141_25	Rhodococcus
k141_1035	Rhodococcus
k141_356	Rhodococcus
k141_37	Others
k141_362	Rhodococcus
k141_363	Rhodococcus
k141_1353	Rhodococcus
k141_1579	Rhodococcus
k141_1759	Others
k141_194	Rhodococcus
k141_866	Rhodococcus
k141_1763	Rhodococcus
k141_1311	Rhodococcus
k141_869	Rhodococcus
k141_584	Rhodococcus
k141_650	Others
k141_394	Rhodococcus
k141_1361	Others
k141_1701	Rhodococcus
k141_2244	Rhodococcus
k141_846	Rhodococcus
k141_2087	Others
k141_2093	Rhodococcus
k141_497	Others
k141_380	Others
k141_1049	Rhodococcus
k141_1052	Others
k141_2040	Rhodococcus
k141_1380	Rhodococcus
k141_2047	Rhodococcus
k141_1383	Rhodococcus
k141_475	Rhodococcus
k141_1898	Others
k141_1905	Rhodococcus
k141_1909	Rhodococcus
k141_2181	Rhodococcus
k141_537	Others
k141_1808	Others
k141_2141	Rhodococcus
k141_681	Rhodococcus
k141_325	Rhodococcus
k141_652	Others
k141_1651	Rhodococcus
k141_1741	Rhodococcus
k141_850	Rhodococcus
k141_1827	Rhodococcus
k141_871	Rhodococcus
k141_1439	Rhodococcus
k141_2270	Rhodococcus
k141_1770	Rhodococcus
k141_1319	Rhodococcus
k141_1107	Rhodococcus
k141_1326	Rhodococcus
k141_946	Rhodococcus
k141_450	Others
k141_956	Rhodococcus
k141_434	Others
k141_959	Rhodococcus
k141_1393	Rhodococcus
k141_1280	Rhodococcus
k141_1285	Others
k141_754	Others
k141_1815	Rhodococcus
k141_1295	Rhodococcus
k141_210	Rhodococcus
k141_590	Rhodococcus
k141_550	Rhodococcus
k141_248	Rhodococcus
k141_2184	Rhodococcus
k141_1835	Others
k141_220	Rhodococcus
k141_225	Others
k141_2273	Rhodococcus
k141_1946	Others
k141_2247	Rhodococcus
k141_2317	Rhodococcus
k141_1952	Rhodococcus
k141_1837	Others
k141_1844	Rhodococcus
k141_1138	Rhodococcus
k141_2228	Rhodococcus
k141_634	Rhodococcus
k141_1238	Rhodococcus
k141_408	Rhodococcus
k141_410	Rhodococcus
k141_965	Rhodococcus
k141_2322	Rhodococcus
k141_2323	Rhodococcus
k141_1925	Rhodococcus
k141_766	Rhodococcus
k141_2220	Others
k141_259	Rhodococcus
k141_694	Rhodococcus
k141_1185	Rhodococcus
k141_1961	Others
k141_660	Rhodococcus
k141_2028	Rhodococcus
k141_880	Rhodococcus
k141_1853	Rhodococcus
k141_1619	Rhodococcus
k141_1626	Rhodococcus
k141_2354	Rhodococcus
k141_2233	Others
k141_1484	Rhodococcus
k141_2097	Others
k141_517	Rhodococcus
k141_1963	Rhodococcus
k141_2284	Rhodococcus
k141_815	Others
k141_1250	Others
k141_1258	Rhodococcus
k141_2296	Rhodococcus
k141_2357	Rhodococcus
k141_2359	Rhodococcus
k141_2075	Rhodococcus
k141_2110	Rhodococcus
k141_717	Rhodococcus
k141_721	Rhodococcus
k141_158	Others
k141_164	Rhodococcus
k141_170	Rhodococcus
k141_1536	Rhodococcus
k141_707	Rhodococcus
k141_1499	Rhodococcus
k141_1505	Rhodococcus
k141_39	Rhodococcus
k141_82	Rhodococcus
k141_83	Rhodococcus
k141_91	Rhodococcus
k141_413	Others
k141_1499	Rhodococcus
k141_1505	Rhodococcus
k141_39	Rhodococcus
k141_82	Rhodococcus
k141_83	Rhodococcus
k141_91	Rhodococcus
k141_413	Others
k141_54	Rhodococcus
k141_896	Others
k141_424	Others
k141_2301	Rhodococcus
k141_1511	Rhodococcus
k141_1598	Others
k141_1375	Rhodococcus
