sample	project	Mix	gatkReads	asmRef	asmFrag	asmPathogenFrag	asmCov	asmSignal	Virus	CleanSizeRNA	CleanSizeDNA
MDL001.Q24C22520012L.RNA.D19.20221224	LA_SARS2_2024	1	19	NA	0	0	0	0	SARS-CoV-2	94251	49730
MDL001.Q24C23090080L.RNA.D27.20230225	LA_SARS2_2024	1	102	NA	0	0	0	0	SARS-CoV-2	125457	272024
CF236C0325.8D6AXX1LXF1.N002J019	LA_SARS2_2024	1	7311	COVID	61	47	79.3298235867034	86.1928638907056	SARS-CoV-2	50154	665394
M117RE0134.R	LA_SARS2_2024	1	2	NA	0	0	0	0	SARS-CoV-2	4676922	26872482
ZDH23061600041R	LA_SARS2_2024	1	395	COVID	507	5	4.41765027755749	0.991369606003752	SARS-CoV-2	1961809	324489
CF236B0251.8D6AXX1LXF1.N002KX2P	LA_SARS2_2024	1	2896	COVID	1651	23	23.6230387508872	1.05244024898615	SARS-CoV-2	527468	349602
CF231C0481.8B6AXX1LXF1.N002J019	LA_SARS2_2024	1	115109	COVID	29	29	94.8466726249822	100	SARS-CoV-2	121831	407
E218YF0385.R	LA_SARS2_2024	1	23	NA	0	0	0	0	SARS-CoV-2	130624	307661
MDL001.Q11C23030029L.RNA.B19.20230110	LA_SARS2_2024	1	2034	COVID	14	14	13.1859441400304	100	SARS-CoV-2	71531	60184
CF236G0177.8D6AXX1LXF1.N002J019	LA_SARS2_2024	1	9259	COVID	2382	38	87.4628066008376	1.44262909969442	SARS-CoV-2	912234	3276952
N117RN0117.R	LA_SARS2_2024	1	6920	COVID	50	33	36.3542558498896	72.925471255115	SARS-CoV-2	525640	635335
ZDH23060600022R	LA_SARS2_2024	1	87672	COVID	22	1	99.6755783548333	82.1758429599405	SARS-CoV-2	817863	366313
MAX120701	LA_SARS2_2024	1	440	NA	0	0	0	0	SARS-CoV-2	607166	10144901
E218YF0488.R	LA_SARS2_2024	1	28055	COVID	17	16	97.4550684895744	99.2304549169164	SARS-CoV-2	367623	826104
ZDH230101391R	LA_SARS2_2024	1	6	NA	0	0	0	0	SARS-CoV-2	960009	134211
CF239E0315.8D6BXX1LXF1.N002JQ84	LA_SARS2_2024	1	101571	COVID	172	32	92.619447085365	34.058461122247	SARS-CoV-2	156260	1737095
MDL001.Q09C23030031L.RNA.A07.20230110	LA_SARS2_2024	1	1765	COVID	32	11	10.8551	30.4760116420993	SARS-CoV-2	125996	86574
X22JS062829	LA_SARS2_2024	1	6833629	COVID	12	3	99.4113873718875	93.2260795935648	SARS-CoV-2	7996789	13897080
CF232N0139.8D6AXX1LXF1.N002J019	LA_SARS2_2024	1	89	NA	0	0	0	0	SARS-CoV-2	1949	10433
ZZMAX127746.1R.1L.UDB.125	LA_SARS2_2024	1	14	NA	0	0	0	0	SARS-CoV-2	87124	153427
