sample	raw_contigs	raw_bp	POPS_pathogen_contigs	POPS_all_contigs	POPS_signal_ratio_per	adjusted_cov	adjust_signal_ratio	Adjusts_reads
R10.iter3	2948	1420578	1	298	19.7125568320543	99.8997090303355	2.1028764348033	12401
R1.iter9	169	81093	26	31	92.2494941497317	70.1334632318501	25.8616650019114	1218
R10.iter1	2981	1421855	1	349	17.7879004406336	99.8996882929932	2.10098779411403	12254
R10.iter2	3013	1423830	2	338	18.3401582731163	99.8996738981916	2.0980735059663	12189
R1.iter5	159	83041	23	30	90.7728451069345	74.9422693667487	26.9866692356788	1160
R1.iter7	215	94492	26	57	72.4147405295875	70.5112783704909	22.3140583329806	1207
R10.iter10	2962	1413150	1	298	20.1399846259659	99.8829882943816	2.11357605349751	12316
R50.iter8	16105	7873338	1	3618	2.09761774168288	99.8829441457127	0.379356252710096	61392
R50.iter2	16020	7887575	1	3588	2.10448905068356	99.9096882908215	0.378772943521932	61189
R50.iter5	16047	7847852	1	3605	2.09408996446631	99.8796441471908	0.380575474664915	61821
R1.iter2	169	84415	28	36	90.2896347405761	77.4571280737439	27.4382514955873	1331
R10.iter9	3008	1417105	1	312	19.6813452554312	99.8862882914253	2.10774783802188	12410
R10.iter7	2959	1412617	1	312	18.9420217252072	99.893	2.11458590686648	12461
R50.iter6	16043	7861742	1	3553	2.12767928070419	99.8695441449285	0.379864920522703	61701
R1.iter10	172	84223	27	36	87.3453366328185	68.4613442829077	24.3068995405056	1171
R50.iter1	16036	7853837	1	3596	2.09035549553977	99.8595765884047	0.380209062143765	61226
R1.iter4	185	86140	29	51	75.375191424196	74.0695076359833	25.7127931274669	1158
R10.iter5	2838	1360505	1	312	19.3406337220974	99.8762441453206	2.19521427705154	12219
R1.iter8	163	82695	20	27	89.47860848856	70.3608733174224	25.4428925569865	1198
R50.iter7	15968	7797773	1	3569	2.12029390690676	99.8495441471012	0.382904195851816	61966
R50.iter9	16012	7837042	1	3582	2.1120861333133	99.6622441461696	0.380271025726288	61716
R50.iter10	16082	7869630	1	3561	2.12200197068412	99.8896441461047	0.37956041135352	61547
R1.iter6	182	90231	23	28	92.8675577156744	76.6779126566799	25.4114439605014	1210
R10.iter6	2963	1414242	1	311	19.2906546461992	99.8930090275917	2.11215619391872	12567
R1.iter1	165	84002	24	33	87.5978844655816	71.4510420743825	25.4351086878884	1266
R10.iter4	3032	1416240	1	350	18.1511052778689	99.8963765903308	2.10924702027905	12101
R50.iter4	16084	7861850	1	3591	2.09766087417758	99.8495441471012	0.37978338431794	61381
R50.iter3	15959	7820335	1	3550	2.1164838560173	99.8762441453206	0.381901798324496	61599
R1.iter3	179	88439	27	31	94.1820585926201	76.2231093290197	25.7725664017006	1231
R10.iter8	2963	1408612	2	345	18.1893996116316	99.9263946087131	2.12130806780008	12520
