sample	raw_contigs	raw_bp	POPS_pathogen_contigs	POPS_all_contigs	POPS_signal_ratio_per
R10.iter3	2948	1420578	1	298	19.7125568320543
R1.iter9	169	81093	26	31	92.2494941497317
R10.iter1	2981	1421855	1	349	17.7879004406336
R10.iter2	3013	1423830	2	338	18.3401582731163
R1.iter5	159	83041	23	30	90.7728451069345
R1.iter7	215	94492	26	57	72.4147405295875
R10.iter10	2962	1413150	1	298	20.1399846259659
R50.iter8	16105	7873338	1	3618	2.09761774168288
R50.iter2	16020	7887575	1	3588	2.10448905068356
R50.iter5	16047	7847852	1	3605	2.09408996446631
R1.iter2	169	84415	28	36	90.2896347405761
R10.iter9	3008	1417105	1	312	19.6813452554312
R10.iter7	2959	1412617	1	312	18.9420217252072
R50.iter6	16043	7861742	1	3553	2.12767928070419
R1.iter10	172	84223	27	36	87.3453366328185
R50.iter1	16036	7853837	1	3596	2.09035549553977
R1.iter4	185	86140	29	51	75.375191424196
R10.iter5	2838	1360505	1	312	19.3406337220974
R1.iter8	163	82695	20	27	89.47860848856
R50.iter7	15968	7797773	1	3569	2.12029390690676
R50.iter9	16012	7837042	1	3582	2.1120861333133
R50.iter10	16082	7869630	1	3561	2.12200197068412
R1.iter6	182	90231	23	28	92.8675577156744
R10.iter6	2963	1414242	1	311	19.2906546461992
R1.iter1	165	84002	24	33	87.5978844655816
R10.iter4	3032	1416240	1	350	18.1511052778689
R50.iter4	16084	7861850	1	3591	2.09766087417758
R50.iter3	15959	7820335	1	3550	2.1164838560173
R1.iter3	179	88439	27	31	94.1820585926201
R10.iter8	2963	1408612	2	345	18.1893996116316
