sample	gca	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio	totalBases	adjust_mapped_fragment_num	adjust_mapped_ref_bases	adjust_signal_ratio	adjusted_cov
R1.iter4	covid	185	29	21988	58	73.5311	45	4	25.6478	86140	29	22149	25.7127931274669	74.0695076359833
R10.iter4	covid	3032	1	29868	1	99.8830	2	0	2.1090	1416240	1	29872	2.10924702027905	99.8963765903308
R10.iter10	covid	2962	1	29866	1	99.8763	0	0	2.1134	1413150	1	29868	2.11357605349751	99.8829882943816
R10.iter7	covid	2959	1	29871	1	99.8930	0	0	2.1146	1412617	1	29871	2.11458590686648	99.893
R50.iter9	covid	16012	1	29801	1	99.6589	0	0	0.3803	7837042	1	29802	0.380271025726288	99.6622441461696
R10.iter5	covid	2838	1	29865	1	99.8729	4	0	2.1951	1360505	1	29866	2.19521427705154	99.8762441453206
R10.iter9	covid	3008	1	29867	1	99.8796	0	0	2.1076	1417105	1	29869	2.10774783802188	99.8862882914253
R50.iter5	covid	16047	1	29866	1	99.8763	0	0	0.3806	7847852	1	29867	0.380575474664915	99.8796441471908
R50.iter4	covid	16084	1	29857	1	99.8462	0	0	0.3798	7861850	1	29858	0.37978338431794	99.8495441471012
R1.iter6	covid	182	23	22897	46	76.5709	36	0	25.3760	90231	23	22929	25.4114439605014	76.6779126566799
R50.iter1	covid	16036	1	29857	1	99.8462	0	0	0.3802	7853837	1	29861	0.380209062143765	99.8595765884047
R10.iter2	covid	3013	2	29860	3	99.8562	1	0	2.0978	1423830	2	29873	2.0980735059663	99.8996738981916
R10.iter1	covid	2981	1	29871	1	99.8930	1	0	2.1008	1421855	1	29873	2.10098779411403	99.8996882929932
R50.iter2	covid	16020	1	29874	1	99.9030	0	0	0.3787	7887575	1	29876	0.378772943521932	99.9096882908215
R1.iter1	covid	165	24	21134	48	70.6752	43	4	25.3446	84002	24	21366	25.4351086878884	71.4510420743825
R50.iter8	covid	16105	1	29867	1	99.8796	0	0	0.3793	7873338	1	29868	0.379356252710096	99.8829441457127
R50.iter6	covid	16043	1	29863	1	99.8662	0	0	0.3799	7861742	1	29864	0.379864920522703	99.8695441449285
R50.iter3	covid	15959	1	29865	1	99.8729	0	0	0.3819	7820335	1	29866	0.381901798324496	99.8762441453206
R1.iter7	covid	215	26	20902	58	69.8993	52	6	22.2633	94492	26	21085	22.3140583329806	70.5112783704909
R1.iter8	covid	163	20	20950	40	70.0599	39	0	25.3969	82695	20	21040	25.4428925569865	70.3608733174224
R10.iter6	covid	2963	1	29864	1	99.8696	0	0	2.1117	1414242	1	29871	2.11215619391872	99.8930090275917
R1.iter3	covid	179	27	22564	56	75.4573	58	2	25.7228	88439	27	22793	25.7725664017006	76.2231093290197
R1.iter5	covid	159	23	22345	46	74.7249	34	2	26.9253	83041	23	22410	26.9866692356788	74.9422693667487
R1.iter9	covid	169	26	20923	52	69.9696	36	2	25.8000	81093	26	20972	25.8616650019114	70.1334632318501
R1.iter2	covid	169	28	23107	56	77.2732	62	3	27.3814	84415	28	23162	27.4382514955873	77.4571280737439
R10.iter8	covid	2963	2	29863	3	99.8662	2	2	2.1208	1408612	2	29881	2.12130806780008	99.9263946087131
R1.iter10	covid	172	27	20360	54	68.0868	47	9	24.2048	84223	27	20472	24.3068995405056	68.4613442829077
R10.iter3	covid	2948	1	29866	1	99.8763	0	0	2.1024	1420578	1	29873	2.1028764348033	99.8997090303355
R50.iter7	covid	15968	1	29857	1	99.8462	0	0	0.3829	7797773	1	29858	0.382904195851816	99.8495441471012
R50.iter10	covid	16082	1	29869	1	99.8863	0	0	0.3795	7869630	1	29870	0.37956041135352	99.8896441461047
