sample	contig	length	cov	Depth	Segments	Reads	Adjusts_reads
R10.iter10	NC_045512.2	29903	0.99903376729048	64.8334265663146	1	6193	12316
R10.iter1	NC_045512.2	29903	0.999164387724096	64.3332573685806	1	6163	12254
R10.iter2	NC_045512.2	29903	0.999158699808795	64.4650095602298	1	6129	12189
R10.iter3	NC_045512.2	29903	0.999187734795411	65.5492181947405	1	6235	12401
R10.iter4	NC_045512.2	29903	0.999135893460747	63.9195618471549	1	6083	12101
R10.iter5	NC_045512.2	29903	0.999060389049723	64.463329778049	1	6145	12219
R10.iter6	NC_045512.2	29903	0.999065113576067	66.2173484599644	1	6317	12567
R10.iter7	NC_045512.2	29903	0.99916451465897	65.5734467567978	1	6266	12461
R10.iter8	NC_045512.2	29903	0.99913838980259	66.4339221003014	1	6288	12520
R10.iter9	NC_045512.2	29903	0.99916313747369	65.827555600639	1	6240	12410
R1.iter10	NC_045512.2	29903	0.889352290679305	5.95266982622431	43	587	1171
R1.iter1	NC_045512.2	29903	0.919827368951613	6.48824974798388	26	635	1266
R1.iter2	NC_045512.2	29903	0.923178350547829	6.79160518632465	33	669	1331
R1.iter3	NC_045512.2	29903	0.930571320469164	6.33153613318197	29	620	1231
R1.iter4	NC_045512.2	29903	0.942407881026807	5.89359350825678	31	580	1158
R1.iter5	NC_045512.2	29903	0.939027088535575	5.82871321553875	26	582	1160
R1.iter6	NC_045512.2	29903	0.926757105536496	6.19332095307041	27	609	1210
R1.iter7	NC_045512.2	29903	0.906106990689601	6.16187470411864	33	608	1207
R1.iter8	NC_045512.2	29903	0.890754181129694	6.15213000946671	33	603	1198
R1.iter9	NC_045512.2	29903	0.894235920708455	6.15883520847123	36	612	1218
R50.iter10	NC_045512.2	29903	0.999376843504632	319.398259316191	1	30949	61547
R50.iter1	NC_045512.2	29903	0.999375390381012	317.525088486364	1	30782	61226
R50.iter2	NC_045512.2	29903	0.999398215397385	317.08923013073	1	30776	61189
R50.iter3	NC_045512.2	29903	0.999376273441723	319.864381055347	1	30976	61599
R50.iter4	NC_045512.2	29903	0.999313972101532	318.244745649958	1	30857	61381
R50.iter5	NC_045512.2	29903	0.999377954715103	320.774239031266	1	31094	61821
R50.iter6	NC_045512.2	29903	0.999356753055423	320.427987467049	1	31025	61701
R50.iter7	NC_045512.2	29903	0.999314641744548	321.496282450675	1	31148	61966
R50.iter8	NC_045512.2	29903	0.999356379113464	318.658611024602	1	30863	61392
R50.iter9	NC_045512.2	29903	0.999377154009052	320.255263048623	1	31022	61716
