sample	gca	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio	totalBases	adjust_mapped_fragment_num	adjust_mapped_ref_bases	adjust_signal_ratio	adjusted_cov
rand.74	covid	10	1	29796	2	99.6422	12	0	88.9805	33486	1	29810	89.0222779669115	99.6890180561149
rand.73	covid	5	3	29815	8	99.7057	22	0	97.3174	30754	3	30001	97.5515380113156	100
rand.60	covid	344	3	29856	10	99.8428	22	4	16.9928	176587	3	30056	17.0205054732228	100
rand.88	covid	54	1	29849	4	99.8194	28	0	60.0104	49963	1	30022	60.0884654644437	100
rand.35	covid	11	1	29861	4	99.8595	18	0	88.9553	33618	1	29959	89.1159497888036	100
rand.4	covid	3	1	29818	4	99.7157	12	0	97.4423	30692	1	29921	97.4879447413007	100
rand.43	covid	736	1	29843	4	99.7994	14	0	7.7425	386698	1	29940	7.74247604073463	100
rand.87	covid	405	1	29827	4	99.7458	20	4	14.8568	201201	1	29892	14.8567850060387	99.9631693968552
rand.21	covid	5	1	29822	4	99.7291	16	0	95.2530	31367	1	29899	95.3199222112411	99.9865991851653
rand.71	covid	12	1	29858	4	99.8495	18	0	85.5213	35017	1	29967	85.5784333323814	100
rand.11	covid	15	4	29733	8	99.4315	28	0	88.5560	33607	4	29825	88.7463921206891	99.7391614536037
rand.29	covid	425	1	29836	6	99.7759	24	0	14.2783	210249	1	30020	14.2783081013465	100
rand.56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.63	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.86	covid	13	1	29839	2	99.7860	22	0	86.3722	34547	1	29898	86.542970446059	99.983304668387
rand.75	covid	6	1	29796	2	99.6422	12	0	93.6952	31801	1	29810	93.7391905914908	99.6890180561149
rand.65	covid	119	1	29843	4	99.7994	14	0	40.7878	73343	1	29915	40.7878052438542	100
rand.93	covid	5	4	29834	14	99.7693	24	0	98.1931	30661	4	30180	98.4312318580607	100
rand.61	covid	4	3	29818	10	99.7157	22	0	98.9359	30353	3	30045	98.9852732843541	100
rand.58	covid	7	2	29858	6	99.8495	28	0	94.5986	31640	2	29951	94.6618204804045	100
rand.44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.1	covid	14	1	29843	4	99.7994	14	0	87.0206	34447	1	29976	87.0206404040991	100
rand.77	covid	11	1	29871	6	99.8930	10	6	89.1800	33743	1	30092	89.1799780695255	100
rand.53	covid	32	1	29825	4	99.7392	24	0	70.9312	42107	1	29867	70.9311990880376	99.8796541961442
rand.81	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.17	covid	63	32	16508	72	55.2052	11	0	57.9523	29155	32	17084	58.5971531469731	57.1314294160407
rand.69	covid	31	3	29794	8	99.6355	21	0	74.5493	40105	3	29962	74.7088891659394	100
rand.30	covid	38	1	29796	2	99.6422	24	0	62.7390	47492	1	29810	62.768466268003	99.6890180561149
rand.90	covid	458	1	29818	4	99.7157	24	0	11.1090	269186	1	29918	11.1142481406908	100
rand.59	covid	1	1	29858	4	99.8495	18	0	99.9266	29969	1	29969	100	100
rand.32	covid	7	1	29842	2	99.7960	12	0	94.6284	31536	1	29863	94.6949518011162	99.8662270625293
rand.2	covid	9	2	29833	4	99.7659	18	0	93.6164	31910	2	29902	93.7073017862739	99.9966460563805
rand.98	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.3	covid	414	1	29836	6	99.7759	16	0	15.7183	191280	1	30066	15.7183186951067	100
rand.9	covid	15	2	29858	8	99.8495	24	0	86.2051	34897	2	30096	86.2423704043327	100
rand.70	covid	16	1	29856	4	99.8428	28	0	85.3931	35052	1	29960	85.4730115257332	100
rand.27	covid	453	1	29836	6	99.7759	16	0	11.4120	263459	1	30066	11.4120223640111	100
rand.83	covid	1030	1	29843	4	99.7994	18	0	5.9691	501482	1	29934	5.96910756517682	100
rand.46	covid	23	5	29861	12	99.8595	20	0	84.3574	35659	5	30161	84.581732521944	100
rand.41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.95	covid	161	1	29849	4	99.8194	24	0	29.5988	101298	1	30022	29.6373077454639	100
rand.26	covid	35	1	29856	6	99.8428	18	0	71.2539	42190	1	30062	71.2538516236075	100
rand.18	covid	7	2	29839	4	99.7860	20	0	95.4901	31287	2	29958	95.7522293604372	100
rand.80	covid	70	1	29827	4	99.7458	12	0	52.6941	56735	1	29896	52.6941041685027	99.9765459751232
rand.36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.79	covid	18	1	29858	4	99.8495	18	0	74.8394	40011	1	29966	74.8944040388893	100
