sample	gca	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio	totalBases	adjust_mapped_fragment_num	adjust_mapped_ref_bases	adjust_signal_ratio	adjusted_cov
rand.28	covid	13	2	24901	6	83.2726	10	0	86.9346	28763	2	25052	87.0980078573167	83.7775661700333
rand.8	covid	13	1	29856	4	99.8428	28	0	88.6657	33747	1	29950	88.7486295078081	100
rand.85	covid	40	1	29837	4	99.7793	10	6	62.2976	48111	1	29972	62.2976034586685	100
rand.50	covid	262	1	29856	6	99.8428	12	0	18.8933	159115	1	30062	18.8932533073563	100
rand.67	covid	52	1	29855	4	99.8395	18	0	54.6736	54818	1	29988	54.7046590535955	100
rand.48	covid	34	1	29836	6	99.7759	14	0	67.9903	44221	1	30066	67.9903213405396	100
rand.80	covid	261	1	29827	4	99.7458	12	0	19.8440	150655	1	29896	19.844014470147	99.9765459751232
rand.60	covid	356	3	29856	10	99.8428	22	4	15.3950	194914	3	30056	15.4201340078188	100
rand.65	covid	291	1	29843	4	99.7994	14	0	18.3848	162716	1	29915	18.3847931365078	100
rand.6	covid	430	1	29856	4	99.8428	22	0	13.5230	221105	1	29945	13.5433391375139	100
rand.39	covid	27	1	29834	2	99.7693	22	0	75.2776	39632	1	29910	75.4693177230521	100
rand.33	covid	46	2	29690	6	99.2877	22	0	60.9649	48833	2	29819	61.0632154485696	99.7190948568542
rand.11	covid	21	4	29733	8	99.4315	28	0	82.9066	35897	4	29825	83.0849374599549	99.7391614536037
rand.24	covid	4	1	29858	4	99.8495	26	0	96.8555	30879	1	29913	96.8716603516953	100
rand.40	covid	125	1	29871	6	99.8930	10	6	34.8711	86295	1	30092	34.871081754447	100
rand.95	covid	270	1	29849	4	99.8194	24	0	19.7333	151941	1	30022	19.758985395647	100
rand.57	covid	392	1	29796	2	99.6422	12	0	15.5662	191415	1	29820	15.5787164015359	99.7224595247684
rand.9	covid	53	2	29858	8	99.8495	24	0	59.9454	50184	2	30096	59.9713055954089	100
rand.62	covid	19	1	29847	2	99.8127	20	0	74.9266	39835	1	29863	74.9667377933978	99.8662063222434
rand.14	covid	847	1	29796	2	99.6422	12	0	7.8237	380841	1	29810	7.82741354003377	99.6890180561149
rand.98	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.18	covid	24	2	29839	4	99.7860	20	0	78.7060	37959	2	29958	78.9219947838457	100
rand.84	covid	55	7	29657	14	99.1773	34	0	63.4125	47016	7	29957	63.7166071124723	100
rand.16	covid	61	1	29855	4	99.8395	18	0	53.7016	55760	1	29961	53.7320659971306	100
rand.78	covid	24	1	29865	6	99.8729	20	0	74.3542	40377	1	30022	74.3542115560839	100
rand.31	covid	1941	1	29796	2	99.6422	12	0	3.3912	878629	1	29810	3.39278580606832	99.6890180561149
