project	status	source	number
LA_SARS2_2024	PRJ01/PRJ.01.step2.Adjusted.Assess.status.txt	Base	NA
LA_SARS2_2024	PRJ01/D1.SM.adjust.txt	SM.BALF.control.2022	440
LA_SARS2_2024	PRJ01/D1.local.adjust.txt	selfControl	840
LA_SARS2_2024	PRJ01/D1.Merge.adjust.txt	Merge	1280
Admed_SARS2_2020	PRJ02/PRJ.02.second.Adjusted.Assess.status.txt	Base	NA
Admed_SARS2_2020	PRJ02/D1.liaBalf.AD.txt	LA.BALF.control.2024	840
Admed_SARS2_2020	PRJ02/D1.sm.AD.txt	SM.BALF.control.2022	440
Admed_SARS2_2020	PRJ02/D1.local.AD.txt	selfControl	31
Admed_SARS2_2020	PRJ02/D1.merge.AD.txt	Merge	1311
Grundy_HIV_2023	PRJ04/PRJ.04.HIV.second.V2.Adjusted.Assess.status.txt	Base	NA
Grundy_HIV_2023	PRJ04/D1.liaSepsis.Adjusted.Assess.status.txt	Li.Blood.control.2024	2446
Grundy_HIV_2023	PRJ04/D1.localwater.Adjusted.Assess.status.txt	selfControl	9
Grundy_HIV_2023	PRJ04/D1.Merge.Adjusted.Assess.status.txt	Merge	2455
Tony_Ebola_2014	PRJ06/PRJ.06.Ebola.second.V2.Adjusted.Assess.status.txt	Base	NA
Tony_Ebola_2014	PRJ06/D1.liaSpeis.Adjusted.Assess.status.txt	Li.Blood.control.2024	2446
Tony_Ebola_2014	PRJ06/D1.africa.Adjusted.Assess.status.txt	Sam.Blood.tanAFI	896
Tony_Ebola_2014	PRJ06/D1.luo.V2.Adjusted.Assess.status.txt	Luo.Blood.Mal	586
Tony_Ebola_2014	PRJ06/D1.local.Adjusted.Assess.status.txt	selfControl	48
Tony_Ebola_2014	PRJ06/D1.Merge.Adjusted.Assess.status.txt	Merge	3996
Judith_LASV_2023	PRJ07/PRJ.07.LASV.second.V2.Adjusted.Assess.status.txt	Base	NA
Judith_LASV_2023	PRJ07/D1.sepsis.Adjusted.Assess.status.txt	Li.Blood.control.2024	2446
Judith_LASV_2023	PRJ07/D1.africa.Adjusted.Assess.status.txt	Sam.Blood.tanAFI	896
Judith_LASV_2023	PRJ07/D1.luo.Adjusted.Assess.status.txt	Luo.Blood.Mal	586
Judith_LASV_2023	PRJ07/D1.self.Adjusted.Assess.status.txt	selfControl	119
Judith_LASV_2023	PRJ07/D1.merge.Adjusted.Assess.status.txt	Merge	4047
Ramachadran_HIV_2022	PRJ53/D1.base.V2.Adjusted.Assess.status.txt	Base	NA
Ramachadran_HIV_2022	PRJ53/D1.BALF.Adjusted.V2.Assess.status.txt	LA.BALF.control.2024	840
Ramachadran_HIV_2022	PRJ53/D1.csf_cyto.V2.Adjusted.Assess.status.txt	ZJJ.crypto.CSF	21
Ramachadran_HIV_2022	PRJ53/D1.sepsis.Adjusted.V2.Assess.status.txt	Li.Blood.control.2024	2446
Ramachadran_HIV_2022	PRJ53/D1.csf.V2.Adjusted.Assess.status.txt	Li.CSF.control.2024	213
Ramachadran_HIV_2022	PRJ53/D1.water.V2.Adjusted.Assess.status.txt	selfControl	3
Ramachadran_HIV_2022	PRJ53/D1.Merge.Adjusted.Assess.V2.status.txt	Merge	3523
Eran_SARS2_2020	PRJ68/p2.Base.Adjusted.Assess.status.txt	Base	NA
Eran_SARS2_2020	PRJ68/D1.LiaBALF.Adjusted.Assess.status.txt	LA.BALF.control.2024	840
Eran_SARS2_2020	PRJ68/D1.SM.Adjusted.Assess.status.txt	SM.BALF.control.2022	440
Eran_SARS2_2020	PRJ68/D1.Local.Adjusted.Assess.status.txt	selfControl	82
Eran_SARS2_2020	PRJ68/D1.Merge.Adjusted.Assess.status.txt	Merge	1362
sfl_sars2_2023	PRJ70/D1.Base.Adjusted.Assess.status.txt	Base	NA
sfl_sars2_2023	PRJ70/D1.SM.Adjusted.Assess.status.txt	SM.BALF.control.2022	440
sfl_sars2_2023	PRJ70/D1.liaBALF.Adjusted.Assess.status.txt	LA.BALF.control.2024	840
sfl_sars2_2023	PRJ70/D1.local.v2.Adjusted.Assess.status.txt	selfControl	135
sfl_sars2_2023	PRJ70/D1.MERGE.Adjusted.Assess.status.txt	Merge	1415
Saha_CHIKV_2019	PRJ09/PRJ.09.second.Adjusted.Assess.status.txt	Base	NA
Saha_CHIKV_2019	PRJ09/D1.liaCSF.Adjusted.Assess.status.txt	Li.CSF.control.2024	213
Saha_CHIKV_2019	PRJ09/D1.liaSepsis.Adjusted.Assess.status.txt	Li.Blood.control.2024	2446
Saha_CHIKV_2019	PRJ09/D1.afica.Adjusted.Assess.status.txt	Sam.Blood.tanAFI	896
Saha_CHIKV_2019	PRJ09/D1.luo.Adjusted.Assess.status.txt	Luo.Blood.Mal	586
Saha_CHIKV_2019	PRJ09/D1.local.Adjusted.Assess.status.txt	selfControl	91
Saha_CHIKV_2019	PRJ09/D1.Merge.Adjusted.Assess.status.txt	Merge	4232
