sample	round	prj	nCtg	nPath	cov	signal	annotatedRatio
rand.1	3	Sardi_Zika_2016	395	1	98.5194040831341	5.52196570226848	94.878173862756
rand.10	3	Sardi_Zika_2016	195	1	2.97958432959353	0.354979018986995	91.6546636026784
rand.100	3	Sardi_Zika_2016	328	1	98.5286003310649	7.23293367898034	93.8274120540847
rand.11	3	Sardi_Zika_2016	219	1	98.5194040831341	8.6322761554825	94.1917788889771
rand.12	3	Sardi_Zika_2016	336	11	92.4038992091227	6.3572806934295	90.9544818826137
rand.13	3	Sardi_Zika_2016	425	1	3.75206915578444	0.205703222683822	91.4285425592111
rand.14	3	Sardi_Zika_2016	298	1	3.60492918889093	0.302854714721675	91.6787427446665
rand.15	3	Sardi_Zika_2016	458	9	90.5186683832996	4.51331572576208	90.6341088621576
rand.16	3	Sardi_Zika_2016	90	1	98.5194040831341	23.4041158736401	85.913122843045
rand.17	3	Sardi_Zika_2016	202	1	98.5286003310649	9.89407777480215	92.4917753886833
rand.18	3	Sardi_Zika_2016	294	1	98.5194040831341	6.80726413176088	93.3480155185698
rand.19	3	Sardi_Zika_2016	491	1	3.75206915578444	0.190590972154098	90.4372773947759
rand.2	3	Sardi_Zika_2016	303	1	98.5194040831341	7.52327982134581	88.0722937312526
rand.20	3	Sardi_Zika_2016	254	8	73.4504322236528	7.27439979598528	89.2150988615938
rand.21	3	Sardi_Zika_2016	313	1	98.5102078352032	6.98327846409596	90.7893722447664
rand.22	3	Sardi_Zika_2016	243	2	7.75243700570167	0.757106291256904	87.6219434942354
rand.23	3	Sardi_Zika_2016	269	0	0	0	89.6484885639329
rand.24	3	Sardi_Zika_2016	430	11	89.8289497884863	5.17765044498746	90.7629871037347
rand.25	3	Sardi_Zika_2016	236	0	0	0	88.7713663192136
rand.26	3	Sardi_Zika_2016	152	0	0	0	91.3685703192262
rand.27	3	Sardi_Zika_2016	382	8	73.5148059591687	4.63237680218812	89.381676327974
rand.28	3	Sardi_Zika_2016	303	1	98.5194040831341	7.19974193028085	94.3237449668318
rand.29	3	Sardi_Zika_2016	325	8	73.0457973146956	5.13209839052536	92.6267469420002
rand.3	3	Sardi_Zika_2016	437	4	16.4428913003495	0.89968601561871	89.2834656863741
rand.30	3	Sardi_Zika_2016	308	8	64.0426705903991	4.80431588169959	91.3710513156846
rand.31	3	Sardi_Zika_2016	99	1	98.5286003310649	17.5913307610213	92.8692395050905
rand.32	3	Sardi_Zika_2016	389	2	7.66967077432408	0.495452412211654	90.9849131626238
rand.33	3	Sardi_Zika_2016	275	2	7.75243700570167	0.671681035169633	86.7522841580902
rand.34	3	Sardi_Zika_2016	238	1	98.5194040831341	8.06653213661828	94.1889512265039
rand.35	3	Sardi_Zika_2016	306	1	98.5194040831341	7.11038249915376	89.089986709919
rand.36	3	Sardi_Zika_2016	414	1	3.00717307338606	0.181870766081936	93.4251216073906
rand.37	3	Sardi_Zika_2016	369	10	92.1280117711974	6.08608486983992	89.1381552135691
rand.38	3	Sardi_Zika_2016	337	1	98.5286003310649	6.3562313492605	90.8999334790459
rand.39	3	Sardi_Zika_2016	293	1	4.14750781681074	0.344614162037426	92.2289526146297
rand.4	3	Sardi_Zika_2016	249	0	0	0	90.9733247094334
rand.40	3	Sardi_Zika_2016	211	10	88.486297590583	10.3454578687626	90.2872219224081
rand.41	3	Sardi_Zika_2016	420	0	0	0	89.4334641155371
rand.42	3	Sardi_Zika_2016	261	1	98.5194040831341	7.66703881827551	90.9584156880983
rand.43	3	Sardi_Zika_2016	324	9	81.0373367665992	6.16210848723453	88.6229329835831
rand.44	3	Sardi_Zika_2016	170	1	98.5102078352032	13.3983739837398	92.3178023628643
rand.45	3	Sardi_Zika_2016	382	2	6.06952363435718	0.393992215668951	91.0407776765594
rand.46	3	Sardi_Zika_2016	266	1	99.4298326282877	8.18365539635323	92.5716169984749
rand.47	3	Sardi_Zika_2016	234	1	98.5194040831341	8.81365693130399	95.0846738904878
rand.48	3	Sardi_Zika_2016	328	1	4.14750781681074	0.303685298534096	91.5695200529522
rand.49	3	Sardi_Zika_2016	316	0	0	0	90.9921114091728
rand.5	3	Sardi_Zika_2016	197	5	49.4758138679419	6.50701499758104	94.7542043984476
rand.50	3	Sardi_Zika_2016	401	9	87.4563178223285	5.41679719761911	91.6931137273795
rand.51	3	Sardi_Zika_2016	255	2	26.2185028508369	2.7257517089727	93.0138386538764
rand.52	3	Sardi_Zika_2016	312	0	0	0	89.1279207579425
rand.53	3	Sardi_Zika_2016	541	12	97.3330881000552	4.42798870411045	90.4566168069655
rand.54	3	Sardi_Zika_2016	318	1	98.5194040831341	7.24919137648699	94.4239762455406
rand.55	3	Sardi_Zika_2016	359	1	98.5102078352032	6.74249243106129	89.7948852937008
rand.56	3	Sardi_Zika_2016	234	1	99.4298326282877	8.84894912590847	94.7796573645081
rand.57	3	Sardi_Zika_2016	377	9	85.4975170130587	5.62840537595351	88.1462378835409
rand.58	3	Sardi_Zika_2016	239	1	98.5102078352032	9.85800134360362	92.2644995967372
rand.59	3	Sardi_Zika_2016	534	10	92.2567592422292	4.06102877776473	91.9358309528732
