cohort	IVA_reads	IVA_dominant_Strain	IVA_dominant_Strain_reads	asm_best_ref	asmCov	asmSignalratio
S1	57939	H3N2	23559	GCF_000865085	95.4942	97.12197624
S1	24087	H1N1	4308	GCF_001343785	93.5705	81.24063098
S2	48536	H1N1	9121	GCF_001343785	95.44	100.1672075
S2	5	H3N2	1	NA	0	0
S1	4	H3N2	3	NA	0	0
S1	3	H3N2	2	NA	0	0
S2	299667	H3N2	124620	GCF_000865085	99.0167	98.57827268
S1	83755	H3N2	33467	GCF_000865085	95.0539	100.2856319
S2	1	NA	0	NA	0	0
S1	136398	H3N2	55344	GCF_000865085	96.7931	91.65821671
S2	2	NA	0	NA	0	0
S1	55	H3N2	30	NA	0	0
S1	458384	H1N1	97759	GCF_001343785	98.8828	5.380293236
S1	433654	H3N2	174272	GCF_000865085	95.1787	100.1927964
S2	2	NA	0	NA	0	0
S2	12	H1N1	2	NA	0	0
S1	762290	H1N1	162654	GCF_001343785	97.0512	94.60567562
S1	3	NA	0	NA	0	0
S2	2	NA	0	NA	0	0
S2	2703	H3N2	1076	GCF_000865085	68.1368	0.589707141
S2	1	H3N2	1	NA	0	0
S2	105	H3N2	44	NA	0	0
S2	1	H1N1	1	NA	0	0
S2	42406	H3N2	17402	GCF_000865085	94.0339	100.4448263
Vali	1	NA	0	NA	0	0
S2	26	H1N1	7	NA	0	0
Vali	58	H1N1	7	NA	0	0
S2	2	NA	0	NA	0	0
S1	1	H3N2	1	NA	0	0
S1	211	H3N2	90	NA	0	0
S2	20	H3N2	10	NA	0	0
S2	421	H3N2	209	NA	0	0
S2	1	NA	0	NA	0	0
S2	1	H3N2	1	NA	0	0
S2	10	H1N1	1	NA	0	0
S2	2	H3N2	2	NA	0	0
S2	1	H3N2	1	NA	0	0
S2	1	H1N1	1	NA	0	0
S2	2	H3N2	8624	GCF_000865085	97.527	94.86963792
S2	1	H3N2	12959	GCF_000865085	97.2554	94.87220349
S1	361	H1N1	75	GCF_001343785	2.204	6.4117
S2	3	H1N1	2002	GCF_001343785	34.1009	48.74171295
S2	2412	H1N1	520	GCF_001343785	50.418	55.51943398
S2	2	NA	0	NA	0	0
S2	4778	H3N2	2029	GCF_000865085	97.8865	98.90758205
S2	14	H1N1	3	NA	0	0
S2	1	NA	0	NA	0	0
S2	22	H1N1	5	NA	0	0
S1	1109	H1N1	258	GCF_001343785	11.7875	60.87308704
S2	21	H1N1	8	NA	0	0
S2	2	NA	0	NA	0	0
S1	77	H1N1	13	NA	0	0
S2	17927	H3N2	7556	GCF_000865085	99.0313	100.0000051
S2	539	H1N1	112	GCF_001343785	3.4504	21.56138502
S1	2048	H1N1	381	GCF_001343785	26.273	94.6363422
S2	10	H1N1	5	NA	0	0
S1	168	H3N2	86	NA	0	0
S2	12	H1N2	2	NA	0	0
S2	3	H3N2	2	NA	0	0
S1	5	NA	0	NA	0	0
S1	31823	H1N1	6975	GCF_001343785	95.2804	55.81739218
S2	1	H3N2	1	NA	0	0
S2	1	H1N1	3	NA	0	0
S2	1	H1N1	3125	GCF_001343785	83.9641	66.84580585
S2	9	H1N1	3	NA	0	0
S2	2	H3N2	223519	GCF_000865085	97.7911	89.14251691
S2	1	NA	0	NA	0	0
S2	2695	H1N1	609	GCF_001343785	70.0486	83.25876951
S2	2	H3N2	1	NA	0	0
S2	1	NA	0	NA	0	0
S2	9732	H1N1	2280	GCF_001343785	95.9644	98.45739982
S2	1	H3N2	1	NA	0	0
S2	2360	H3N2	981	GCF_000865085	77.5152	89.2296186
S2	314	H1N1	70	NA	0	0
S2	1	H1N1	123	GCF_001343785	1.558	13.3725
S1	1	H1N1	1	NA	0	0
S1	708	H1N1	138	GCF_001343785	1.6188	28.33119718
S2	15968	H3N2	7010	GCF_000865085	98.7011	93.60344012
S2	1	H1N1	2042	GCF_001343785	96.314	92.77738061
S1	19	H1N1	3	NA	0	0
S2	7	H3N2	6	NA	0	0
S1	3405	H1N1	870	GCF_001343785	42.2633	43.09707939
S1	7793	H1N1	2634	GCF_001343785	96.7548	5.40913255
S1	500	H3N2	342	GCF_000865085	23.9158	12.60548484
S1	105	H1N1	23	NA	0	0
S2	4	H3N2	3	NA	0	0
S2	788690	H3N2	329425	GCF_000865085	99.4643	78.46276099
S1	19343	H1N1	5133	GCF_001343785	99.8252	97.21005888
S2	48	H1N1	14	NA	0	0
S1	2	H3N2	1	NA	0	0
S2	278754	H1N1	57927	GCF_001343785	99.6656	89.75985016
S2	13618	H3N2	5624	GCF_000865085	98.8992	80.43136595
S1	18478	H1N1	4518	GCF_001343785	96.5192	88.50068398
S2	129	H1N1	25	NA	0	0
S2	121	H3N2	57	NA	0	0
S2	867	H3N2	376	GCF_000865085	5.2029	99.99995317
S2	32	H1N1	8	NA	0	0
S1	533	H3N2	247	NA	0	0
S2	1	NA	0	NA	0	0
S2	65	H1N1	15	NA	0	0
S2	3	NA	0	NA	0	0
S1	419	H1N1	105	GCF_001343785	2.166	14.93780211
S1	30	H1N1	5	NA	0	0
S1	3269	H3N2	1325	GCF_000865085	54.9204	77.32998059
S2	7472	H3N2	3257	GCF_000865085	85.7929	84.62524143
S2	1274	H3N2	494	GCF_000865085	21.1785	23.33927249
S1	658282	H1N1	143745	GCF_001343785	99.8784	90.72914394
S1	24	H1N1	7	NA	0	0
S2	1	NA	0	NA	0	0
S2	505	H1N1	99	GCF_001343785	2.1812	16.628
S1	63	H1N1	16	NA	0	0
S2	6	NA	0	NA	0	0
S2	53	H3N2	23	NA	0	0
S2	22958	H3N2	10012	GCF_000865085	98.8552	88.34444139
S2	1	H1N1	1	NA	0	0
S1	2	NA	0	NA	0	0
S2	1	NA	0	NA	0	0
S2	3442	H1N1	753	GCF_001343785	62.8363	87.22972726
S2	31	H1N1	11	NA	0	0
S1	2	NA	0	NA	0	0
S2	89	H1N1	20	NA	0	0
S2	13	H3N2	7	NA	0	0
S1	6	H1N1	2	NA	0	0
S1	364	H1N1	77	NA	0	0
S1	31	H1N1	10	NA	0	0
S1	1120	H1N1	225	GCF_001343785	5.8064	53.33337801
S2	11737	H1N1	2393	GCF_001343785	94.376	96.69053869
S1	1945	H1N1	486	GCF_001343785	24.3806	63.3596938
S1	47	H3N2	24	NA	0	0
S1	5853	H1N1	1321	GCF_001343785	93.6161	72.02083254
S2	1002	H1N1	254	GCF_001343785	9.5303	29.4643
S1	576	H1N1	128	GCF_001343785	2.166	12.39969614
S2	1	H1N1	1	NA	0	0
S2	56	H3N2	27	NA	0	0
S2	39119	H1N1	9498	GCF_001343785	99.9164	91.1075241
S2	35	H1N1	9	NA	0	0
S1	370	H1N1	96	NA	0	0
S1	17237	H1N1	3558	GCF_001343785	99.1412	97.26797633
S1	13594	H1N1	3152	GCF_001343785	96.1316	100.2213292
S2	15	H1N1	2	NA	0	0
S1	81	H1N1	16	NA	0	0
S2	349911	H1N1	79775	GCF_001343785	99.8328	90.88158458
S2	2865	H3N2	1173	GCF_000865085	56.3293	55.66747602
S2	6	H1N2	3	NA	0	0
S1	1336	H1N1	335	GCF_001343785	5.7532	12.20334373
S2	163	H3N2	62	NA	0	0
S1	76273	H1N1	16673	GCF_001343785	99.9468	95.45003488
S2	28	H3N2	11	NA	0	0
S2	7451	H3N2	3340	GCF_000865085	98.7892	91.50089207
S2	2324	H1N1	527	GCF_001343785	35.6969	99.99999029
S2	959	H1N1	270	GCF_001343785	3.6328	15.141
S1	9	H3N2	5	NA	0	0
S1	45	H1N1	15	NA	0	0
S2	1	NA	0	NA	0	0
S1	46	H3N2	18	NA	0	0
S1	3	NA	0	NA	0	0
S2	3	H1N2	1	NA	0	0
S1	1	H3N2	1	NA	0	0
S2	21824	H3N2	9114	GCF_000865085	98.8699	91.07302642
S2	3701	H3N2	1557	GCF_000865085	73.2223	97.82856965
S1	86	H3N2	37	NA	0	0
S1	23	H3N2	6	NA	0	0
S1	7562	H3N2	3128	GCF_000865085	87.6495	87.64817055
S2	52844	H1N1	12621	GCF_001343785	99.924	78.61461704
S1	697	H1N1	156	GCF_001343785	2.7512	14.9155
S1	244	H1N1	61	NA	0	0
S1	127	H1N1	22	NA	0	0
S2	8	H1N1	3	NA	0	0
S1	287	H1N1	79	NA	0	0
S2	2	H3N2	1	NA	0	0
S2	18198	H3N2	7643	GCF_000865085	98.8038	75.15768171
S2	9322	H3N2	3853	GCF_000865085	94.1073	66.82784906
Vali	103443	H3N2	44229	GCF_000865085	97.9673	93.77937131
Vali	2	H3N2	2	NA	0	0
Vali	13295	H3N2	5769	GCF_000865085	97.5783	48.78829516
Vali	7	H3N2	2	NA	0	0
Vali	8	H3N2	4	NA	0	0
Vali	2	NA	0	NA	0	0
Vali	2	H3N2	1	NA	0	0
Vali	2	NA	0	NA	0	0
Vali	1	H1N1	1	NA	0	0
Vali	233	H3N2	99	NA	0	0
