prj	outbreak1	outbreak2	intersection	symmetric_difference	jaccard_index
LA_IVA_2024	1	2	0	10	0.0
LA_IVA_2024	1	3	0	10	0.0
LA_IVA_2024	1	4	0	10	0.0
LA_IVA_2024	1	5	0	10	0.0
LA_IVA_2024	1	6	0	10	0.0
LA_IVA_2024	1	7	0	10	0.0
LA_IVA_2024	1	8	0	10	0.0
LA_IVA_2024	1	9	0	10	0.0
LA_IVA_2024	1	10	0	10	0.0
LA_IVA_2024	1	11	0	10	0.0
LA_IVA_2024	1	12	0	10	0.0
LA_IVA_2024	1	13	0	10	0.0
LA_IVA_2024	1	14	0	10	0.0
LA_IVA_2024	1	15	1	8	0.1111111111111111
LA_IVA_2024	1	16	0	10	0.0
LA_IVA_2024	1	17	1	8	0.1111111111111111
LA_IVA_2024	1	18	0	10	0.0
LA_IVA_2024	1	19	0	10	0.0
LA_IVA_2024	1	20	0	10	0.0
LA_IVA_2024	1	21	0	10	0.0
LA_IVA_2024	1	22	0	10	0.0
LA_IVA_2024	1	23	0	10	0.0
LA_IVA_2024	1	24	1	8	0.1111111111111111
LA_IVA_2024	1	25	0	10	0.0
LA_IVA_2024	1	26	0	10	0.0
LA_IVA_2024	1	27	0	10	0.0
LA_IVA_2024	1	28	0	10	0.0
LA_IVA_2024	1	29	0	10	0.0
LA_IVA_2024	1	30	0	10	0.0
LA_IVA_2024	1	31	1	8	0.1111111111111111
LA_IVA_2024	1	32	0	10	0.0
LA_IVA_2024	1	33	0	10	0.0
LA_IVA_2024	1	34	0	10	0.0
LA_IVA_2024	1	35	0	10	0.0
LA_IVA_2024	1	36	0	10	0.0
LA_IVA_2024	1	37	0	10	0.0
LA_IVA_2024	1	38	0	10	0.0
LA_IVA_2024	1	39	0	10	0.0
LA_IVA_2024	1	40	0	10	0.0
LA_IVA_2024	1	41	0	10	0.0
LA_IVA_2024	1	42	0	10	0.0
LA_IVA_2024	1	43	0	10	0.0
LA_IVA_2024	1	44	0	10	0.0
LA_IVA_2024	1	45	0	10	0.0
LA_IVA_2024	1	46	1	8	0.1111111111111111
LA_IVA_2024	1	47	0	10	0.0
LA_IVA_2024	1	48	0	10	0.0
LA_IVA_2024	1	49	0	10	0.0
LA_IVA_2024	1	50	0	10	0.0
LA_IVA_2024	1	51	1	8	0.1111111111111111
LA_IVA_2024	1	52	0	10	0.0
LA_IVA_2024	1	53	0	10	0.0
LA_IVA_2024	1	54	0	10	0.0
LA_IVA_2024	1	55	0	10	0.0
LA_IVA_2024	1	56	0	10	0.0
LA_IVA_2024	1	57	0	10	0.0
LA_IVA_2024	1	58	0	10	0.0
LA_IVA_2024	1	59	0	10	0.0
LA_IVA_2024	1	60	0	10	0.0
LA_IVA_2024	1	61	0	10	0.0
LA_IVA_2024	1	62	0	10	0.0
LA_IVA_2024	1	63	0	10	0.0
LA_IVA_2024	1	64	0	10	0.0
LA_IVA_2024	1	65	0	10	0.0
LA_IVA_2024	1	66	0	10	0.0
LA_IVA_2024	1	67	0	10	0.0
LA_IVA_2024	1	68	0	10	0.0
LA_IVA_2024	1	69	1	8	0.1111111111111111
LA_IVA_2024	1	70	0	10	0.0
LA_IVA_2024	1	71	1	8	0.1111111111111111
LA_IVA_2024	1	72	0	10	0.0
LA_IVA_2024	1	73	0	10	0.0
LA_IVA_2024	1	74	1	8	0.1111111111111111
LA_IVA_2024	1	75	0	10	0.0
LA_IVA_2024	1	76	1	8	0.1111111111111111
LA_IVA_2024	1	77	0	10	0.0
LA_IVA_2024	1	78	1	8	0.1111111111111111
LA_IVA_2024	1	79	0	10	0.0
LA_IVA_2024	1	80	1	8	0.1111111111111111
LA_IVA_2024	1	81	0	10	0.0
LA_IVA_2024	1	82	0	10	0.0
LA_IVA_2024	1	83	0	10	0.0
LA_IVA_2024	1	84	0	10	0.0
LA_IVA_2024	1	85	0	10	0.0
LA_IVA_2024	1	86	0	10	0.0
LA_IVA_2024	1	87	0	10	0.0
LA_IVA_2024	1	88	0	10	0.0
LA_IVA_2024	1	89	0	10	0.0
LA_IVA_2024	1	90	1	8	0.1111111111111111
LA_IVA_2024	1	91	0	10	0.0
LA_IVA_2024	1	92	1	8	0.1111111111111111
LA_IVA_2024	1	93	0	10	0.0
LA_IVA_2024	1	94	0	10	0.0
LA_IVA_2024	1	95	0	10	0.0
LA_IVA_2024	1	96	0	10	0.0
LA_IVA_2024	1	97	0	10	0.0
LA_IVA_2024	1	98	0	10	0.0
LA_IVA_2024	1	99	0	10	0.0
LA_IVA_2024	1	100	0	10	0.0
LA_IVA_2024	2	3	0	10	0.0
LA_IVA_2024	2	4	0	10	0.0
LA_IVA_2024	2	5	0	10	0.0
LA_IVA_2024	2	6	0	10	0.0
LA_IVA_2024	2	7	0	10	0.0
LA_IVA_2024	2	8	0	10	0.0
LA_IVA_2024	2	9	1	8	0.1111111111111111
LA_IVA_2024	2	10	0	10	0.0
LA_IVA_2024	2	11	0	10	0.0
LA_IVA_2024	2	12	0	10	0.0
LA_IVA_2024	2	13	1	8	0.1111111111111111
LA_IVA_2024	2	14	0	10	0.0
LA_IVA_2024	2	15	0	10	0.0
LA_IVA_2024	2	16	0	10	0.0
LA_IVA_2024	2	17	0	10	0.0
LA_IVA_2024	2	18	0	10	0.0
LA_IVA_2024	2	19	0	10	0.0
LA_IVA_2024	2	20	0	10	0.0
LA_IVA_2024	2	21	0	10	0.0
LA_IVA_2024	2	22	0	10	0.0
LA_IVA_2024	2	23	0	10	0.0
LA_IVA_2024	2	24	0	10	0.0
LA_IVA_2024	2	25	0	10	0.0
LA_IVA_2024	2	26	0	10	0.0
LA_IVA_2024	2	27	0	10	0.0
LA_IVA_2024	2	28	1	8	0.1111111111111111
LA_IVA_2024	2	29	0	10	0.0
LA_IVA_2024	2	30	0	10	0.0
LA_IVA_2024	2	31	0	10	0.0
LA_IVA_2024	2	32	0	10	0.0
LA_IVA_2024	2	33	0	10	0.0
LA_IVA_2024	2	34	0	10	0.0
LA_IVA_2024	2	35	1	8	0.1111111111111111
LA_IVA_2024	2	36	1	8	0.1111111111111111
LA_IVA_2024	2	37	0	10	0.0
LA_IVA_2024	2	38	0	10	0.0
LA_IVA_2024	2	39	0	10	0.0
LA_IVA_2024	2	40	0	10	0.0
LA_IVA_2024	2	41	0	10	0.0
LA_IVA_2024	2	42	0	10	0.0
LA_IVA_2024	2	43	0	10	0.0
LA_IVA_2024	2	44	0	10	0.0
LA_IVA_2024	2	45	0	10	0.0
LA_IVA_2024	2	46	0	10	0.0
LA_IVA_2024	2	47	0	10	0.0
LA_IVA_2024	2	48	0	10	0.0
LA_IVA_2024	2	49	0	10	0.0
LA_IVA_2024	2	50	0	10	0.0
LA_IVA_2024	2	51	0	10	0.0
LA_IVA_2024	2	52	0	10	0.0
LA_IVA_2024	2	53	0	10	0.0
LA_IVA_2024	2	54	0	10	0.0
LA_IVA_2024	2	55	0	10	0.0
LA_IVA_2024	2	56	1	8	0.1111111111111111
LA_IVA_2024	2	57	0	10	0.0
LA_IVA_2024	2	58	0	10	0.0
LA_IVA_2024	2	59	0	10	0.0
LA_IVA_2024	2	60	0	10	0.0
LA_IVA_2024	2	61	0	10	0.0
LA_IVA_2024	2	62	0	10	0.0
LA_IVA_2024	2	63	1	8	0.1111111111111111
LA_IVA_2024	2	64	1	8	0.1111111111111111
LA_IVA_2024	2	65	0	10	0.0
LA_IVA_2024	2	66	0	10	0.0
LA_IVA_2024	2	67	0	10	0.0
LA_IVA_2024	2	68	0	10	0.0
LA_IVA_2024	2	69	0	10	0.0
LA_IVA_2024	2	70	0	10	0.0
LA_IVA_2024	2	71	0	10	0.0
LA_IVA_2024	2	72	0	10	0.0
LA_IVA_2024	2	73	0	10	0.0
LA_IVA_2024	2	74	0	10	0.0
LA_IVA_2024	2	75	0	10	0.0
LA_IVA_2024	2	76	0	10	0.0
LA_IVA_2024	2	77	0	10	0.0
LA_IVA_2024	2	78	1	8	0.1111111111111111
LA_IVA_2024	2	79	0	10	0.0
LA_IVA_2024	2	80	0	10	0.0
LA_IVA_2024	2	81	0	10	0.0
LA_IVA_2024	2	82	0	10	0.0
LA_IVA_2024	2	83	0	10	0.0
LA_IVA_2024	2	84	0	10	0.0
LA_IVA_2024	2	85	0	10	0.0
LA_IVA_2024	2	86	0	10	0.0
LA_IVA_2024	2	87	0	10	0.0
LA_IVA_2024	2	88	0	10	0.0
LA_IVA_2024	2	89	0	10	0.0
LA_IVA_2024	2	90	0	10	0.0
LA_IVA_2024	2	91	1	8	0.1111111111111111
LA_IVA_2024	2	92	0	10	0.0
LA_IVA_2024	2	93	0	10	0.0
LA_IVA_2024	2	94	0	10	0.0
LA_IVA_2024	2	95	0	10	0.0
LA_IVA_2024	2	96	0	10	0.0
LA_IVA_2024	2	97	1	8	0.1111111111111111
LA_IVA_2024	2	98	0	10	0.0
LA_IVA_2024	2	99	0	10	0.0
LA_IVA_2024	2	100	0	10	0.0
LA_IVA_2024	3	4	0	10	0.0
LA_IVA_2024	3	5	0	10	0.0
LA_IVA_2024	3	6	0	10	0.0
LA_IVA_2024	3	7	0	10	0.0
LA_IVA_2024	3	8	0	10	0.0
LA_IVA_2024	3	9	0	10	0.0
LA_IVA_2024	3	10	0	10	0.0
LA_IVA_2024	3	11	0	10	0.0
LA_IVA_2024	3	12	0	10	0.0
LA_IVA_2024	3	13	0	10	0.0
LA_IVA_2024	3	14	0	10	0.0
LA_IVA_2024	3	15	0	10	0.0
LA_IVA_2024	3	16	0	10	0.0
LA_IVA_2024	3	17	0	10	0.0
LA_IVA_2024	3	18	0	10	0.0
LA_IVA_2024	3	19	0	10	0.0
LA_IVA_2024	3	20	0	10	0.0
LA_IVA_2024	3	21	0	10	0.0
LA_IVA_2024	3	22	0	10	0.0
LA_IVA_2024	3	23	0	10	0.0
