sample	round	prj	nCtg	nPath	cov	signal	annotatedRatio
rand.5	1	LA_SARS2_2024	23	6	99.40806487214	84.2549814347666	NA
rand.78	1	LA_SARS2_2024	102	1	99.7625575846834	44.8466626578473	NA
rand.59	1	LA_SARS2_2024	715	1	99.5953224949698	9.02274317810693	NA
rand.31	1	LA_SARS2_2024	101	5	98.5854441466807	52.1622195484465	NA
rand.42	1	LA_SARS2_2024	210	11	97.8564387990288	29.1057023782289	NA
rand.80	1	LA_SARS2_2024	28	1	99.6154278112854	76.1043407168953	NA
rand.11	1	LA_SARS2_2024	2556	2	99.806044146227	2.42345550894596	NA
rand.20	1	LA_SARS2_2024	197	3	99.5184134713461	21.3460821163171	NA
rand.43	1	LA_SARS2_2024	44	1	99.4850447879296	71.0118635571575	NA
rand.51	1	LA_SARS2_2024	5694	8	99.7558812107367	1.33498203390756	NA
rand.79	1	LA_SARS2_2024	40	1	99.7959675657564	74.9478865811086	NA
rand.63	1	LA_SARS2_2024	214	27	25.7533	13.1349138666212	NA
rand.2	1	LA_SARS2_2024	172	2	99.8963558531115	37.1958660191757	NA
rand.4	1	LA_SARS2_2024	NA	NA	NA	NA	NA
rand.24	1	LA_SARS2_2024	14	4	99.4448704568459	85.977390348975	NA
rand.12	1	LA_SARS2_2024	562	1	99.6320954776899	10.9329702832231	NA
rand.52	1	LA_SARS2_2024	11645	9	98.7058055534786	0.263284066434716	NA
rand.10	1	LA_SARS2_2024	1431	1	99.6087278332552	5.93235529602027	NA
rand.21	1	LA_SARS2_2024	188	1	99.7625315072163	32.7672942158564	NA
rand.71	1	LA_SARS2_2024	477	3	99.7926621907061	17.0594086574741	NA
rand.97	1	LA_SARS2_2024	34	24	94.9369896112173	89.9011970359111	NA
rand.67	1	LA_SARS2_2024	1040	2	99.735767566299	7.25644768856448	NA
rand.39	1	LA_SARS2_2024	192	1	99.7257549169346	32.5453731897107	NA
rand.77	1	LA_SARS2_2024	356	2	99.7658855978808	20.0193261352427	NA
rand.93	1	LA_SARS2_2024	439	8	96.7494531583861	18.2663652894232	NA
rand.41	1	LA_SARS2_2024	223	49	73.7384651644056	30.8879768024991	NA
rand.50	1	LA_SARS2_2024	1554	1	99.7826207287232	5.459395766855	NA
rand.96	1	LA_SARS2_2024	81	30	37.698586685073	42.3637730176625	NA
rand.57	1	LA_SARS2_2024	4600	1	99.5619277993831	1.50182279883232	NA
rand.60	1	LA_SARS2_2024	11794	2	99.7658855978808	0.264777242487868	NA
rand.34	1	LA_SARS2_2024	41	1	99.6087278332552	70.9106058802523	NA
rand.95	1	LA_SARS2_2024	2194	3	99.8628721465477	2.7715747913105	NA
rand.13	1	LA_SARS2_2024	121	1	99.5719846130613	39.4402204148674	NA
rand.18	1	LA_SARS2_2024	973	1	99.7559090299433	10.3025132882735	NA
rand.70	1	LA_SARS2_2024	33	2	99.7893270733425	79.1490941884831	NA
