sample	cohort	date
S1	COVID	20221213
S2	COVID	20221214
S3	COVID	20221214
S4	COVID	20221214
S5	COVID	20221214
S6	COVID	20221217
S7	COVID	20221217
S8	COVID	20221217
S9	COVID	20221217
S10	COVID	20221217
S11	COVID	20221219
S12	COVID	20221219
S13	COVID	20221220
S14	COVID	20221221
S15	COVID	20221224
S16	COVID	20221224
S17	COVID	20221226
S18	COVID	20230101
S19	COVID	20230101
S20	COVID	20230104
S21	COVID	20230105
S22	COVID	20230105
S23	COVID	20230105
S24	COVID	20230105
S25	COVID	20230106
S26	COVID	20230106
S27	COVID	20230107
S28	COVID	20230108
S29	COVID	20230109
S30	COVID	20230110
S31	COVID	20230110
S32	COVID	20230110
S33	COVID	20230112
S34	COVID	20230112
S35	COVID	20230113
S36	COVID	20230113
S37	COVID	20230113
S38	COVID	20230114
S39	COVID	20230115
S40	COVID	20230116
S41	COVID	20230116
S42	COVID	20230117
S43	COVID	20230117
S44	COVID	20230117
S45	COVID	20230117
S46	COVID	20230118
S47	COVID	20230120
S48	COVID	20230120
S49	COVID	20230120
S50	COVID	20230120
S51	COVID	20230125
S52	COVID	20230127
S53	COVID	20230217
S54	COVID	20230221
S55	COVID	20230223
S56	COVID	20230225
S57	COVID	20230303
S58	COVID	20230303
S59	COVID	20230307
S60	COVID	20230412
S61	COVID	20230414
S62	COVID	20230417
S63	COVID	20230426
S64	COVID	20230428
S65	COVID	20230504
S66	COVID	20230507
S67	COVID	20230507
S68	COVID	20230509
S69	COVID	20230509
S70	COVID	20230512
S71	COVID	20230513
S72	COVID	20230514
S73	COVID	20230515
S74	COVID	20230517
S75	COVID	20230518
S76	COVID	20230519
S77	COVID	20230520
S78	COVID	20230520
S79	COVID	20230522
S80	COVID	20230522
S81	COVID	20230527
S82	COVID	20230529
S83	COVID	20230529
S84	COVID	20230530
S85	COVID	20230530
S86	COVID	20230530
S87	COVID	20230602
S88	COVID	20230603
S89	COVID	20230603
S90	COVID	20230606
S91	COVID	20230606
S92	COVID	20230606
S93	COVID	20230606
S94	COVID	20230606
S95	COVID	20230606
S96	COVID	20230609
S97	COVID	20230610
S98	COVID	20230611
S99	COVID	20230611
S100	COVID	20230612
S101	COVID	20230612
S102	COVID	20230613
S103	COVID	20230616
S104	COVID	20230617
S105	COVID	20230617
S106	COVID	20230617
S107	COVID	20230620
S108	COVID	20230620
S109	COVID	20230621
S110	COVID	20230622
S111	COVID	20230622
S112	COVID	20230623
S113	COVID	20230624
S114	COVID	20230630
S115	COVID	20230630
S116	COVID	20230701
S117	COVID	20230701
S118	COVID	20230708
S119	COVID	20230708
S120	COVID	20230711
S121	COVID	20230718
S122	COVID	20230723
S123	COVID	20230725
S124	COVID	20230801
S125	COVID	20230802
S126	COVID	20230805
S127	COVID	20230818
S128	COVID	20230823
S129	COVID	20230824
S130	COVID	20230829
S131	COVID	20230905
S132	COVID	20230909
S133	COVID	20230911
S134	COVID	20230915
