Test	specy	round	bestRef	totalNumberContigs	numberContigs	coverage	signalRatio
Mix34	IVA	First	GCF_000865085	113	30	98.5470	47.0314272693425
Mix34	IVA	Second	GCF_000928555	13	1	7.8538	3.01398040540541
Mix34	IVA	Third	NA	NA	NA	NA	NA
Mix63	IVA	First	GCF_001343785	12001	13	99.5820	0.128688445394185
Mix63	IVA	Second	GCF_001343785	258	8	99.5820	7.64258664427994
Mix63	IVA	Third	NA	NA	NA	NA	NA
Mix17	COVID	First	COVID	219	14	99.2275	23.6524
Mix17	COVID	Second	COVID	54	14	99.2275	71.9492
Mix17	COVID	Third	COVID	14	14	99.2275	99.8555
Mix9	COVID	First	COVID	783	1	99.7258	10.9528
Mix9	COVID	Second	COVID	27	1	99.7258	78.7101
Mix9	COVID	Third	COVID	1	1	99.7258	100.0000
Mix84	IVA	First	GCF_000865085	363	8	99.4643	9.54084462151394
Mix84	IVA	Second	GCF_000865725	18	5	68.5605	21.5481541863461
Mix84	IVA	Third	NA	NA	NA	NA	NA
Mix62	IVA	First	GCF_001343785	2831	40	96.9296	1.14442825780147
Mix62	IVA	Second	GCF_001343785	76	5	50.6004	12.6596652147792
Mix62	IVA	Third	NA	NA	NA	NA	NA
Mix77	COVID	First	COVID	712	45	65.4784	8.3838
Mix77	COVID	Second	COVID	25	3	5.8088	17.3864
Mix77	COVID	Third	COVID	3	3	5.8088	99.9416
Mix60	IVA	First	GCF_000865085	11561	8	99.7138	0.121166926700029
Mix60	IVA	Second	GCF_000866645	38	3	51.2407	4.4088079599826
Mix60	IVA	Third	NA	NA	NA	NA	NA
Mix6	IVA	First	GCF_001343785	1858	8	99.8784	1.68216368893624
Mix6	IVA	Second	GCF_001343785	60	4	55.0008	14.3184046013541
Mix6	IVA	Third	NA	NA	NA	NA	NA
Mix37	COVID	First	COVID	118	1	99.7224	32.6188
Mix37	COVID	Second	COVID	80	1	99.7224	50.8717
Mix37	COVID	Third	COVID	1	1	99.7224	100.0000
Mix2	COVID	First	COVID	2830	2	99.7392	2.0546
Mix2	COVID	Second	COVID	93	2	99.7392	45.3702
Mix2	COVID	Third	COVID	2	2	99.7392	99.8458
Mix68	IVA	First	GCF_000865085	520	8	98.6644	7.06632553365563
Mix68	IVA	Second	GCF_001343785	426	1	17.3203	1.48406208863537
Mix68	IVA	Third	NA	NA	NA	NA	NA
Mix87	COVID	First	COVID	3052	2	99.7392	1.9767
Mix87	COVID	Second	COVID	70	2	99.7392	24.6541
Mix87	COVID	Third	COVID	2	2	99.7392	99.8458
Mix14	IVA	First	GCF_000865085	992	12	21.1785	0.788719334719335
Mix14	IVA	Second	NA	NA	NA	NA	NA
Mix14	IVA	Third	NA	NA	NA	NA	NA
Mix4	COVID	First	COVID	2300	1	99.7157	3.8765
Mix4	COVID	Second	COVID	36	1	99.7157	71.2675
Mix4	COVID	Third	COVID	1	1	99.7157	100.0000
Mix74	IVA	First	NA	NA	NA	NA	NA
Mix74	IVA	Second	NA	NA	NA	NA	NA
Mix74	IVA	Third	NA	NA	NA	NA	NA
Mix5	COVID	First	COVID	9040	29	95.2413	0.5185
Mix5	COVID	Second	COVID	74	20	77.6210	21.7587
Mix5	COVID	Third	COVID	24	20	77.6210	94.4586
Mix22	COVID	First	COVID	214	1	99.7358	26.2639
Mix22	COVID	Second	COVID	175	1	99.7358	38.9537
Mix22	COVID	Third	COVID	1	1	99.7358	99.7955
Mix15	IVA	First	GCF_000865085	8974	8	97.5783	0.237153914416786
Mix15	IVA	Second	NA	NA	NA	NA	NA
Mix15	IVA	Third	NA	NA	NA	NA	NA
Mix53	COVID	First	COVID	2649	20	96.1676	2.7172
Mix53	COVID	Second	COVID	43	13	85.6235	71.9882
Mix53	COVID	Third	COVID	13	13	85.6235	99.9922
Mix43	COVID	First	COVID	367	2	99.7592	20.2579
Mix43	COVID	Second	COVID	216	2	99.7592	32.4223
Mix43	COVID	Third	COVID	2	2	99.7592	99.9094
Mix20	COVID	First	COVID	1016	2	99.8228	7.9723
Mix20	COVID	Second	COVID	50	2	99.8228	67.3204
Mix20	COVID	Third	COVID	2	2	99.8228	99.7222
Mix50	COVID	First	COVID	223	1	99.7224	28.5959
Mix50	COVID	Second	COVID	136	1	99.7224	37.8239
Mix50	COVID	Third	COVID	1	1	99.7224	100.0000
Mix86	COVID	First	COVID	955	1	99.6054	8.8888
Mix86	COVID	Second	COVID	105	1	99.6054	42.4276
Mix86	COVID	Third	COVID	2	1	99.6054	99.1198
Mix75	IVA	First	GCF_001343785	656	1	1.5580	0.0798
Mix75	IVA	Second	NA	NA	NA	NA	NA
Mix75	IVA	Third	NA	NA	NA	NA	NA
Mix31	COVID	First	COVID	469	2	99.7358	13.9443
Mix31	COVID	Second	COVID	37	2	99.7358	73.6823
Mix31	COVID	Third	COVID	2	2	99.7358	99.9363
Mix42	COVID	First	COVID	207	8	98.7225	29.4618
Mix42	COVID	Second	COVID	45	8	98.7225	72.9658
Mix42	COVID	Third	COVID	8	8	98.7225	99.9864
Mix39	COVID	First	COVID	163	1	99.9532	30.4654
Mix39	COVID	Second	COVID	65	1	99.9532	49.3019
Mix39	COVID	Third	COVID	1	1	99.9532	99.6760
Mix81	COVID	First	COVID	588	1	99.9264	15.5257
Mix81	COVID	Second	COVID	89	1	99.9264	53.4843
Mix81	COVID	Third	COVID	1	1	99.9264	99.7425
Mix89	COVID	First	COVID	2071	2	99.6522	2.6240
Mix89	COVID	Second	COVID	41	2	99.6522	70.3694
Mix89	COVID	Third	COVID	2	2	99.6522	99.8055
Mix52	COVID	First	COVID	323	46	81.7945	21.6402
Mix52	COVID	Second	COVID	118	7	15.9349	11.6201
Mix52	COVID	Third	COVID	7	7	15.9349	99.7488
Mix36	COVID	First	COVID	1999	1	99.8729	4.7976
Mix36	COVID	Second	COVID	115	1	99.8729	50.0823
Mix36	COVID	Third	COVID	1	1	99.8729	99.8894
Mix23	COVID	First	COVID	167	1	99.8662	33.7374
Mix23	COVID	Second	COVID	59	1	99.8662	65.1613
Mix23	COVID	Third	NA	NA	NA	NA	NA
Mix40	COVID	First	COVID	1875	1	99.8796	4.9610
Mix40	COVID	Second	COVID	50	1	99.8796	69.7839
Mix40	COVID	Third	COVID	1	1	99.8796	99.9464
Mix98	COVID	First	COVID	348	1	99.7960	21.6173
Mix98	COVID	Second	COVID	216	1	99.7960	31.3649
Mix98	COVID	Third	COVID	1	1	99.7960	99.9966
Mix76	COVID	First	COVID	1491	1	99.7358	5.1511
Mix76	COVID	Second	COVID	250	1	99.7358	31.2791
Mix76	COVID	Third	COVID	1	1	99.7358	99.7955
Mix90	COVID	First	COVID	791	1	99.8696	9.9656
Mix90	COVID	Second	COVID	13	1	99.8696	75.6798
Mix90	COVID	Third	COVID	1	1	99.8696	99.8560
Mix48	COVID	First	COVID	2350	1	99.7091	3.9086
Mix48	COVID	Second	COVID	186	1	99.7091	34.0520
Mix48	COVID	Third	COVID	1	1	99.7091	100.0000
Mix85	IVA	First	GCF_001343785	725	17	93.7453	4.74601950547223
Mix85	IVA	Second	GCF_001343785	436	1	16.1955	1.3431
Mix85	IVA	Third	NA	NA	NA	NA	NA
Mix79	COVID	First	COVID	62	1	99.8930	53.8824
Mix79	COVID	Second	COVID	8	1	99.8930	91.5674
Mix79	COVID	Third	COVID	1	1	99.8930	99.8995
Mix35	IVA	First	GCF_000865085	315	29	98.0480	20.739661073273
Mix35	IVA	Second	GCF_001343785	225	3	41.0017	5.84955914735867
Mix35	IVA	Third	NA	NA	NA	NA	NA
Mix71	COVID	First	COVID	225	24	24.1548	6.8335
Mix71	COVID	Second	NA	NA	NA	NA	NA
Mix71	COVID	Third	NA	NA	NA	NA	NA
Mix58	COVID	First	COVID	322	1	99.7091	19.1949
Mix58	COVID	Second	COVID	72	1	99.7091	61.2161
Mix58	COVID	Third	COVID	1	1	99.7091	99.9933
Mix92	COVID	First	COVID	2399	1	99.8562	2.4376
Mix92	COVID	Second	COVID	338	1	99.8562	20.9239
Mix92	COVID	Third	COVID	1	1	99.8562	99.9396
Mix93	COVID	First	COVID	305	1	99.7826	23.7148
Mix93	COVID	Second	COVID	62	1	99.7826	61.8340
Mix93	COVID	Third	NA	NA	NA	NA	NA
Mix16	COVID	First	COVID	474	5	97.9969	15.9450
Mix16	COVID	Second	COVID	187	5	97.9969	35.9582
Mix16	COVID	Third	COVID	5	5	97.9969	99.9283
Mix28	COVID	First	COVID	1446	1	99.8796	5.7540
Mix28	COVID	Second	COVID	59	1	99.8796	62.7243
