sample	prj	round	cov	signal
Mix70	p1	1	99.7659	35.2359
Mix99	p1	1	99.7157	2.6491
Mix14	p1	1	99.8863	1.6715
Mix39	p1	1	99.7994	0.7225
Mix80	p1	1	99.8428	29.6873
Mix98	p1	1	99.8495	1.3775
Mix96	p1	1	99.7157	43.8423
Mix93	p1	1	99.8428	28.9746
Mix65	p1	1	99.8662	0.4268
Mix38	p1	1	99.7693	2.243
Mix36	p1	1	99.2141	3.4969
Mix33	p1	1	99.8462	0.393
Mix49	p1	1	99.893	6.7279
Mix23	p1	1	99.8863	1.6623
Mix26	p1	1	99.8595	3.6808
Mix28	p1	1	99.893	0.4352
Mix46	p1	1	99.8428	1.0083
Mix48	p1	1	99.8428	33.3616
Mix43	p1	1	99.6689	39.0405
Mix29	p1	1	97.7427	0.7241
Mix54	p1	1	99.7091	2.7432
Mix15	p1	1	99.8662	0.8416
Mix82	p1	1	99.7157	7.7266
Mix64	p1	1	99.7693	0.7332
Mix72	p1	1	99.8395	0.4517
Mix77	p1	1	99.7994	15.7027
Mix87	p1	1	99.8495	0.8024
Mix55	p1	1	99.8495	24.7833
Mix100	p1	1	99.7759	0.3946
Mix44	p1	1	99.7994	7.1086
Mix71	p1	1	99.8428	0.4201
Mix53	p1	1	99.893	29.1373
Mix81	p1	1	99.8428	2.9321
Mix58	p1	1	99.7726	3.4864
Mix56	p1	1	99.7157	44.7814
Mix8	p1	1	99.893	3.6239
Mix7	p1	1	99.7759	0.3701
Mix59	p1	1	99.8428	2.7507
Mix24	p1	1	99.8428	2.6915
Mix34	p1	1	99.8863	1.5908
Mix19	p1	1	99.7759	0.4369
Mix94	p1	1	99.7994	1.38
Mix13	p1	1	99.6622	2.5194
Mix18	p1	1	99.9398	2.6901
Mix16	p1	1	99.6054	0.4503
Mix45	p1	1	99.7693	12.9376
Mix25	p1	1	99.7157	25.8262
Mix63	p1	1	99.8428	3.8587
Mix35	p1	1	99.7994	1.4077
Mix68	p1	1	99.883	1.1909
Mix66	p1	1	99.8194	1.4413
Mix95	p1	1	99.7759	0.3796
Mix69	p1	1	99.7994	0.7771
Mix6	p1	1	99.6656	1.0611
Mix22	p1	1	99.7994	8.0497
Mix42	p1	1	99.5184	0.2799
Mix37	p1	1	99.7994	8.7322
Mix61	p1	1	99.8127	1.5864
Mix97	p1	1	99.893	8.6111
Mix27	p1	1	99.8194	0.3409
Mix32	p1	1	99.7759	10.2972
Mix92	p1	1	99.7458	9.8215
Mix47	p1	1	99.7157	4.9339
Mix40	p1	1	99.8662	0.4308
Mix11	p1	1	99.7157	0.3315
Mix20	p1	1	99.8595	10.8366
Mix1	p1	1	99.8428	2.7035
Mix89	p1	1	99.7157	0.3642
Mix30	p1	1	99.8428	1.3674
Mix79	p1	1	99.6422	1.0073
Mix90	p1	1	99.9398	69.1771
Mix5	p1	1	99.8662	35.1205
Mix51	p1	1	99.8428	1.502
Mix83	p1	1	99.6422	7.1596
Mix88	p1	1	99.8662	45.3225
Mix86	p1	1	99.8662	69.4182
Mix76	p1	1	99.8194	7.7938
Mix78	p1	1	99.7759	42.417
Mix73	p1	1	99.7994	5.7167
Mix85	p1	1	99.796	0.4293
Mix57	p1	1	99.8595	1.5056
Mix75	p1	1	99.8428	0.7326
Mix12	p1	1	99.8495	47.8727
Mix60	p1	1	99.8194	2.8116
Mix52	p1	1	99.7994	0.3579
Mix17	p1	1	99.7994	14.1083
Mix84	p1	1	99.893	29.1324
Mix62	p1	1	99.7994	12.6709
Mix74	p1	1	99.7157	1.5052
Mix41	p1	1	99.7693	8.222
Mix10	p1	1	99.8495	36.7452
Mix2	p1	1	99.6422	32.5773
Mix4	p1	1	99.7693	14.2195
Mix21	p1	1	99.9398	53.6225
Mix31	p1	1	99.786	5.2844
Mix91	p1	1	99.8428	36.0367
Mix67	p1	1	99.7693	0.4527
Mix3	p1	1	99.6422	0.3778
Mix50	p1	1	99.7994	0.4308
Mix9	p1	1	99.7759	0.7751
Mix94	p1	2	99.7994	56.2184
Mix13	p1	2	99.6622	66.4208
Mix91	p1	2	99.8428	43.7687
Mix28	p1	2	99.893	38.3035
Mix59	p1	2	99.8428	80.601
Mix75	p1	2	99.8428	67.8811
Mix65	p1	2	99.8662	19.209
Mix85	p1	2	99.796	40.161
Mix99	p1	2	99.7157	42.7847
Mix23	p1	2	99.8863	57.85
Mix54	p1	2	99.7091	89.0246
Mix51	p1	2	99.8428	59.6838
Mix18	p1	2	99.9398	46.9488
Mix96	p1	2	99.7157	56.9564
Mix72	p1	2	99.8395	76.8884
