cohort	raw	host	filtered	clean
Control	17252750	17193090	11630	48030
COVID	26645916	26486851	110696	48369
Control	42285733	41816517	220204	249012
Control	19338727	19092992	43549	202186
Control	22021280	21439433	386166	195681
COVID	64231049	61580010	320645	2330394
Control	11524345	11511475	9885	2985
Control	27948467	27861034	68944	18489
Control	30817260	30755771	9365	52124
COVID	10326315	10142642	133519	50154
Control	36850836	35321148	1325973	203715
COVID	9977338	9940878	10868	25592
Control	93478203	88886009	1605015	2987179
Control	28662711	28546609	31485	84617
COVID	35155121	34786412	243911	124798
Control	30688623	30659821	23476	5326
Control	22613633	22479358	74452	59823
Control	21641546	21583233	7771	50542
Control	22606679	21850047	57481	699151
Control	12408255	12407712	178	365
COVID	22885742	22879352	4441	1949
Control	60038425	57926236	726769	1385420
Control	38880286	37252813	100658	1526815
Control	29382447	27774905	620213	987329
Control	32433096	32077730	13541	341825
Control	38494505	36877380	1313982	303143
Control	26451170	25679934	409327	361909
COVID	23106580	22576965	339445	190170
COVID	30744098	29418631	838910	486557
COVID	20719789	20298863	46942	373984
Control	16085748	15764451	23532	297765
Control	27285061	24072933	1281423	1930705
Control	31893889	30943207	173279	777403
Control	29110282	28737319	280256	92707
Control	52775001	50529830	1743287	501884
COVID	22331978	18758650	3233575	339753
Control	32432518	32112080	87551	232887
Control	18719354	18666724	46053	6577
Control	51742321	51644795	11718	85808
Control	18262793	17708671	278501	275621
Control	20970715	19933707	775857	261151
Control	22945187	22757432	11162	176593
Control	2089253.013	2089247.013	0	6
Control	24422369	24360918	8872	52579
Control	11077574	10956571	53240	67763
Control	19865634	19823333	6282	36019
COVID	41732114	41162399	342110	227605
Control	36733499	36372432	98347	262720
Control	7077795	6879313	177177	21305
Control	35431644	35112386	77938	241320
Control	8272092	8172536	71122	28434
COVID	61148945	59921351	854488	373106
COVID	8511850	8394366	81440	36044
Control	14820044	14652580	132025	35439
Control	19264977	17726616	579665	958696
Control	34896497	30142956	4391397	362144
COVID	48899330	48006486	290713	602131
Control	16945336	16159636	606051	179649
COVID	22963640	22743402	161074	59164
Control	22585171	22549778	25746	9647
Control	36245883	35483819	129621	632443
Control	74935825	74836085	25938	73802
Control	21931466	21404638	13407	513421
Control	31671733	30635398	631479	404856
Control	46003609	33656482	11439809	907318
Control	36966225	34555372	1105097	1305756
Control	39894302	39797552	12278	84472
Control	25727602	25422045	29637	275920
Control	2425827	2377534	33382	14911
Control	17593115	17129618	246201	217296
Control	25095234	24451924	131006	512304
Control	81247895	80885833	154540	207522
Control	20285973	19826079	153089	306805
Control	23791271	23451838	12620	326813
Control	49624379	49463123	11658	149598
COVID	24467422	24405071	10432	51919
Control	22394882	20741427	1380862	272593
Control	68841568	67985227	323517	532824
Control	21221885	19683609	1108040	430236
Control	30569658	26785073	3459274	325311
Control	16382787	16264015	31213	87559
Control	15674958	14145578	588902	940478
COVID	30366844	29374846	264365	727633
Control	7912746	7754462	7544	150740
Control	13804903	13644774	29309	130820
Control	26467535	26227772	103718	136045
Control	17489601	17218109	102896	168596
Control	31520628	31362057	36468	122103
Control	22406833	20510120	1246371	650342
COVID	36864482	34434383	1367046	1063053
Control	40916696	40129062	336421	451213
COVID	58735034	56107429	399698	2227907
Control	19476633	19374145	63032	39456
Control	37528589	37462246	8831	57512
COVID	32643031	31962607	49603	630821
COVID	12240644	7541257	4013641	685746
Control	43239877	42827139	61978	350760
Control	31531726	30425103	890086	216537
Control	15043607	14957299	30963	55345
COVID	21882178	21521629	284449	76100
COVID	5472406	5230519	85627	156260
Control	15140169	15096352	34105	9712
Control	14868689	3471929	4609295	6787465
Control	37019156	34294294	857638	1867224
Control	20775297	20715842	7489	51966
COVID	27461610	25681108	1321988	458514
Control	69684526	69446603	43211	194712
Control	39731668	37454387	2113486	163795
Control	6722307	6701627	19387	1293
Control	57835209	57428224	268292	138693
Control	8315494	7558870	369252	387372
COVID	26006454	25668019	88786	249649
Control	17143463	17056869	16692	69902
Control	21552874	21488106	3806	60962
Control	23598046	23350570	24004	223472
Control	20237012	20154616	70005	12391
Control	23527464	23458013	11129	58322
Control	54945998	54488493	370597	86908
Control	12813529	12766179	15148	32202
COVID	21082182	20069635	709016	303531
Control	19300865	15838110	1608511	1854244
COVID	39144776	39118850	21452	4474
Control	10378044	10207443	42702	127899
Control	43241673	42723918	16929	500826
Control	30263724	29435521	684731	143472
Control	19038922	18904666	80128	54128
Control	28113585	22480744	3304254	2328587
Control	25344792	25089117	53838	201837
Control	62689031	60873780	1423767	391484
Control	26842613	26771416	8338	62859
Control	23109079	22724268	147618	237193
COVID	26823227	24966862	1606999	249366
Control	34672723	33553498	587115	532110
Control	11205600	9105147	1415190	685263
Control	17260244	16661112	63663	535469
Control	42067873	40850902	970318	246653
Control	13661968	13583110	11197	67661
COVID	13766907	12099595	639586	1027726
Control	27081935	26433695	479335	168905
COVID	23555527	23175398	237653	142476
Control	32720605	32375700	196734	148171
Control	10638335	10618085	3553	16697
Control	9697513	9002571	380203	314739
Control	66798543	66091816	513476	193251
Control	10784767	10713710	9546	61511
Control	34593979	30373126	1755561	2465292
COVID	36313601	35762768	23365	527468
Control	23330592	22927244	188959	214389
Control	18437500	18225769	51122	160609
COVID	37661519	34734012	362869	2564638
COVID	16410162	15909129	446358	54675
Control	11164453	11120687	39674	4092
Control	16597444	15953260	435459	208725
Control	20754211	20523619	50033	180559
Control	34032704	31651929	1849115	531660
Control	16710921	16350023	259246	101652
Control	82414036	81259385	427689	726962
COVID	27233346	20160291	3469376	3603679
Control	30024310	29891152	14599	118559
Control	21278319	21116229	71727	90363
COVID	22508487	18763124	1982268	1763095
Control	22060140	21162495	421722	475923
Control	35936019	35707509	107698	120812
Control	16832622	16785306	36021	11295
Control	27120628	26767904	60313	292411
COVID	33672684	29013073	2600860	2058751
Control	19898176	16966621	1394847	1536708
Control	46359353	45149324	1020306	189723
COVID	19237489	15325666	1747919	2163904
Control	4380167	4357462	2399	20306
Control	4082039	4043371	14003	24665
Control	15022127	14762756	74161	185210
Control	15218348	14980527	78740	159081
Control	7515559	7213686	180982	120891
Control	40913642	39331383	746667	835592
COVID	26897655	21319930	3678554	1899171
Control	28394675	28018440	10742	365493
Control	35761438	34152647	362980	1245811
Control	23077277	21886086	990998	200193
Control	40154676	39842278	121522	190876
Control	5184923	5152544	7829	24550
Control	21711501	21679437	9063	23001
Control	24749826	24704467	38457	6902
Control	14733131	14679020	12987	41124
Control	27752492	27725767	23509	3216
COVID	32935097	30019616	2289624	625857
Control	15199683	15144016	4810	50857
Control	33440693	25114683	6515119	1810891
COVID	31341856	30932246	269682	139928
Control	15959821	15635446	117442	206933
Control	29376950	28493337	403282	480331
Control	36513463	35772451	119066	621946
Control	15139834	15074906	60843	4085
Control	45631101	45251491	323760	55850
Control	55731046	54994921	224886	511239
Control	27529488	27426196	46548	56744
Control	6309026	6283415	8731	16880
Control	21151245	19536238	808808	806199
Control	36280015	36189329	10541	80145
Control	51466649	50940670	119852	406127
Control	53327480	51026018	938175	1363287
Control	13497032	11997537	700007	799488
