Mix1	Mix2	MixNum	Common	Prj
5	12	5	2	P1_COVID
5	56	5	0	P1_COVID
5	100	5	0	P1_COVID
5	40	5	2	P1_COVID
5	64	5	0	P1_COVID
5	69	5	1	P1_COVID
5	80	5	0	P1_COVID
5	2	5	1	P1_COVID
5	26	5	0	P1_COVID
5	90	5	2	P1_COVID
5	65	5	2	P1_COVID
5	72	5	0	P1_COVID
5	46	5	0	P1_COVID
5	4	5	1	P1_COVID
5	38	5	0	P1_COVID
5	50	5	2	P1_COVID
5	63	5	0	P1_COVID
5	31	5	1	P1_COVID
5	86	5	1	P1_COVID
5	9	5	2	P1_COVID
5	8	5	0	P1_COVID
5	20	5	0	P1_COVID
5	96	5	0	P1_COVID
5	37	5	1	P1_COVID
5	36	5	1	P1_COVID
5	75	5	0	P1_COVID
5	3	5	0	P1_COVID
5	91	5	1	P1_COVID
5	81	5	0	P1_COVID
5	97	5	0	P1_COVID
5	87	5	0	P1_COVID
5	79	5	0	P1_COVID
5	48	5	0	P1_COVID
5	13	5	1	P1_COVID
5	74	5	0	P1_COVID
5	41	5	1	P1_COVID
5	47	5	0	P1_COVID
5	98	5	0	P1_COVID
5	88	5	1	P1_COVID
5	15	5	1	P1_COVID
5	27	5	1	P1_COVID
5	21	5	2	P1_COVID
5	58	5	1	P1_COVID
5	30	5	0	P1_COVID
5	19	5	1	P1_COVID
5	73	5	2	P1_COVID
5	28	5	0	P1_COVID
5	51	5	0	P1_COVID
5	14	5	0	P1_COVID
5	62	5	2	P1_COVID
5	57	5	0	P1_COVID
5	22	5	1	P1_COVID
5	68	5	0	P1_COVID
5	33	5	0	P1_COVID
5	61	5	1	P1_COVID
5	70	5	0	P1_COVID
5	1	5	0	P1_COVID
5	16	5	0	P1_COVID
5	52	5	1	P1_COVID
5	67	5	2	P1_COVID
5	34	5	0	P1_COVID
5	82	5	0	P1_COVID
5	92	5	0	P1_COVID
5	39	5	1	P1_COVID
5	10	5	1	P1_COVID
5	7	5	0	P1_COVID
5	76	5	2	P1_COVID
5	35	5	1	P1_COVID
5	42	5	0	P1_COVID
5	89	5	1	P1_COVID
5	99	5	1	P1_COVID
5	77	5	1	P1_COVID
5	71	5	1	P1_COVID
