cohort	others	otherVirus	fungi	unclassified	bacteria	covid
Control	2955	54	4	53202	5338	0
Control	18816	2960	30776	363855	375111	0
Control	370	0	5	49550	1350	0
Control	694	232	130	107103	7553	0
Control	771	1595	6	94596	49280	2
Control	127	1	124	308	14027	0
Control	463	136636	301	19566	27934	0
Control	85	3	122	47629	1180	0
COVID	5941	464	1333	972240	433524	20
Control	1828	57	13	297609	48663	0
COVID	1596	373	17	54800	575	9183
Control	2973	85	5990	203142	126102	0
Control	2509	324	11	436842	292707	0
Control	120	42406	51	4572	2970	2
Control	245	0	116	5158	45813	0
Control	3734	67	2	32403	12081	0
COVID	1139	91	13	73095	30613	1609
Control	111	58	9	102907	420	1
Control	578	756	93	118643	89199	0
Control	2304	253	268	20633	201038	0
Control	63	1	244	799	11353	26
Control	30	1	3910	148	1800	1
Control	360	51	26	56751	22377	0
COVID	270	13859	15	205019	582	1
Control	228	67	23	167138	1418	0
Control	366	86	31	174487	6496	0
Control	239	1713	31	164053	7886	0
Control	370	4	64	47913	4095	0
COVID	1035	60	33	100272	9240	1071
COVID	1334	684	104	1379	17735	14812
Control	426	16	226	210284	11106	0
Control	2647	16822	3	65772	87369	0
Control	1143	6	0	24424	18338	0
Control	1296	96	283	424302	310142	0
COVID	34312	26984	487	21016	10819	538578
Control	586	40215	254	78524	3521	0
Control	19	1	32	150	3247	0
Control	5684	1943	8	41196	167	0
COVID	22022	2933	2	62100	420	126133
Control	326	33	620	2230	19012	3
Control	158	1	0	16648	66	0
Control	197	17	382	19357	4702	0
Control	11192	244	11336	320559	147577	0
Control	2632	86	22	45536	173	0
Control	11944	3809	189	130439	307001	0
Control	918	66442	82	55286	1660	0
Control	27	4	1	86	2625	0
Control	692	118	14	89050	43596	0
Control	1263	8	373	223890	91520	0
COVID	69	91	14	29201	6317	11
Control	254	0	261	2070	38279	0
COVID	2078	551	20	87975	7711	11601
Control	206	31	11	154439	114	0
Control	1140	223	336	45684	14795	0
Control	2914	404	113	369541	17593	0
