prj	cohort	asm_contig	asm_cov	signal_ratio	gatk_cov	gatk_reads	raw	clean	type
p2	COVID	4	5.6416	0.073	0.476964233	126	329134	289760	PE
p2	COVID	0	0	0	0	0	51262	51060	PE
p2	COVID	0	0	0	0	0	192870	192566	PE
p2	COVID	0	0	0	0.165599787	29	305303	252351	PE
p2	COVID	0	0	0	0	0	223627	223152	PE
p2	COVID	0	0	0	0	0	635809	612406	PE
p2	COVID	0	0	0	0	0	95324	95129	PE
p2	COVID	0	0	0	0	0	113140	112934	PE
p2	COVID	0	0	0	0	0	29588	29341	PE
p2	COVID	0	0	0	0.010131069	1	167664	167341	PE
p2	COVID	0	0	0	0	0	16620	16542	PE
p2	COVID	0	0	0	0	0	31722	31423	PE
p2	COVID	0	0	0	0	0	111922	111437	PE
p2	COVID	0	0	0	0	0	149832	149562	PE
p2	COVID	0	0	0	0	0	16627	16562	PE
p2	COVID	0	0	0	0	0	21895	21786	PE
p2	COVID	0	0	0	0	0	198593	198336	PE
p2	COVID	0	0	0	0	0	70135	69204	PE
p2	COVID	0	0	0	0.010164504	1	364615	364100	PE
p2	COVID	0	0	0	0.02513537	6	82784	82352	PE
p2	COVID	5	4.2939	1.6013	0.284332624	76	60329	59745	PE
p2	COVID	2	3.0833	0.0553	0.319107984	92	372663	365604	PE
p2	COVID	0	0	0	0	0	269538	268967	PE
p2	COVID	0	0	0	0	0	92482	92092	PE
p2	COVID	0	0	0	0.010097633	1	75601	75486	PE
p2	COVID	2	2.8392	1.0938	0.288912509	77	365548	363240	PE
p2	COVID	0	0	0	0	0	15085	13889	PE
p2	COVID	0	0	0	0	0	1067560	1046560	PE
p2	COVID	0	0	0	0	0	235504	230329	PE
p2	COVID	0	0	0	0	0	324918	319354	PE
p2	COVID	0	0	0	0	0	1106408	1085497	PE
p2	COVID	0	0	0	0	0	1129092	1112809	PE
p2	COVID	0	0	0	0	0	883888	877680	PE
p2	COVID	0	0	0	0	0	87387	85016	PE
p2	COVID	0	0	0	0	0	1120021	1098949	PE
p2	COVID	0	0	0	0	0	1119880	1100694	PE
p2	COVID	0	0	0	0	0	1118627	1097771	PE
p2	COVID	0	0	0	0	0	1108371	1088632	PE
p2	COVID	0	0	0	0	0	1024638	1005980	PE
p2	COVID	0	0	0	0	0	1110338	1089857	PE
p2	COVID	0	0	0	0	0	1114422	1089834	PE
p2	COVID	0	0	0	0	0	736666	722253	PE
p2	COVID	0	0	0	0	0	1116552	1093563	PE
p2	COVID	0	0	0	0	0	1117534	1098981	PE
p2	COVID	0	0	0	0	0	282355	276522	PE
p2	COVID	0	0	0	0	0	211464	207284	PE
p2	COVID	0	0	0	0	0	997389	975732	PE
p2	COVID	0	0	0	0	0	214753	209684	PE
p2	COVID	0	0	0	0	0	1119577	1099819	PE
p2	COVID	0	0	0	0	0	1114222	1073837	PE
p2	COVID	0	0	0	0	0	415599	407468	PE
p2	COVID	0	0	0	0	0	761198	744255	PE
p2	COVID	0	0	0	0	0	659312	647734	PE
p2	Control	0	0	0	0	0	19622	19050	PE
p2	Control	0	0	0	0	0	12735	12643	PE
p2	Control	0	0	0	0	0	24158	24065	PE
p2	Control	0	0	0	0	0	85864	85706	PE
p2	Control	0	0	0	0	0	755607	754483	PE
p2	Control	0	0	0	0	0	11166	11075	PE
p2	Control	0	0	0	0	0	191331	191053	PE
p2	Control	0	0	0	0	0	42260	42081	PE
p2	Control	0	0	0	0.010164504	1	7959	7926	PE
p2	Control	0	0	0	0.008124373	1	30195	30105	PE
p2	Control	0	0	0	0	0	115593	115398	PE
p2	Control	0	0	0	0	0	102803	102572	PE
p2	Control	0	0	0	0	0	67586	67329	PE
p2	Control	0	0	0	0.010164504	1	185161	184687	PE
p2	Control	0	0	0	0.010164504	1	71331	71114	PE
p2	Control	0	0	0	0	0	83241	83031	PE
p2	Control	0	0	0	0	0	8066	7982	PE
p2	Control	0	0	0	0	0	158384	158060	PE
p2	Control	0	0	0	0.040474599	4	523653	522535	PE
p2	Control	0	0	0	0	0	13578	13507	PE
p2	Control	0	0	0	0	0	95934	95390	PE
p2	Control	0	0	0	0	0	199952	198984	PE
p2	Control	0	0	0	0	0	724940	722522	PE
p2	Control	0	0	0	0	0	999635	996370	PE
p2	Control	0	0	0	0	0	530416	528455	PE
p2	Control	0	0	0	0	0	884598	866680	PE
p2	Control	0	0	0	0	0	1117184	1096155	PE
p2	Control	0	0	0	0	0	1126282	1097975	PE
p2	Control	0	0	0	0	0	964385	941940	PE
p2	Control	0	0	0	0	0	1105520	1089747	PE
p2	Control	0	0	0	0	0	957507	941204	PE
p2	Control	0	0	0	0	0	87387	85016	PE
p2	Control	0	0	0	0	0	1110902	1087857	PE
p2	Control	0	0	0	0	0	126224	123340	PE
p2	Control	0	0	0	0	0	1098476	1077149	PE
p2	Control	0	0	0	0	0	1112816	1094607	PE
