name	xstart	xend	ystart	yend	dp	fill
ZDH221200141R	0	217	0	1	0	grey90
ZDH221200141R	217	293	0	1	2	grey40
ZDH221200141R	293	1889	0	1	0	grey90
ZDH230100321R	0	296	1.5	2.5	0	grey90
ZDH230100321R	296	372	1.5	2.5	2	grey40
ZDH230100321R	372	1889	1.5	2.5	0	grey90
CF231C0481-8B6AXX1LXF1-N002J019	0	1889	3	4	0	grey90
MDL001-Q24C23030015L-RNA-C19-20230113	0	1889	4.5	5.5	0	grey90
MDL001-Q24C22520006L-RNA-D11-20221223	0	1889	6	7	0	grey90
ZDH221200131R	0	1889	7.5	8.5	47	grey40
ZDH221200431R	0	1053	9	10	0	grey90
ZDH221200431R	1053	1129	9	10	2	grey40
ZDH221200431R	1129	1889	9	10	0	grey90
MDL001-Q18C22530029L-RNA-D28-20221229	0	1889	10.5	11.5	0	grey90
ZDH230101391R	0	852	12	13	0	grey90
ZDH230101391R	852	928	12	13	2	grey40
ZDH230101391R	928	1889	12	13	0	grey90
ZDH230100411R	0	306	13.5	14.5	0	grey90
ZDH230100411R	306	382	13.5	14.5	2	grey40
ZDH230100411R	382	699	13.5	14.5	0	grey90
ZDH230100411R	699	775	13.5	14.5	4	grey40
ZDH230100411R	775	1129	13.5	14.5	0	grey90
ZDH230100411R	1129	1205	13.5	14.5	4	grey40
ZDH230100411R	1205	1889	13.5	14.5	0	grey90
ZDH23063000082R	0	1889	15	16	0	grey90
MDL001-Q09C23030037T-RNA-A08-20230110	0	1889	16.5	17.5	0	grey90
