name	cov	Label
ZDH221200141R	0.999832591154117	P1
ZDH230100321R	0.997656276157632	P2
CF231C0481-8B6AXX1LXF1-N002J019	0.99424113570161	P3
MDL001-Q24C23030015L-RNA-C19-20230113	0.843841028559949	P4
MDL001-Q24C22520006L-RNA-D11-20221223	0.825325610205243	P5
ZDH221200131R	0.593732212810125	P6
ZDH221200431R	0.563129875782636	P7
MDL001-Q18C22530029L-RNA-D28-20221229	0.0494190913047845	P8
ZDH230101391R	0.0152676867445676	P9
ZDH230100411R	0.00468744768473561	P10
ZDH23063000082R	0.00254461445742793	P11
MDL001-Q09C23030037T-RNA-A08-20230110	0.00167408845883421	P12
