cohort	DNA_k75_448	RNA_k75_9508	DNA_k75_10730
f1w	0	0.996835782473453	0
f1w	1	0.601443151530911	0.996789727126806
f1w	0	0.00257783729494476	0
f1w	0.0406976744186047	0.568572924164104	0.259507829977629
f1w	0	0.851694915254237	0
f1w	0	0	0
f1w	0.0406976744186047	0.0154618473895582	0.0869074492099323
f1w	0.0406976744186047	0.998280227392156	0.173423423423423
f1w	0	0.833157240522063	0
f1w	0	0.0503875968992248	0
f1w	0.0406976744186047	0.999881225078476	0.0869074492099323
f1w	0.121835443037975	0.00475361542581682	0.168903803131991
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0.0026111408677022	0
Control	0	0	0
Control	0	0.00241028387787895	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0.00170739872782056	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0.00170739872782056	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0.00170739872782056	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0.00170739872782056	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0.00170739872782056	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0.551136363636364	0	0.846398305084746
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0.0869074492099323
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0.195789473684211	0	0.698675496688742
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0.111479028697572
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0.0575620767494357
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0.0269556025369979	0	0
Control	0.0269556025369979	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
Control	0.916949975716367	0	0.998178506375228
Control	0.0269556025369979	0	0
Control	0	0	0
Control	0	0	0
Control	0	0	0
