fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio	gatk_length	gatk_cov	gatk_Depth	gatk_Segments	gatk_Reads	sampleType	raw	clean	Host
727	4	2302	8	7.6982	14	35	1.0081	29903	0.600630054	1.249683349	130	475	nasopharyngeal	9509115	4935333	2904285
29	29	28084	58	93.917	64	0	99.8131	29903	0.996393437	193.5646771	6	115109	BALF	14099169	121831	13960805
206	1	29873	2	99.8997	136	59	32.8008	29903	0.999728745	1840.588455	1	724622	sputum	41509401	4090207	34701993
1	1	417	2	1.3945	2	9	100	29903	0.828409903	2.129438077	156	1238	BALF	27038945	112712	26899625
0	0	0	0	0	0	0	0	29903	0.015443241	0.015443241	6	6	BALF	39640917	960017	37891965
0	0	0	0	0	0	0	0	29903	0.002574734	0.002574734	1	1	BALF	14203140	2147216	10086976
235	3	787	6	2.6318	4	0	0.6561	29903	0.563366013	0.932843137	138	362	sputum	22335357	970315	20748259
0	0	0	0	0	0	0	0	29903	0.048995394	0.049429277	28	29	BALF	14478243	23019	14450423
0	0	0	0	0	0	0	0	29903	0.001705343	0.001705343	1	1	sputum	16259784	4005789	11907069
5	1	314	2	1.0501	2	0	22.9197	29903	0.847228231	2.266361782	130	1325	BALF	20210284	222720	19976010
136	2	29777	4	99.5786	137	59	45.9638	29903	0.998113253	28.76083686	3	11073	sputum	23796790	1388301	20965957
0	0	0	0	0	0	0	0	29903	0.004747894	0.004747894	2	2	BALF	17834880	1471434	14031454
0	0	0	0	0	0	0	0	29903	0.822520274	1.999064255	148	1168	BALF	21168313	51274	21110579
0	0	0	0	0	0	0	0	29903	0	0	0	1	nasopharyngeal	7736571	284641	7235312
54	18	5410	36	18.0918	45	18	30.6642	29903	0.891866663	3.276521425	91	1895	BALF	25241586	107395	25124109
0	0	0	0	0	0	0	0	29903	0.032362568	0.032362568	19	19	BALF	26557193	94263	26432798
0	0	0	0	0	0	0	0	29903	0.002574734	0.002574734	1	1	nasopharyngeal	22445999	1728387	18791853
17	2	405	4	1.3544	4	0	8.8855	29903	0.624033978	1.39991697	197	801	BALF	23758911	271072	22631926
71	2	29812	6	99.6957	140	62	60.6029	29903	0.999031766	79.16266326	2	30514	BALF	24130630	1963506	20916202
14	9	3411	18	11.4069	22	35	73.5833	29903	0.796600412	4.186159253	138	2275	BALF	18197965	429385	17616602
0	0	0	0	0	0	0	0	29903	0.104341457	0.119556532	55	70	sputum	11382897	274649	10996632
0	0	0	0	0	0	0	0	29903	0.023854069	0.023854069	14	14	sputum	20513853	87127	20101831
862	32	12394	64	41.4473	50	35	4.6161	29903	0.961969112	9.101434087	58	5095	sputum	17837866	598096	15107769
0	0	0	0	0	0	0	0	29903	0.057438292	0.068912608	32	40	sputum	12240644	685746	7541257
0	0	0	0	0	0	0	0	29903	0.032658786	0.039404261	18	23	BALF	27023368	103859	26542328
0	0	0	0	0	0	0	0	29903	0.018746241	0.020450444	11	12	BALF	16410162	54675	15909129
0	0	0	0	0	0	0	0	29903	0.53099774	1.087730061	190	629	sputum	22331978	339753	18758650
0	0	0	0	0	0	0	0	29903	0.084383123	0.09021529	47	53	BALF	16183687	47652	16128269
14	14	3942	28	13.1826	15	9	100	29903	0.929006449	3.482624791	73	2034	BALF	15190732	71546	15110370
27	26	28066	52	93.8568	63	0	99.0649	29903	0.998252817	318.4681227	7	189641	BALF	25379301	223782	25107253
32	11	3246	22	10.8551	16	0	30.476	29903	0.892819254	3.031887484	105	1765	BALF	17575823	126080	17443893
0	0	0	0	0	0	0	0	29903	0.005115346	0.005115346	3	3	BALF	12945258	66884	12873428
38	37	27406	74	91.6497	40	0	99.0691	29903	0.992294838	29.00633587	13	16814	BALF	8511850	36044	8394366
37	37	27898	74	93.295	48	0	99.7872	29903	0.995343862	33.42024791	6	19663	BALF	10828335	20785	10801291
0	0	0	0	0	0	0	0	29903	0.018645993	0.018645993	11	11	BALF	11260104	882	11252508
31	3	29721	6	99.3914	141	59	79.9429	29903	0.998804381	176.6030739	2	99446	sputum	26823227	249366	24966862
0	0	0	0	0	0	0	0	29903	0.008524437	0.008524437	5	5	sputum	14336080	60728	14267550
68	43	14273	86	47.731	8	0	66.1787	29903	0.970078958	6.559163319	45	3760	BALF	9977338	25592	9940878
0	0	0	0	0	0	0	0	29903	0.035090648	0.18313245	19	107	BALF	29968293	4840918	24177179
47	46	25823	92	86.3559	34	0	98.9034	29903	0.991638179	14.42886304	15	8398	BALF	13174206	17052	13106824
132	2	29840	8	99.7893	130	61	44.9329	29903	0.998674204	222.7217486	2	86586	BALF	40694038	4525975	33988558
66	20	6627	40	22.1617	35	9	32.0158	29903	0.922245589	11.2011041	101	6357	nasopharyngeal	26073919	731096	24774381
3	1	29865	2	99.8729	142	62	98.3857	29903	0.999406639	2663.630879	2	1583781	BALF	22892430	1715745	20963220
86	3	29853	6	99.8328	133	59	48.5731	29903	0.998822644	151.3938932	2	86354	BALF	26844147	253417	25744117
0	0	0	0	0	0	0	0	29903	0.014003075	0.015406724	8	9	sputum	22469460	29646	22433495
0	0	0	0	0	0	0	0	29903	0.164841728	0.211294711	84	123	BALF	26538865	164471	26029031
34	30	28306	60	94.6594	57	0	95.5014	29903	0.998066533	168.6661065	5	100420	BALF	9359927	106632	9208580
