fragment	sample	count	start	alignment
k141_80	SRR24415953	526	261	4S33M64S
k141_80	MAX74515-1RL-UDB-111-S200033138-L1-NA	57	264	22S27M1S
k141_80	MAX73613-1RL-UDB-176-S200028663-L1-NA	94	264	7S27M16S
k141_80	SRR24415953	22	261	43S33M25S
k141_80	MAX70400-1RL-UDB-182-S200032742-L1-NA	150	264	5S27M18S
k141_80	MAX84190-1RL-UDB-189-S250000334-L1-NA	141	264	12S27M11S
k141_80	21JS832553-1RL-UDB-109-S200028714-L1-NA	14	264	24S26M
k141_79	SRR24415951	41	278	26S75M
k141_80	MAX60165-1RL-UDB-101-S200028666-L1-NA	307	264	27M23S
k141_80	21JS83291401-1RL-UDB-166-S200028683-L1-NA	16	261	23S26M1S
k141_80	SRR24415953	612	261	21S33M47S
k141_80	MAX73668-1RL-UDB-98-S200030036-L1-NA	179	264	23S27M
k141_80	21JS832553-1RL-UDB-109-S200028714-L1-NA	10	264	22S27M1S
k141_80	21JS832553-1RL-UDB-109-S200028714-L1-NA	37	264	13S27M10S
k141_80	21JS83291401-1RL-UDB-166-S200028683-L1-NA	31	264	22S27M1S
k141_80	MAX73668-1RL-UDB-98-S200030036-L1-NA	321	264	20S27M3S
k141_80	21JS942033-1RL-UDB-148-S250000406-L1-NA	98	264	27M23S
k141_80	21JS942033-1RL-UDB-148-S250000406-L1-NA	93	264	11S27M12S
k141_80	SRR24415953	1358	261	25S33M43S
k141_80	21JS832553-1RL-UDB-109-S200028714-L1-NA	84	264	3S27M20S
k141_80	MAX70400-1RL-UDB-182-S200032742-L1-NA	169	264	15S27M8S
k141_80	SRR24415953	793	261	55S33M13S
k141_80	SRR24415953	1677	265	29M72S
k141_80	MAX73668-1RL-UDB-98-S200030036-L1-NA	266	264	5S27M18S
k141_80	SRR24415953	1028	261	55S33M13S
k141_80	SRR24415953	72	261	72S29M
k141_80	SRR24415953	1435	261	36S33M32S
k141_80	MAX84190-1RL-UDB-189-S250000334-L1-NA	86	264	13S27M10S
