sample	gca	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio	totalBases	adjust_mapped_fragment_num	adjust_mapped_ref_bases	adjust_signal_ratio	adjusted_cov	adjusted_total_bases	adjusted_mapped_fragment_num	adjusted_mapped_ref_bases	adjusted_signal_ratio	Annotated_ratio	Unnotated_ratio
rand.14	GCA_003188275	31	12	5350	25	59.7498	598	27	31.2161	19900	13	9496	47.7185929648241	100	19900	13	9496	47.7185929648241	30.321608040201	21.9597989949749
rand.65	GCA_003112285	37	15	4374	36	85.7647	411	40	43.8730	19814	30	16919	85.3891188048854	100	19369	30	16919	87.3509215757138	8.47746398884816	4.17161443543807
rand.66	GCA_003112285	32	11	3979	28	78.0196	427	9	30.0300	19657	16	11351	57.745332451544	100	19657	16	11351	57.745332451544	19.2908378694613	22.9638296789948
rand.25	GCA_003099235	153	120	8797	376	99.8865	546	73	60.3469	78869	134	69403	87.9978191684946	100	78542	134	69403	88.3641873137939	3.84380331542359	7.79200937078251
rand.8	GCA_003099635	47	21	6940	62	79.0883	537	52	41.3122	25910	27	16140	62.2925511385565	100	25593	28	16487	64.4199585824249	16.9929277536827	18.5871136638925
rand.43	GCA_003112285	207	67	4694	148	92.0392	413	21	19.5214	93600	185	79445	84.8771367521367	100	93238	186	79774	85.559535811579	8.21446191466998	6.22600227375105
rand.4	GCA_003112285	66	26	4614	70	90.4706	323	11	33.6269	39968	54	32724	81.8755004003202	100	39968	54	32724	81.8755004003202	8.67694155324259	9.44755804643716
rand.38	GCA_003101175	267	148	8445	437	97.0355	693	73	41.5716	119608	244	108741	90.9144873252625	100	119280	244	108741	91.1644869215292	4.67555331991952	4.15995975855131
rand.33	GCA_003188765	74	49	8751	136	97.6129	806	94	53.9114	46441	69	44674	96.1951723692427	100	45864	69	44674	97.4053724053724	1.05093319379034	1.54369440083726
rand.11	GCA_003098095	134	42	7417	115	82.5028	659	55	25.4269	65934	84	41951	63.6257469590803	100	65627	84	41951	63.9233851920703	22.4480777728679	13.6285370350618
rand.29	GCA_003101175	67	45	8475	105	97.3802	673	50	52.7995	41239	54	35869	86.9783457406824	100	40355	54	35869	88.8836575393384	6.79717507124272	4.31916738941891
