contig	length	gc	case.fre	case.mean.depth	case.mean.cov	control.fre	control.mean.depth	control.mean.cov	annotation	human
k141_31	410	0.473170731707317	1	0.675057208237986	0.125	66	0.0750040858966073	0.0126021352086938	N	N
k141_10	521	0.445297504798464	1	0.880973451327434	0.125	93	0.155225923919835	0.0133501458559176	N	N
k141_212	379	0.340369393139842	1	0.49875	0.125	81	0.0732199680358373	0.0115186764329229	N	N
k141_96	2283	0.467805519053876	5	1.31030732343018	0.410323925093146	1	7.76259961241795e-06	7.76259961241795e-06	N	N
k141_406	993	0.408862034239678	1	1.04548517520216	0.125	322	1.08234760656516	0.0376307094045518	N	N
k141_11	941	0.439957492029756	1	0.82190594059406	0.125	336	1.13471028294949	0.0370582719834628	N	N
k141_127	1550	0.433548387096774	1	1.8621667612025	0.125	2	0.000112804533977015	5.23892797966147e-05	N	N
k141_250	314	0.633757961783439	3	0.597879874193558	0.314358473614942	690	1.43961439456176	0.0938655597417681	N	N
k141_360	358	0.569832402234637	5	1.40966698286602	0.498386654771722	195	0.109406944407491	0.0212450738153954	N	N
k141_1	470	0.646808510638298	1	0.512121212121213	0.125	52	0.0591640258694798	0.00777794467508737	N	N
k141_277	1209	0.536807278742763	6	1.00762253387952	0.43033280169843	0	0	0	N	N
k141_218	366	0.42896174863388	1	0.903497409326425	0.125	82	0.149429285039187	0.0112956843679825	N	N
k141_302	1766	0.461494903737259	6	1.06580881687174	0.490761688264327	2	2.00625242668033e-05	2.00625242668033e-05	N	N
k141_89	897	0.546265328874025	5	0.682363303969112	0.326871597400492	121	0.0124035571262022	0.00638455743455308	N	N
k141_423	2680	0.469402985074627	6	1.36651567272711	0.475179351291411	0	0	0	N	N
k141_178	390	0.353846153846154	1	0.640281173594133	0.124083129584352	48	0.0314124774128505	0.00693766354196772	N	N
k141_245	838	0.417661097852029	1	0.804922135706341	0.125	84	0.0614355826356407	0.00852037445672946	N	N
k141_217	706	0.351274787535411	1	0.554551539491299	0.125	57	0.0312850651796075	0.00671073992313085	N	N
k141_426	324	0.444444444444444	1	0.632288629737609	0.125	122	0.374906060528392	0.0177993130843574	N	N
k141_281	541	0.386321626617375	1	0.75	0.125	10	0.0168939482097419	0.00148978764243703	N	N
k141_364	1371	0.506199854121079	5	0.892425122065873	0.358572583352819	0	0	0	N	N
k141_304	771	0.413748378728923	1	1.45194508009154	0.122139588100686	180	0.286505179987746	0.0200333657603056	N	N
k141_405	323	0.569659442724458	4	0.547894321187188	0.283711063767264	168	0.0358627828606549	0.0138383380561932	N	N
k141_274	562	0.375444839857651	1	0.680042016806722	0.125	100	0.183714461327786	0.0120338531859793	N	N
k141_395	1070	0.434579439252336	1	0.900300171526586	0.125	421	1.12951988346371	0.0429973311422851	N	N
k141_429	865	0.432369942196532	1	1.04864016736402	0.114801255230126	376	1.4536873419832	0.0445246803994323	N	N
k141_366	1022	0.409980430528376	1	1.02720785013381	0.123438893844782	200	0.396171527090102	0.0208580644719515	N	N
k141_314	1729	0.434355118565645	5	1.2818895150475	0.454515301641293	1	1.02455558394847e-05	1.02455558394847e-05	N	N
k141_259	1189	0.458368376787216	1	0.724547955974842	0.125	42	0.00878439747300899	0.0027717267870161	N	N
k141_328	441	0.439909297052154	2	0.863807766943772	0.175107208739608	224	0.842188432926523	0.032164987419305	N	N
k141_315	936	0.436965811965812	1	1.55240793201134	0.122167138810198	100	0.06207847954631	0.0083922939965531	N	N
k141_255	841	0.491082045184304	5	1.15213696915749	0.42567485187651	0	0	0	N	N
k141_102	500	0.384	4	0.712935766906294	0.321836187369598	1	0.000919005349354836	0.000272248694534309	N	N
