contig	length	gc	case.fre	case.mean.depth	case.mean.cov	control.fre	control.mean.depth	control.mean.cov	annotation	human
k141_11974	444	0.481981981981982	1	3.25856044723969	0.333333333333333	0	0	0	N	N
k141_2788	619	0.651050080775444	1	3.04747320061256	0.333333333333333	10	0.00200071491889677	0.00193102458925779	N	N
k141_5182	441	0.405895691609977	1	0.79867256637168	0.333333333333333	36	0.0974919459567931	0.0180580996325816	N	N
k141_27767	364	0.43956043956044	1	5.94416243654823	0.333333333333333	47	0.051389628945915	0.0180387077347833	N	N
k141_9519	433	0.491916859122402	1	1.3609865470852	0.333333333333333	58	0.125304453017447	0.0290531920380416	N	N
k141_17807	371	0.55256064690027	1	2.0405872193437	0.33160621761658	3	0.000525148792157777	0.000525148792157777	N	N
k141_110	360	0.483333333333333	1	1.40289069557362	0.333333333333333	6	0.00225560702414249	0.00146173857508327	N	N
k141_19280	507	0.353057199211045	1	3.7408088235294	0.333333333333333	35	0.0227274130020699	0.0123563590233536	N	N
k141_1201	495	0.341414141414141	1	2.51188182402055	0.333333333333333	3	0.000796418021250599	0.00052427424718128	N	N
k141_24807	1653	0.395039322444041	1	8.19436825745107	0.333333333333333	219	0.726792667349554	0.0797892704857829	N	N
k141_22161	398	0.442211055276382	1	5.0564705882353	0.333333333333333	0	0	0	N	N
k141_24454	814	0.517199017199017	1	3.80311668567083	0.333333333333333	0	0	0	N	N
k141_14828	623	0.457463884430177	1	5.10484668644907	0.333333333333333	64	0.218495116520923	0.0365068713347128	N	N
k141_22116	371	0.39622641509434	1	3.53852813852813	0.333333333333333	0	0	0	N	N
k141_28140	301	0.504983388704319	1	1.3202614379085	0.333333333333333	0	0	0	N	N
k141_5304	410	0.5	1	3.20392156862745	0.333333333333333	1	0.000723819540034335	0.000448520655149481	N	N
k141_11609	670	0.426865671641791	1	5.25252525252527	0.333333333333333	57	0.100991973853087	0.0233511827703971	N	N
k141_14402	381	0.446194225721785	1	6.2011217948718	0.333333333333333	21	0.0130758754507219	0.0060972834375144	N	N
k141_23909	480	0.4875	1	4.1381794368042	0.333333333333333	0	0	0	N	N
k141_12680	415	0.43855421686747	1	2.98165137614679	0.331804281345566	50	0.0910753054863317	0.0248598286316823	N	N
k141_314	430	0.465116279069767	1	1.73408239700375	0.333333333333333	3	0.000604790294894562	0.000453592721170922	N	N
k141_26403	550	0.607272727272727	1	2.68648018648019	0.333333333333333	1	0.000546205027390914	0.000345699384424629	N	N
k141_16280	422	0.445497630331754	1	2.94584286803966	0.333333333333333	0	0	0	N	N
k141_10182	376	0.534574468085106	1	3.56207482993197	0.331632653061225	0	0	0	N	N
k141_17907	366	0.423497267759563	1	3.86910994764397	0.333333333333333	41	0.102236570162277	0.0205192247252395	N	N
k141_24227	928	0.408405172413793	1	2.81955922865014	0.333333333333333	75	0.153638143935129	0.031575857696109	N	N
k141_19222	416	0.598557692307692	1	1.12625096227868	0.330254041570439	1	0.000143994656879116	0.000143994656879116	N	N
k141_13986	315	0.419047619047619	1	3.28629856850716	0.333333333333333	0	0	0	N	N
k141_24214	301	0.292358803986711	1	3	0.333333333333333	0	0	0	N	N
k141_21271	315	0.444444444444444	1	2.22910216718266	0.333333333333333	2	0.000831678252234359	0.000691273887664398	N	N
k141_19420	360	0.519444444444444	1	2.99136442141623	0.333333333333333	7	0.00218093341473733	0.00186643030247805	N	N
k141_15397	325	0.566153846153846	1	2.78402366863905	0.333333333333333	0	0	0	N	N
k141_3529	558	0.32258064516129	1	1.48251748251748	0.333333333333333	19	0.0113942496898162	0.00649822522164402	N	N
k141_11389	444	0.511261261261261	1	1.30249632892805	0.333333333333333	2	0.000367591100849194	0.000367591100849194	N	N
k141_8232	1363	0.337490829053558	1	8.04667547335977	0.331131660061647	50	0.0206718185487841	0.0120824940033993	N	N
k141_5227	744	0.428763440860215	1	8.17976622329707	0.318823055219669	83	0.158478876718326	0.0296412408447328	N	N
k141_2240	460	0.608695652173913	1	3.5193482688391	0.333333333333333	3	0.000712852988738829	0.000508565716664072	N	N
k141_549	309	0.349514563106796	1	0.631966351209253	0.331230283911672	22	0.0117866484002185	0.00842066269877067	N	N
k141_7282	320	0.434375	1	3.3992015968064	0.333333333333333	33	0.0610042354917008	0.0178372247185439	N	N
k141_27571	536	0.53544776119403	1	5.0613425925926	0.333333333333333	6	0.00121373179666991	0.000970805824787404	N	N
k141_15693	857	0.486581096849475	1	20.551123773346	0.333333333333333	0	0	0	N	N
k141_2408	301	0.445182724252492	1	1.92545260915868	0.333333333333333	0	0	0	N	N
k141_24943	351	0.361823361823362	1	1.26070763500931	0.333333333333333	0	0	0	N	N
k141_3120	962	0.476091476091476	1	3.50032679738563	0.333333333333333	1	6.78430563962035e-05	6.78430563962035e-05	N	N
k141_27383	484	0.431818181818182	1	5.05705128205127	0.333333333333333	53	0.0877483943783216	0.0241850176372064	N	N
k141_26509	709	0.456981664315938	1	10.5249042145594	0.319710515112814	104	0.292999852942395	0.0505452039423697	N	N
k141_9598	370	0.289189189189189	1	4.16921768707483	0.333333333333333	27	0.0141869710615097	0.0102095052122353	N	N
k141_11970	396	0.310606060606061	1	2.51746031746032	0.333333333333333	9	0.00296661551738845	0.0022388054476371	N	N
k141_9989	330	0.566666666666667	1	1.50196078431373	0.333333333333333	0	0	0	N	N
k141_26680	598	0.55685618729097	1	2.4496	0.333333333333333	1	0.00312487317884827	0.000164467009413067	N	N
k141_24410	328	0.417682926829268	1	0.91790306627102	0.292779426310584	0	0	0	N	N
k141_14527	302	0.33112582781457	1	3.5705329153605	0.333333333333333	29	0.280360836817546	0.0164936254473912	N	N
