sample	gca	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio	totalBases	adjust_mapped_fragment_num	adjust_mapped_ref_bases	adjust_signal_ratio	adjusted_cov
rand.10	covid	1	1	29842	2	99.7960	171	56	100.0000	29786	1	29786	100	99.6087278332552
rand.91	covid	2	2	29855	4	99.8395	135	59	99.9263	29834	2	29834	100	99.769272919109
rand.86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.81	covid	2	2	29839	4	99.7860	136	61	99.8359	29857	2	29857	100	99.8461946445927
rand.25	covid	1	1	29813	2	99.6990	150	64	99.8859	29797	1	29797	100	99.6454936772549
rand.41	covid	49	49	21745	98	72.7185	93	12	99.5737	22050	49	22050	100	73.7384651644056
rand.56	covid	21	20	28793	40	96.2880	131	53	99.2050	29055	20	28852	99.3013250731372	96.4853046226513
rand.31	covid	5	5	29479	10	98.5821	109	53	99.8406	29480	5	29480	100	98.5854441466807
rand.5	covid	6	6	29720	12	99.3880	143	58	99.9731	29726	6	29726	100	99.40806487214
rand.12	covid	1	1	29852	2	99.8294	125	59	100.0000	29793	1	29793	100	99.6320954776899
rand.53	covid	7	7	29785	14	99.6054	161	56	99.6824	29915	7	29915	100	100
rand.65	covid	1	1	29833	2	99.7659	200	67	99.7956	29841	1	29841	100	99.7926531659572
rand.28	covid	1	1	29846	2	99.8094	143	59	99.9966	29788	1	29788	100	99.6154394960799
rand.11	covid	3	2	29844	4	99.8027	156	56	99.2747	30056	2	29845	99.2979771093958	99.806044146227
rand.68	covid	1	1	29865	2	99.8729	119	56	99.9933	29811	1	29811	100	99.6923161526871
rand.43	covid	1	1	29825	2	99.7392	198	90	100.0000	29749	1	29749	100	99.4850447879296
rand.57	covid	8	1	29828	2	99.7492	170	56	93.6727	31783	1	29772	93.6727181197496	99.5619277993831
rand.21	covid	1	1	29863	2	99.8662	112	53	99.9263	29832	1	29832	100	99.7625315072163
rand.27	covid	1	1	29841	2	99.7927	157	56	99.9463	29801	1	29801	100	99.6589341074361
rand.59	covid	1	1	29820	2	99.7224	187	56	99.9396	29782	1	29782	100	99.5953224949698
rand.40	covid	7	7	29415	14	98.3681	78	56	99.9014	29423	7	29423	100	98.3948531803502
rand.48	covid	31	10	29469	20	98.5486	75	44	79.6680	36986	10	29481	79.7085383658682	98.5887297363331
rand.20	covid	3	3	29804	6	99.6689	194	70	100.0000	29759	3	29759	100	99.5184134713461
rand.100	covid	1	1	29854	2	99.8361	131	59	100.0000	29795	1	29795	100	99.6387954545455
