contig	length	gc	case.fre	case.mean.depth	case.mean.cov	control.fre	control.mean.depth	control.mean.cov	annotation	human
k141_1	339	0.371681415929204	1	2.66571428571429	1	130	0.637320308970989	0.0831179527206126	N	N
k141_17	318	0.522012578616352	1	3.3202416918429	1	23	0.214279991011027	0.0111544702652915	N	N
k141_8	371	0.442048517520216	1	4.75064267352185	0.902313624678663	0	0	0	N	N
k141_5	502	0.410358565737052	1	7.68073394495413	1	163	0.710500181725357	0.0944987301464592	N	N
k141_10	346	0.421965317919075	1	0.435530085959885	0.435530085959885	0	0	0	N	N
k141_7	271	0.501845018450184	1	15.1065830721003	1	4	0.00516597052072565	0.00199568940903724	N	N
k141_19	29988	0.38031879418434	1	129.860934447354	1	1	7.21179914444913e-05	6.99811620683583e-05	Y	N
k141_6	378	0.396825396825397	1	4.655	1	83	0.236196278148809	0.044791897016827	N	N
k141_14	649	0.335901386748844	1	10.0137931034483	1	0	0	0	N	N
k141_13	319	0.510971786833856	1	2.80966767371601	0.673716012084592	16	0.201103394649189	0.0113748687354824	N	N
k141_16	451	0.463414634146341	1	0.671772428884026	0.365426695842451	0	0	0	N	N
k141_3	339	0.374631268436578	1	5.62603878116344	1	113	0.421229932774912	0.0659299916499445	N	N
k141_15	513	0.518518518518518	1	24.1201248049922	0.985959438377535	13	0.0619616998027005	0.00603288764394162	N	N
k141_0	306	0.401960784313726	1	2.45396825396825	1	85	0.304657513214801	0.0514551357522234	N	N
k141_9	324	0.444444444444444	1	4.07941176470588	1	0	0	0	N	N
k141_12	589	0.487266553480475	1	1.22666666666667	0.75	0	0	0	N	N
k141_11	394	0.459390862944162	1	2.22058823529412	0.899509803921569	0	0	0	N	N
k141_4	382	0.397905759162304	1	1.54755784061697	1	121	0.40731168482222	0.0674584110098185	N	N
k141_18	770	0.42987012987013	1	17.9354094579008	0.792387543252595	0	0	0	N	N
k141_2	312	0.477564102564103	1	2.41666666666667	0.811728395061728	17	0.211640858742872	0.010374031786382	N	N
