sample	gca	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio	totalBases	adjust_mapped_fragment_num	adjust_mapped_ref_bases	adjust_signal_ratio	adjusted_cov	adjusted_total_bases	adjusted_mapped_fragment_num	adjusted_mapped_ref_bases	adjusted_signal_ratio	Annotated_ratio	Unnotated_ratio
rand.58	GCA_003097815	95	7	9690	14	100.0000	735	191	21.6487	60313	7	13118	21.7498715036559	100	60313	7	13118	21.7498715036559	76.1013380199957	2.14879047634838
rand.54	GCA_003097815	44	12	8765	26	90.4541	514	104	56.7343	31013	12	17766	57.2856544029923	100	31013	12	17766	57.2856544029923	36.5749846838423	6.13936091316545
rand.87	GCA_003100195	37	7	6416	14	73.8065	673	48	29.5678	23945	7	7172	29.9519732720819	82.5031634648568	23945	7	7172	29.9519732720819	67.2583002714554	2.78972645646273
rand.96	GCA_003112285	176	3	1528	6	29.9608	169	15	1.6836	90580	4	1931	2.13181717818503	37.8627450980392	89742	4	1931	2.15172383053643	97.8482761694636	0
rand.5	GCA_003102695	55	5	3558	9	43.6083	468	43	10.1874	34896	5	3861	11.0643053645117	47.3219757323201	34896	5	3861	11.0643053645117	86.9784502521779	1.95724438331041
rand.3	GCA_003100495	24	6	6308	12	83.2080	702	48	29.4083	22242	6	7573	34.0481971045769	99.8944730246669	22242	6	7573	34.0481971045769	65.9518028954231	0
rand.31	GCA_003112285	3	1	1023	2	20.0588	109	2	55.6886	1837	1	1024	55.7430593358737	20.078431372549	1837	1	1024	55.7430593358737	44.2569406641263	0
rand.93	GCA_003855775	17	5	2024	10	22.9271	235	25	29.0417	7138	5	2101	29.4340151302886	23.7992750339828	7138	5	2101	29.4340151302886	70.5659848697114	0
rand.67	GCA_003101195	17	8	8730	14	100.0000	917	110	71.3397	19609	9	16888	86.1237187005967	100	19609	9	16888	86.1237187005967	8.86327706665307	5.01300423275026
rand.80	GCA_003101195	14	3	5363	6	61.4318	668	99	52.6337	10138	4	5832	57.5261392779641	66.8041237113402	10138	4	5832	57.5261392779641	39.060958768988	3.41290195304794
rand.99	GCA_003101195	8	2	8730	6	100.0000	868	61	75.9821	12091	2	9793	80.9941278637003	100	12091	2	9793	80.9941278637003	16.2765693491026	2.72930278719709
rand.63	GCA_003112325	32	2	1145	4	21.5104	149	5	8.8034	12995	2	1351	10.3963062716429	25.3804245726094	12995	2	1351	10.3963062716429	84.6787225856098	4.92497114274721
rand.2	GCA_003100975	12	4	8667	6	100.0000	908	150	76.8569	14190	4	11266	79.3939393939394	100	14190	4	11266	79.3939393939394	17.3713883016209	3.23467230443975
rand.72	GCA_003101195	52	20	8730	37	100.0000	795	102	64.1547	39252	24	27885	71.0409660654234	100	39252	24	27885	71.0409660654234	26.2687251605014	2.69030877407521
rand.86	GCA_003112285	6	1	5080	1	99.6078	523	47	48.2729	10567	4	9875	93.4513106842056	100	10567	4	9875	93.4513106842056	6.54868931579446	0
rand.57	GCA_003112285	5	3	4686	6	91.8824	568	39	57.8748	8178	4	7855	96.0503790657862	100	8178	4	7855	96.0503790657862	3.94962093421374	1.06581410364015e-14
rand.75	GCA_003104595	47	8	9178	16	100.0000	893	163	44.7191	29815	9	14345	48.1133657554922	100	29154	9	14345	49.2042258352199	43.6646772312547	7.13109693352542
rand.35	GCA_003100975	16	1	8667	0	100.0000	919	150	58.4361	14681	1	8936	60.8677882977999	100	14681	1	8936	60.8677882977999	27.8250800354199	11.3071316667802
rand.71	GCA_003102955	66	16	9176	32	100.0000	1038	120	31.8851	46931	17	15924	33.9306641665424	100	46593	17	15924	34.1768076749726	65.8231923250274	0
rand.32	GCA_003101195	11	2	8730	2	100.0000	1116	113	68.9056	13057	2	9363	71.7086620203722	100	13057	3	9693	74.2360419698246	20.188404687141	5.57555334303439
rand.15	GCA_003112285	263	5	4735	10	92.8431	446	38	3.4855	158426	5	9472	5.97881660838499	100	155261	5	9472	6.10069495881129	93.8993050411887	0
rand.6	GCA_003188925	30	2	8950	4	100.0000	889	98	46.5713	19293	2	9130	47.3228632146374	100	19293	2	9130	47.3228632146374	41.5124656611206	11.1646711242419
rand.48	GCA_003112285	40	4	2134	8	41.8431	237	17	6.8277	31123	5	2505	8.04870995726633	49.1176470588235	31123	5	2505	8.04870995726633	91.9512900427337	0
rand.70	GCA_003100495	44	2	770	4	10.1570	96	4	2.3461	32821	2	807	2.45879162731178	10.6450336367234	32821	2	807	2.45879162731178	96.3346637823345	1.20654459035373
rand.92	GCA_003112285	19	2	5080	3	99.6078	520	47	35.7763	15787	3	9500	60.1760942547666	100	15787	3	9500	60.1760942547666	32.273389497688	7.55051624754545
rand.82	GCA_003099155	27	1	8790	0	100.0000	980	163	46.6240	18928	1	9178	48.489010989011	100	18928	1	9178	48.489010989011	38.8736263736264	12.6373626373626
rand.20	GCA_003112285	18	1	5063	2	99.2745	613	48	32.5005	15609	2	9540	61.1185854314818	100	15609	2	9540	61.1185854314818	34.9605996540457	3.92081491447242
rand.74	GCA_003101195	109	5	8730	8	100.0000	796	128	21.6410	78564	6	18387	23.4038490911868	100	78564	6	18387	23.4038490911868	75.374217198717	1.22193371009622
rand.76	GCA_003112285	12	2	5036	4	98.7451	637	34	41.5235	12104	2	8397	69.3737607402512	100	12104	2	8397	69.3737607402512	22.3645076007931	8.26173165895572
rand.100	GCA_003112285	33	3	1392	6	27.2941	135	8	10.5184	13310	4	1793	13.4710743801653	35.156862745098	13310	4	1793	13.4710743801653	65.1239669421488	21.404958677686
rand.1	GCA_003102955	47	12	9176	24	100.0000	927	103	42.7659	33501	12	14521	43.3449747768723	100	33501	12	14521	43.3449747768723	53.7088445121041	2.94618071102356
rand.17	GCA_003112285	95	3	3317	6	65.0392	359	25	5.9259	56582	5	4995	8.82789579725001	97.9411764705882	56266	5	4995	8.87747485159777	87.40980343369	3.71272171471226
rand.34	GCA_003101195	24	1	8730	2	100.0000	1091	137	50.4595	17626	1	9253	52.4963122659707	100	17626	1	9253	52.4963122659707	39.7991603313287	7.70452740270056
rand.65	GCA_003112285	24	1	535	2	10.4902	48	0	5.2068	10275	1	538	5.2360097323601	10.5490196078431	10275	1	538	5.2360097323601	91.338199513382	3.4257907542579
rand.42	GCA_003112285	6	5	3510	10	68.8235	352	40	84.4434	4204	6	4204	100	82.4313725490196	4204	6	4204	100	0	0
rand.49	GCA_003189165	38	11	6184	21	69.2110	734	69	31.1042	22714	11	7444	32.7727392797394	83.3128147733632	22714	11	7444	32.7727392797394	67.2272607202606	0
rand.83	GCA_003104595	12	9	4936	18	53.7808	498	45	80.6553	6348	9	5358	84.4045368620038	58.3787317498366	6348	9	5358	84.4045368620038	10.5702583490863	5.02520478890989
rand.77	GCA_003188985	45	2	782	4	9.4708	106	15	3.0577	25673	2	791	3.0810579207728	9.57975051471479	25673	2	791	3.0810579207728	94.2468741479375	2.67206793128969
rand.84	GCA_003097815	32	3	9637	11	99.4530	734	99	46.8241	22954	3	11374	49.5512764659754	100	22954	3	11374	49.5512764659754	45.9397054979524	4.50901803607215
rand.88	GCA_003112285	51	3	2056	6	40.3137	218	12	10.5170	20890	3	2295	10.9861177596936	45	20474	3	2295	11.2093386734395	56.022272150044	32.7683891765165
