contig	length	gc	frequency	meanDepth	meanCov	S1_fre	S1_meanDep	S1_meanCov	Specy
DNA_k71_2779	533	0.568480300187617	1	1.00238907849829	0.2	13	0.238100402825949	0.0155104603658864	0
RNA_k71_1127	291	0.254295532646048	2	0.824234218987984	0.347605347774581	112	0.207506831409034	0.122990048611806	0
DNA_k71_2879	275	0.614545454545455	1	0.716891891891892	0.2	7	0.131921173045577	0.0145582206488026	0
DNA_k71_2627	4004	0.641108891108891	3	5.61957352447188	0.248766975618481	22	0.0761467934709783	0.014661435908785	0
RNA_k71_695	223	0.475336322869955	2	0.47858123569794	0.288764302059497	166	0.315783955909943	0.207897533873642	0
DNA_k71_991	230	0.621739130434783	1	0.862857142857142	0.2	4	0.116959077972674	0.00807061677789525	0
RNA_k71_897	254	0.433070866141732	1	0.355805243445692	0.103370786516854	119	2.10239121211382	0.131707809572791	0
DNA_k71_1954	494	0.51417004048583	1	1.0173752310536	0.198521256931608	6	0.208797028206611	0.0129409622711104	0
DNA_k71_1343	231	0.670995670995671	1	0.718367346938776	0.2	12	0.236579063838574	0.0176605676687689	0
DNA_k71_2838	3721	0.684762160709487	3	5.04519257127418	0.245114633534926	54	0.108503640421834	0.0190215500562774	0
DNA_k71_1716	270	0.659259259259259	2	0.685680985680986	0.221345321345321	11	0.213821917422367	0.0207420639503709	0
DNA_k71_2212	1036	0.654440154440154	2	6.17912241415733	0.217561987097194	22	0.107521866409571	0.0163601541466673	0
DNA_k71_1341	216	0.578703703703704	1	0.859071729957806	0.180590717299578	6	0.151624721530375	0.0141183308747198	0
RNA_k71_968	274	0.554744525547445	1	4.79175257731958	0.180756013745704	9	0.0356874362108072	0.00918804389696607	0
DNA_k71_2738	223	0.62780269058296	1	1.43934426229508	0.2	7	0.117047584519945	0.0120071343032574	0
DNA_k71_1816	215	0.674418604651163	1	0.562280701754386	0.2	4	0.109165892537228	0.00995502816182387	0
DNA_k71_3312	254	0.618110236220472	1	0.715750915750916	0.2	6	0.122919649621841	0.0147990555344935	0
DNA_k71_3475	17610	0.616467915956843	3	7.69063519125612	0.227531138088812	50	0.104806402747091	0.0169017408255991	0
DNA_k71_3962	4612	0.711838681699913	3	4.72799331651586	0.216354285903616	18	0.0556833074544247	0.0125615245291471	0
RNA_k71_96	242	0.615702479338843	1	5.02666666666666	0.2	2	0.0654713716526183	0.00390126104315259	0
DNA_k71_2591	261	0.60536398467433	1	0.641007194244604	0.2	7	0.14308996253493	0.0143429396695597	0
RNA_k71_101	261	0.452107279693487	2	0.465940547881316	0.31328001755854	98	0.206275587905945	0.136882615114555	0
DNA_k71_1094	655	0.644274809160305	1	1.02247191011236	0.199438202247191	6	0.145915331508779	0.0130090108759028	0
DNA_k71_3692	1258	0.679650238473768	3	5.30910664295337	0.222474399694621	12	0.0641286102954464	0.012175141320999	0
DNA_k71_2015	336	0.648809523809524	1	0.944715447154472	0.2	9	0.190787800218439	0.016725606455581	0
DNA_k71_2593	361	0.670360110803324	2	4.68369456738697	0.270652173913043	18	0.189584277838946	0.022154282875379	0
RNA_k71_1010	259	0.667953667953668	1	1.62435424354244	0.198523985239852	1	0.0132150137906224	0.00254227125554623	0
RNA_k71_544	216	0.560185185185185	1	7.50689655172414	0.2	9	0.0490931868718253	0.0111832006923894	0
DNA_k71_936	257	0.591439688715953	1	1.12027972027972	0.19020979020979	16	0.20092009171032	0.0230355265791453	0
DNA_k71_4140	291	0.384879725085911	1	1.01234567901235	0.185802469135802	1	0.000844854070660522	0.000844854070660522	0
DNA_k71_579	465	0.56989247311828	1	0.92	0.2	8	0.173098864387321	0.0134369788727072	0
DNA_k71_1673	267	0.610486891385768	1	0.68432055749129	0.2	6	0.153121199530002	0.0126871936987501	0
DNA_k71_589	482	0.616182572614108	1	1.27188081936685	0.195158286778399	13	0.306592883728039	0.0194736296257547	0
DNA_k71_414	289	0.653979238754325	1	0.891025641025642	0.183974358974359	10	0.241382777882796	0.0186986709661395	0
RNA_k71_609	217	0.599078341013825	1	4.23983050847458	0.192372881355932	6	0.0755848445482566	0.00829973987626145	0
RNA_k71_451	282	0.652482269503546	2	2.66556051144812	0.254035087719298	11	0.0363688110503814	0.00918560535148035	0
DNA_k71_1671	290	0.586206896551724	1	1.19435736677116	0.2	7	0.204111326814776	0.0148359079533293	0
DNA_k71_4299	226	0.721238938053097	1	0.530801687763714	0.2	5	0.0958600377859138	0.00971082298843951	0
DNA_k71_2499	291	0.298969072164948	1	0.892903225806452	0.2	1	0.000844854070660522	0.000844854070660522	0
DNA_k71_1446	409	0.47921760391198	1	0.894690265486726	0.2	6	0.204173964511597	0.0137490952492683	0
RNA_k71_966	275	0.476363636363636	1	4.9928338762215	0.2	14	0.0367118176776433	0.0210001685621922	0
DNA_k71_3637	271	0.568265682656827	1	1.16933333333333	0.2	8	0.218915550569866	0.0161902204526056	0
DNA_k71_3828	320	0.61875	1	0.997142857142858	0.2	6	0.150098236345734	0.0119225285197975	0
DNA_k71_195	268	0.638059701492537	1	0.849305555555556	0.2	7	0.19705976030619	0.0148294483605868	0
DNA_k71_894	316	0.503164556962025	1	6.7898678414097	0.198237885462555	16	0.112292519424088	0.025167097061337	0
DNA_k71_3728	302	0.321192052980132	1	0.803614457831326	0.2	1	0.000814383923849816	0.000814383923849816	0
