contig	length	gc	case.fre	case.mean.depth	case.mean.cov	control.fre	control.mean.depth	control.mean.cov	annotation	human
k141_92	593	0.676222596964587	4	0.83384440203944	0.371965823110795	1035	1.29760024773264	0.127532382223125	N	N
k141_63	579	0.433506044905009	1	1.00277337559429	0.121632329635499	134	0.262327183090253	0.017572398906452	N	N
k141_379	463	0.475161987041037	1	0.818887775551102	0.117735470941884	191	0.280459259615833	0.0174193823707492	N	N
k141_323	474	0.394514767932489	1	0.486138613861386	0.125	56	0.116915214634887	0.008571963480281	N	N
k141_279	421	0.446555819477435	1	0.574042792792792	0.119087837837838	210	0.629856895969969	0.0270776729589059	N	N
k141_99	2219	0.45200540784137	5	1.14582767201712	0.441513660025267	2	0.000321013312187169	1.23707569086763e-05	N	N
k141_334	580	0.487931034482759	1	0.962719298245614	0.125	375	1.32405826193191	0.0437854392873556	N	N
k141_79	566	0.469964664310954	5	0.579815847939452	0.352684874123257	9	0.00499200844233473	0.000520071249701405	N	N
k141_399	945	0.433862433862434	1	1.64759174311926	0.125	381	1.49429614133017	0.0437664655798196	N	N
k141_362	637	0.368916797488226	2	0.617601515718562	0.144921875	323	0.260989745559081	0.0279296183574316	N	N
k141_192	312	0.400641025641026	1	0.448757763975155	0.107919254658385	61	0.0622098690460394	0.00916547038002706	N	N
k141_133	330	0.681818181818182	4	0.869340991820874	0.408762943533549	982	0.962217795769757	0.108142825942212	N	N
k141_396	1205	0.486307053941909	2	1.92734538831063	0.236969583390123	28	0.000259792956328609	0.000242510815002171	Y	N
k141_150	1184	0.383445945945946	5	0.952735787922538	0.3929894166472	0	0	0	N	N
k141_340	307	0.41042345276873	1	0.691770186335404	0.125	113	0.244323440200851	0.0151448039296016	N	N
k141_252	401	0.418952618453865	1	0.568691037735849	0.125	321	0.38223474926727	0.0305288252446086	N	N
k141_248	406	0.421182266009852	1	0.974040632054176	0.125	97	0.106332691879267	0.0116413410368216	N	N
k141_215	358	0.608938547486033	1	0.387803234501348	0.125	54	0.0656549428937334	0.00874647302721647	N	N
k141_122	400	0.3525	3	0.512346319475309	0.255560788231976	25	0.0086416065508011	0.00186696719007805	N	N
k141_91	581	0.493975903614458	5	1.19799956467175	0.427497312503498	0	0	0	N	N
k141_432	363	0.363636363636364	3	1.21424317342918	0.34507510439823	0	0	0	N	N
k141_152	746	0.404825737265416	1	1.21404933814681	0.121991576413959	161	0.162560244993926	0.0150284901981934	N	N
k141_444	3788	0.455649419218585	6	1.34799981314211	0.468943975012978	3	2.80854171152532e-05	1.40427085576266e-05	N	N
