sample	gca	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio	totalBases	adjust_mapped_fragment_num	adjust_mapped_ref_bases	adjust_signal_ratio	adjusted_cov
rand.24	GCF_002889555	1011	1	11268	0	100.0000	460	0	2.0736	543392	1	11860	2.1825864201166	100
rand.88	GCF_002889555	425	1	11268	0	100.0000	459	0	4.5257	248978	1	11883	4.77271084192178	100
rand.44	GCF_002889555	308	1	11268	0	100.0000	461	0	6.3277	178073	1	11860	6.66018992211059	100
rand.17	GCF_002889555	745	1	11268	0	100.0000	460	0	2.7089	415955	1	11876	2.8551165390487	100
rand.90	GCF_002889555	390	1	11268	0	100.0000	461	0	4.8109	234216	1	11841	5.05558971206066	100
rand.74	GCF_002889555	400	1	11268	0	100.0000	460	0	4.5452	247911	1	11935	4.8142276865488	100
rand.28	GCF_002889555	744	1	11268	0	100.0000	462	0	2.6879	419218	1	11834	2.82287497197162	100
rand.13	GCF_002889555	1064	1	11268	0	100.0000	460	0	2.0068	561478	1	11856	2.11156982107937	100
rand.49	GCF_002889555	737	1	11224	1	99.6095	461	0	2.8476	394160	1	11761	2.98381367972397	100
rand.41	GCF_000854045	578	1	11826	2	100.0000	495	17	3.7074	321980	1	11967	3.71669047766942	100
rand.27	GCF_002889555	251	1	11268	0	100.0000	460	0	7.6445	147401	1	11902	8.07457208567106	100
rand.31	GCF_002889555	561	1	11268	0	100.0000	460	0	3.4725	324490	1	11888	3.66359518012882	100
rand.59	GCF_002889555	320	1	11268	0	100.0000	460	0	5.3811	209399	1	11939	5.70155540379849	100
rand.89	GCF_002889555	595	2	11268	2	100.0000	460	0	3.5311	328061	2	12277	3.7422918298731	100
rand.3	GCF_002889555	366	1	11268	0	100.0000	459	0	5.3167	211935	1	11832	5.58284379644702	100
rand.64	GCF_002889555	298	1	11268	0	100.0000	461	0	6.3466	177543	1	11841	6.66937023706933	100
rand.77	GCF_002889555	444	1	11268	0	100.0000	460	0	4.1023	274672	1	11939	4.34663890021553	100
rand.61	GCF_002889555	400	1	11268	0	100.0000	461	0	4.8363	232987	1	11841	5.08225780837557	100
rand.7	GCF_002889555	496	1	11268	0	100.0000	460	0	3.9993	281749	1	11865	4.21119507078996	100
rand.46	GCF_002889555	371	1	11268	0	100.0000	461	0	5.5126	204404	1	11914	5.82865305962701	100
rand.96	GCF_002889555	377	1	11268	0	100.0000	459	0	5.6546	199270	1	11832	5.93767250464194	100
rand.94	GCF_002889555	465	1	11268	0	100.0000	459	0	4.6363	243037	1	11832	4.86839452429054	100
rand.55	GCF_002889555	364	1	11268	0	100.0000	460	0	5.1175	220184	1	11824	5.37005413654035	100
rand.6	GCF_002889555	353	1	11268	0	100.0000	459	0	5.5585	202718	1	11885	5.86282421886562	100
rand.52	GCF_002889555	465	1	11268	0	100.0000	460	0	3.9468	285494	1	11931	4.17907206456178	100
rand.9	GCF_002889555	482	1	11268	0	100.0000	461	0	4.0404	278883	2	12712	4.55818389790701	100
rand.70	GCF_002889555	437	1	11268	0	100.0000	461	0	4.3960	256326	1	11846	4.62145861129967	100
rand.39	GCF_002889555	879	1	11268	0	100.0000	462	0	2.4204	465535	1	11878	2.55147303639898	100
rand.37	GCF_002889555	202	1	11268	0	100.0000	460	0	9.5855	117553	1	11901	10.1239440933026	100
rand.34	GCF_002889555	551	1	11268	0	100.0000	460	0	3.7373	301504	1	11837	3.92598439821694	100
rand.5	GCF_002889555	921	1	11268	0	100.0000	460	0	2.2796	494298	1	11842	2.39572080000324	100
rand.18	GCF_002889555	698	1	11268	0	100.0000	460	0	2.9074	387564	1	11849	3.05730150375164	100
rand.67	GCF_002889555	387	1	11268	0	100.0000	461	0	5.2617	214150	1	11841	5.52930189119776	100
rand.68	GCF_002889555	1147	1	11268	0	100.0000	460	0	1.8465	610230	1	11900	1.95008439440867	100
rand.8	GCF_002889555	396	1	11268	0	100.0000	460	0	4.9854	226018	1	11884	5.25798830181667	100
rand.14	GCF_002889555	450	1	11268	0	100.0000	460	0	4.1696	270239	1	11820	4.37390606093125	100
rand.30	GCF_002889555	443	1	11268	0	100.0000	461	0	4.4435	253582	1	11848	4.6722559172181	100
rand.25	GCF_002889555	419	1	11268	0	100.0000	461	0	4.9262	228737	1	11901	5.20291863581318	100
rand.40	GCF_000854045	471	1	11826	0	100.0000	495	17	4.2154	280212	1	11863	4.2335802892096	100
rand.65	GCF_002889555	362	1	11268	0	100.0000	461	0	5.4800	205622	1	11841	5.75862504984875	100
rand.4	GCF_002889555	810	1	11268	0	100.0000	461	0	2.5971	433874	1	11841	2.72913334285991	100
rand.85	GCF_002889555	267	1	11268	0	100.0000	459	0	7.4430	151390	1	11833	7.81623621111038	100
rand.16	GCF_000854045	471	1	11826	2	100.0000	495	17	4.2322	282054	1	11945	4.2350046445007	100
rand.15	GCF_000854045	983	1	11826	0	100.0000	497	13	2.1923	538890	1	11843	2.19766557182356	100
rand.81	GCF_002889555	308	1	11268	0	100.0000	460	0	6.2063	181557	1	11881	6.54395038472766	100
rand.75	GCF_002889555	279	1	11268	0	100.0000	460	0	6.3086	178612	1	11902	6.66360602871028	100
rand.54	GCF_002889555	459	1	11268	0	100.0000	459	0	4.3210	260770	1	11833	4.53771522797868	100
rand.43	GCF_002889555	952	1	11268	0	100.0000	460	0	2.2273	505899	1	11881	2.34849248565425	100
rand.2	GCF_002889555	499	1	11268	0	100.0000	461	0	3.8329	293981	1	11843	4.02849163721465	100
rand.72	GCF_002889555	295	1	11268	0	100.0000	460	0	6.7267	167511	1	11873	7.08789273540245	100
rand.87	GCF_000854045	587	1	11826	2	100.0000	494	17	3.4487	345637	1	11940	3.45449127263574	100
rand.23	GCF_002889555	462	1	11268	0	100.0000	461	0	4.4042	255846	1	11834	4.62543874049233	100
rand.83	GCF_002889555	268	1	11268	0	100.0000	460	0	7.2479	155465	1	11804	7.59270575370662	100
rand.73	GCF_002889555	346	1	11268	0	100.0000	460	0	5.4598	206383	1	11820	5.72721590441073	100
rand.33	GCF_000854045	389	1	11826	0	100.0000	497	14	4.9942	236536	1	11874	5.01995467920317	100
rand.91	GCF_002889555	452	1	11268	0	100.0000	462	0	4.6347	243124	1	11848	4.87323341175696	100
rand.20	GCF_002889555	386	1	11268	0	100.0000	461	0	5.0137	224744	1	11830	5.26376677464137	100
rand.76	GCF_002889555	674	1	11268	0	100.0000	462	0	3.0471	369797	1	11839	3.20148622081845	100
rand.56	GCF_000854045	340	1	11826	0	100.0000	495	17	5.9515	198471	1	11863	5.97719566082702	100
rand.60	GCF_000854045	644	1	11826	2	100.0000	494	17	3.1937	373393	1	11945	3.19904229591878	100
rand.84	GCF_002889555	587	1	11268	0	100.0000	460	0	3.3143	339980	1	11939	3.51167715747985	100
rand.35	GCF_002889555	235	1	11268	0	100.0000	460	0	8.1024	139070	1	11876	8.53958438196592	100
rand.66	GCF_002889555	1007	1	11268	0	100.0000	461	0	2.1223	530929	1	11845	2.23099510480686	100
rand.26	GCF_002889555	397	1	11268	0	100.0000	460	0	5.3096	212218	1	11858	5.58765043493012	100
rand.99	GCF_002889555	876	1	11268	0	100.0000	462	0	2.4096	467623	1	11870	2.53836958404527	100
rand.29	GCF_002889555	823	1	11268	0	100.0000	462	0	2.5136	448280	1	11866	2.64700633532614	100
rand.47	GCF_002889555	522	1	11268	0	100.0000	461	0	3.8045	296174	1	11852	4.00170170237766	100
rand.93	GCF_002889555	435	1	11268	0	100.0000	461	0	4.5449	247924	1	11841	4.77606040560817	100
rand.80	GCF_002889555	501	1	11268	0	100.0000	463	0	3.9272	286920	1	11834	4.12449463265022	100
rand.38	GCF_002889555	901	1	11268	0	100.0000	462	0	2.3123	487316	1	11869	2.43558594423331	100
rand.22	GCF_002889555	397	1	11268	0	100.0000	460	0	5.1440	219050	1	11848	5.40881077379594	100
rand.11	GCF_002889555	274	1	11268	0	100.0000	460	0	6.3411	177697	1	11939	6.71874032763637	100
rand.95	GCF_000854045	473	2	11826	4	100.0000	488	7	4.3402	278814	2	12121	4.34734267289304	100
rand.1	GCF_002889555	453	1	11268	0	100.0000	460	0	4.2846	262989	1	11901	4.52528432748138	100
rand.78	GCF_002889555	1082	1	11268	0	100.0000	457	2	2.0019	562810	1	11899	2.11421261171621	100
rand.21	GCF_002889555	771	1	11268	0	100.0000	461	0	2.7167	414770	1	11844	2.85555850230248	100
rand.100	GCF_002889555	386	1	11268	0	100.0000	461	0	5.1281	219730	1	11841	5.38888636053338	100
rand.36	GCF_002889555	491	1	11268	0	100.0000	461	0	4.1235	273261	1	11851	4.33687939369321	100
rand.86	GCF_002889555	922	1	11268	0	100.0000	460	0	2.2394	503171	1	11951	2.37513688189502	100
rand.57	GCF_002889555	953	1	11268	0	100.0000	462	0	2.2126	509255	1	11829	2.32280488164083	100
rand.82	GCF_002889555	526	1	11268	0	100.0000	460	0	3.7488	300576	1	11966	3.98102310231023	100
rand.79	GCF_000854045	551	1	11826	2	100.0000	495	17	3.6448	327507	1	11945	3.64725028778011	100
rand.10	GCF_002889555	1082	1	11268	0	100.0000	460	0	1.9794	569277	1	11881	2.08703320176294	100
rand.92	GCF_002889555	1034	1	11268	0	100.0000	462	0	2.0130	559751	1	11832	2.11379702760692	100
rand.48	GCF_002889555	686	1	11268	0	100.0000	461	0	3.0385	370836	1	11841	3.19305569038605	100
rand.71	GCF_002889555	855	1	11268	0	100.0000	460	0	2.3715	475148	1	11881	2.5004840597035	100
rand.98	GCF_002889555	801	1	11268	0	100.0000	461	0	2.6400	426815	1	11840	2.7740355891897	100
rand.45	GCF_002889555	315	1	11268	0	100.0000	461	0	6.3950	176199	1	11901	6.75429485978922	100
rand.58	GCF_002889555	297	1	11268	0	100.0000	461	0	6.7115	167892	1	11841	7.05274819526839	100
rand.19	GCF_000854045	781	1	11826	2	100.0000	498	14	2.6542	449586	1	11953	2.65866819696343	100
rand.42	GCF_002889555	783	1	11268	0	100.0000	461	0	2.6012	433180	1	11841	2.73350570201764	100
rand.97	GCF_002889555	388	1	11268	0	100.0000	460	0	4.7116	239154	1	11820	4.94242203768283	100
rand.53	GCF_002889555	472	1	11268	0	100.0000	460	0	4.3257	260487	1	11837	4.54418070767447	100
rand.50	GCF_002889555	441	1	11268	0	100.0000	460	0	4.3033	261844	1	11947	4.56264035074319	100
rand.62	GCF_002889555	824	1	11268	0	100.0000	460	0	2.4823	453934	1	11822	2.60434336269149	100
rand.51	GCF_002889555	348	1	11268	0	100.0000	461	0	5.7261	196782	1	11901	6.04780925084611	100
rand.63	GCF_002889555	712	1	11268	0	100.0000	460	0	2.8141	400418	1	11890	2.96939698015574	100
rand.32	GCF_002889555	426	1	11268	0	100.0000	461	0	4.5359	248420	1	11848	4.76934224297561	100
rand.69	GCF_002889555	444	1	11268	0	100.0000	461	0	4.3745	257581	1	11910	4.62378824525101	100
rand.12	GCF_002889555	442	1	11268	0	100.0000	461	0	4.5234	249104	1	11901	4.77752264114587	100
