sample	gca	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio	totalBases	adjust_mapped_fragment_num	adjust_mapped_ref_bases	adjust_signal_ratio	adjusted_cov
rand.2	GCF_002889555	171	1	11268	0	100.0000	461	0	14.2152	79267	1	11843	14.9406436474195	100
rand.26	GCF_002889555	283	1	11268	0	100.0000	460	0	9.1021	123795	1	11858	9.5787390443879	100
rand.1	GCF_002889555	175	1	11268	0	100.0000	460	0	13.8263	81497	1	11901	14.6029915211603	100
rand.54	GCF_002889555	223	1	11268	0	100.0000	459	0	10.9253	103137	1	11833	11.4730891920455	100
rand.40	GCF_002889555	135	1	11268	0	100.0000	459	0	17.2038	65497	1	11863	18.1122799517535	100
rand.89	GCF_002889555	356	2	11268	2	100.0000	460	0	7.7749	148993	2	12277	8.23998442879867	100
rand.18	GCF_002889555	201	1	11268	0	100.0000	460	0	11.5928	97198	1	11849	12.1905800530875	100
rand.7	GCF_002889555	59	1	11268	0	100.0000	460	0	32.3663	34814	1	11865	34.0811167920951	100
rand.76	GCF_002889555	249	1	11268	0	100.0000	462	0	9.8716	114146	1	11839	10.3718045310392	100
rand.42	GCF_002889555	128	1	11268	0	100.0000	461	0	17.2610	65280	1	11841	18.1387867647059	100
rand.16	GCF_002889555	134	1	11268	2	100.0000	461	0	17.1869	66289	1	11945	18.0195809259455	100
rand.60	GCF_002889555	68	1	11268	0	100.0000	460	0	30.6454	36769	1	11945	32.4866055644701	100
rand.50	GCF_002889555	158	1	11268	0	100.0000	460	0	15.1592	74331	1	11947	16.0727018336898	100
rand.20	GCF_002889555	236	1	11268	0	100.0000	461	0	11.0344	102117	1	11830	11.584750825034	100
rand.49	GCF_002889555	249	1	11224	1	99.6095	461	0	9.6502	116309	1	11761	10.1118572079547	100
rand.48	GCF_002889555	209	1	11268	0	100.0000	461	0	12.1290	92901	1	11841	12.7458262020861	100
